C,m,depth,lineage_cohort,precision_layer,thin_slot_index,thin_phase_mod_53,phase_mod_53,deficit
3,8,2000,aggregate_terminal_compatible_support,1,0,0,0,0
3,8,2000,aggregate_terminal_compatible_support,1,1,2,1,0
3,8,2000,aggregate_terminal_compatible_support,1,2,4,2,0
3,8,2000,aggregate_terminal_compatible_support,1,3,7,3,0
3,8,2000,aggregate_terminal_compatible_support,1,4,9,4,0
3,8,2000,aggregate_terminal_compatible_support,1,5,12,5,0
3,8,2000,aggregate_terminal_compatible_support,1,6,14,6,0
3,8,2000,aggregate_terminal_compatible_support,1,7,16,7,0
3,8,2000,aggregate_terminal_compatible_support,1,8,19,8,0
3,8,2000,aggregate_terminal_compatible_support,1,9,21,9,0
3,8,2000,aggregate_terminal_compatible_support,1,10,24,10,0
3,8,2000,aggregate_terminal_compatible_support,1,11,26,11,0
3,8,2000,aggregate_terminal_compatible_support,1,12,28,12,0
3,8,2000,aggregate_terminal_compatible_support,1,13,31,13,0
3,8,2000,aggregate_terminal_compatible_support,1,14,33,14,0
3,8,2000,aggregate_terminal_compatible_support,1,15,36,15,0
3,8,2000,aggregate_terminal_compatible_support,1,16,38,16,0
3,8,2000,aggregate_terminal_compatible_support,1,17,40,17,0
3,8,2000,aggregate_terminal_compatible_support,1,18,43,18,0
3,8,2000,aggregate_terminal_compatible_support,1,19,45,19,0
3,8,2000,aggregate_terminal_compatible_support,1,20,48,20,0
3,8,2000,aggregate_terminal_compatible_support,1,21,50,21,0
3,8,2000,aggregate_terminal_compatible_support,2,0,0,22,0
3,8,2000,aggregate_terminal_compatible_support,2,1,2,23,0
3,8,2000,aggregate_terminal_compatible_support,2,2,4,24,0
3,8,2000,aggregate_terminal_compatible_support,2,3,7,25,0
3,8,2000,aggregate_terminal_compatible_support,2,4,9,26,0
3,8,2000,aggregate_terminal_compatible_support,2,5,12,27,0
3,8,2000,aggregate_terminal_compatible_support,2,6,14,28,0
3,8,2000,aggregate_terminal_compatible_support,2,7,16,29,0
3,8,2000,aggregate_terminal_compatible_support,2,8,19,30,0
3,8,2000,aggregate_terminal_compatible_support,2,9,21,31,0
3,8,2000,aggregate_terminal_compatible_support,2,10,24,32,0
3,8,2000,aggregate_terminal_compatible_support,2,11,26,33,0
3,8,2000,aggregate_terminal_compatible_support,2,12,28,34,0
