C,target_M_edge,a.A1_N=C+1_theta=p/q,a.A2_floor((C+1)*q/p),a.A3_floor((C+1)/(p/q))_==target_by_construction,b.B2_S(53*ceil((C+1)/22)),b.B3_first_passage_S(k)>=C+1_report_k_minus_1,c.C1_largest_m_22m<=53(C+1),c.C2_first_passage_step_count(support>=C+1),c.C2_as_heartbeats_k/53
1,4,0,4,4,22,2,4,3,0.05660377358490566
2,7,1,7,7,22,4,7,5,0.09433962264150944
3,9,1,9,9,22,7,9,8,0.1509433962264151
4,12,2,12,12,22,9,12,10,0.18867924528301888
5,14,2,14,14,22,12,14,13,0.24528301886792453
6,16,2,16,16,22,14,16,15,0.2830188679245283
7,19,3,19,19,22,16,19,17,0.32075471698113206
8,21,3,21,21,22,19,21,20,0.37735849056603776
9,24,4,24,24,22,21,24,22,0.41509433962264153
10,26,4,26,26,22,24,26,25,0.4716981132075472
11,28,4,28,28,22,26,28,27,0.5094339622641509
12,31,5,31,31,22,28,31,29,0.5471698113207547
13,33,5,33,33,22,31,33,32,0.6037735849056604
14,36,6,36,36,22,33,36,34,0.6415094339622641
15,38,6,38,38,22,36,38,37,0.6981132075471698
16,40,7,40,40,22,38,40,39,0.7358490566037735
17,43,7,43,43,22,40,43,41,0.7735849056603774
18,45,7,45,45,22,43,45,44,0.8301886792452831
19,48,8,48,48,22,45,48,46,0.8679245283018868
20,50,8,50,50,22,48,50,49,0.9245283018867925
21,53,9,53,53,22,50,53,51,0.9622641509433962
22,55,9,55,55,44,53,55,54,1.0188679245283019
23,57,9,57,57,44,55,57,56,1.0566037735849056
24,60,10,60,60,44,57,60,58,1.0943396226415094
25,62,10,62,62,44,60,62,61,1.150943396226415
26,65,11,65,65,44,62,65,63,1.1886792452830188
27,67,11,67,67,44,65,67,66,1.2452830188679245
28,69,12,69,69,44,67,69,68,1.2830188679245282
29,72,12,72,72,44,69,72,70,1.320754716981132
30,74,12,74,74,44,72,74,73,1.3773584905660377
31,77,13,77,77,44,74,77,75,1.4150943396226414
32,79,13,79,79,44,77,79,78,1.471698113207547
33,81,14,81,81,44,79,81,80,1.509433962264151
34,84,14,84,84,44,81,84,82,1.5471698113207548
35,86,14,86,86,44,84,86,85,1.6037735849056605
36,89,15,89,89,44,86,89,87,1.6415094339622642
37,91,15,91,91,44,89,91,90,1.6981132075471699
38,93,16,93,93,44,91,93,92,1.7358490566037736
39,96,16,96,96,44,93,96,94,1.7735849056603774
40,98,17,98,98,44,96,98,97,1.830188679245283
41,101,17,101,101,44,98,101,99,1.8679245283018868
42,103,17,103,103,44,101,103,102,1.9245283018867925
43,106,18,106,106,44,103,106,104,1.9622641509433962
44,108,18,108,108,66,106,108,107,2.018867924528302
45,110,19,110,110,66,108,110,109,2.056603773584906
46,113,19,113,113,66,110,113,111,2.0943396226415096
47,115,19,115,115,66,113,115,114,2.150943396226415
48,118,20,118,118,66,115,118,116,2.188679245283019
49,120,20,120,120,66,118,120,119,2.2452830188679247
50,122,21,122,122,66,120,122,121,2.2830188679245285
51,125,21,125,125,66,122,125,123,2.3207547169811322
52,127,22,127,127,66,125,127,126,2.3773584905660377
53,130,22,130,130,66,127,130,128,2.4150943396226414
54,132,22,132,132,66,130,132,131,2.4716981132075473
55,134,23,134,134,66,132,134,133,2.509433962264151
56,137,23,137,137,66,134,137,135,2.547169811320755
57,139,24,139,139,66,137,139,138,2.6037735849056602
58,142,24,142,142,66,139,142,140,2.641509433962264
59,144,24,144,144,66,142,144,143,2.69811320754717
60,146,25,146,146,66,144,146,145,2.7358490566037736
61,149,25,149,149,66,146,149,147,2.7735849056603774
62,151,26,151,151,66,149,151,150,2.830188679245283
63,154,26,154,154,66,151,154,152,2.8679245283018866
64,156,26,156,156,66,154,156,155,2.9245283018867925
65,159,27,159,159,66,156,159,157,2.9622641509433962
66,161,27,161,161,88,159,161,160,3.018867924528302
67,163,28,163,163,88,161,163,162,3.056603773584906
68,166,28,166,166,88,163,166,164,3.0943396226415096
69,168,29,168,168,88,166,168,167,3.150943396226415
70,171,29,171,171,88,168,171,169,3.188679245283019
71,173,29,173,173,88,171,173,172,3.2452830188679247
