C,C_plus_22,tier_C,tier_C_plus_22,both_genuine,delta,matches_53
3,25,GENUINE_full_sweep,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
4,26,GENUINE_full_sweep,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
5,27,GENUINE_full_sweep,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
6,28,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
7,29,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
8,30,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
9,31,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
10,32,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
11,33,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
12,34,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
13,35,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
14,36,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
15,37,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
16,38,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
17,39,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
18,40,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
19,41,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
20,42,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
21,43,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
22,44,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
23,45,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
24,46,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
25,47,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
26,48,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
27,49,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
28,50,INFERRED_m1_only_plus_linear_countdown_assumption,INFERRED_m1_only_plus_linear_countdown_assumption,False,53,True
