heartbeat,step,alive,killed_terminal,killed_exit,killed_precision,total_killed,elapsed_s
0,0,37632,864,38080,320,39264,0.0
0,1,9200,288,8044,108,8440,0.0
0,2,2383,34,1859,27,1920,0.0
0,3,622,8,468,21,497,0.0
0,4,370,2,122,4,128,0.0
0,5,249,2,72,0,74,0.0
0,6,183,3,50,0,53,0.0
0,7,148,0,25,0,25,0.0
0,8,115,0,27,0,27,0.0
0,9,99,0,13,0,13,0.0
0,10,82,0,16,0,16,0.0
0,11,67,0,14,0,14,0.0
0,12,61,0,6,0,6,0.0
0,13,50,0,11,0,11,0.0
0,14,48,0,2,0,2,0.0
0,15,40,0,8,0,8,0.0
0,16,38,0,2,0,2,0.0
0,17,33,0,5,0,5,0.0
0,18,25,0,8,0,8,0.0
0,19,25,0,0,0,0,0.0
0,20,19,0,6,0,6,0.0
0,21,19,0,0,0,0,0.0
0,22,17,0,2,0,2,0.0
0,23,14,0,3,0,3,0.0
0,24,14,0,0,0,0,0.0
0,25,11,0,3,0,3,0.0
0,26,11,0,0,0,0,0.0
0,27,9,0,2,0,2,0.0
0,28,9,0,0,0,0,0.0
0,29,7,0,2,0,2,0.0
0,30,4,0,3,0,3,0.0
0,31,4,0,0,0,0,0.0
0,32,2,0,2,0,2,0.0
0,33,2,0,0,0,0,0.0
0,34,0,0,2,0,2,0.0
# EMPTY at hb=0 step=34
