C,rho,C_mod_22,C_mod_53,C_mod_75
1,4.311469176730e-03,1,1,1
2,1.479451342295e-01,2,2,2
3,2.247867715709e-01,3,3,3
4,2.347340273242e-01,4,4,4
5,2.354114387571e-01,5,5,5
6,2.354432217150e-01,6,6,6
7,2.354443491230e-01,7,7,7
8,2.354443806709e-01,8,8,8
9,2.354443813628e-01,9,9,9
10,2.354443813766e-01,10,10,10
11,2.354443813768e-01,11,11,11
12,2.354443813768e-01,12,12,12
13,2.354443813768e-01,13,13,13
14,2.354443813768e-01,14,14,14
15,2.354443813768e-01,15,15,15
16,2.354443813768e-01,16,16,16
17,2.354443813768e-01,17,17,17
18,2.354443813768e-01,18,18,18
19,2.354443813768e-01,19,19,19
20,2.354443813768e-01,20,20,20
21,2.354443813768e-01,21,21,21
22,2.354443813768e-01,0,22,22
23,2.354443813768e-01,1,23,23
24,2.354443813768e-01,2,24,24
25,2.354443813768e-01,3,25,25
26,2.354443813768e-01,4,26,26
27,2.354443813768e-01,5,27,27
28,2.354443813768e-01,6,28,28
29,2.354443813768e-01,7,29,29
30,2.354443813768e-01,8,30,30
31,2.354443813768e-01,9,31,31
32,2.354443813768e-01,10,32,32
33,2.354443813768e-01,11,33,33
34,2.354443813768e-01,12,34,34
35,2.354443813768e-01,13,35,35
36,2.354443813768e-01,14,36,36
37,2.354443813768e-01,15,37,37
38,2.354443813768e-01,16,38,38
39,2.354443813768e-01,17,39,39
40,2.354443813768e-01,18,40,40
41,2.354443813768e-01,19,41,41
42,2.354443813768e-01,20,42,42
43,2.354443813768e-01,21,43,43
44,2.354443813768e-01,0,44,44
45,2.354443813768e-01,1,45,45
46,2.354443813768e-01,2,46,46
47,2.354443813768e-01,3,47,47
48,2.354443813768e-01,4,48,48
49,2.354443813768e-01,5,49,49
50,2.354443813768e-01,6,50,50
51,2.354443813768e-01,7,51,51
52,2.354443813768e-01,8,52,52
53,2.354443813768e-01,9,0,53
54,2.354443813768e-01,10,1,54
55,2.354443813768e-01,11,2,55
56,2.354443813768e-01,12,3,56
57,2.354443813768e-01,13,4,57
58,2.354443813768e-01,14,5,58
59,2.354443813768e-01,15,6,59
60,2.354443813768e-01,16,7,60
61,2.354443813768e-01,17,8,61
62,2.354443813768e-01,18,9,62
63,2.354443813768e-01,19,10,63
64,2.354443813768e-01,20,11,64
65,2.354443813768e-01,21,12,65
66,2.354443813768e-01,0,13,66
67,2.354443813768e-01,1,14,67
68,2.354443813768e-01,2,15,68
69,2.354443813768e-01,3,16,69
70,2.354443813768e-01,4,17,70
71,2.354443813768e-01,5,18,71
72,2.354443813768e-01,6,19,72
73,2.354443813768e-01,7,20,73
74,2.354443813768e-01,8,21,74
75,2.354443813768e-01,9,22,0
76,2.354443813768e-01,10,23,1
77,2.354443813768e-01,11,24,2
78,2.354443813768e-01,12,25,3
79,2.354443813768e-01,13,26,4
80,2.354443813768e-01,14,27,5
81,2.354443813768e-01,15,28,6
82,2.354443813768e-01,16,29,7
83,2.354443813768e-01,17,30,8
84,2.354443813768e-01,18,31,9
85,2.354443813768e-01,19,32,10
86,2.354443813768e-01,20,33,11
87,2.354443813768e-01,21,34,12
88,2.354443813768e-01,0,35,13
89,2.354443813768e-01,1,36,14
90,2.354443813768e-01,2,37,15
91,2.354443813768e-01,3,38,16
92,2.354443813768e-01,4,39,17
93,2.354443813768e-01,5,40,18
94,2.354443813768e-01,6,41,19
95,2.354443813768e-01,7,42,20
96,2.354443813768e-01,8,43,21
97,2.354443813768e-01,9,44,22
98,2.354443813768e-01,10,45,23
99,2.354443813768e-01,11,46,24
100,2.354443813768e-01,12,47,25
101,2.354443813768e-01,13,48,26
102,2.354443813768e-01,14,49,27
103,2.354443813768e-01,15,50,28
104,2.354443813768e-01,16,51,29
105,2.354443813768e-01,17,52,30
106,2.354443813768e-01,18,0,31
107,2.354443813768e-01,19,1,32
108,2.354443813768e-01,20,2,33
109,2.354443813768e-01,21,3,34
110,2.354443813768e-01,0,4,35
111,2.354443813768e-01,1,5,36
112,2.354443813768e-01,2,6,37
113,2.354443813768e-01,3,7,38
114,2.354443813768e-01,4,8,39
115,2.354443813768e-01,5,9,40
116,2.354443813768e-01,6,10,41
117,2.354443813768e-01,7,11,42
118,2.354443813768e-01,8,12,43
119,2.354443813768e-01,9,13,44
120,2.354443813768e-01,10,14,45
121,2.354443813768e-01,11,15,46
122,2.354443813768e-01,12,16,47
123,2.354443813768e-01,13,17,48
124,2.354443813768e-01,14,18,49
125,2.354443813768e-01,15,19,50
126,2.354443813768e-01,16,20,51
127,2.354443813768e-01,17,21,52
128,2.354443813768e-01,18,22,53
129,2.354443813768e-01,19,23,54
130,2.354443813768e-01,20,24,55
131,2.354443813768e-01,21,25,56
132,2.354443813768e-01,0,26,57
133,2.354443813768e-01,1,27,58
134,2.354443813768e-01,2,28,59
135,2.354443813768e-01,3,29,60
136,2.354443813768e-01,4,30,61
137,2.354443813768e-01,5,31,62
138,2.354443813768e-01,6,32,63
139,2.354443813768e-01,7,33,64
140,2.354443813768e-01,8,34,65
141,2.354443813768e-01,9,35,66
142,2.354443813768e-01,10,36,67
143,2.354443813768e-01,11,37,68
144,2.354443813768e-01,12,38,69
145,2.354443813768e-01,13,39,70
146,2.354443813768e-01,14,40,71
147,2.354443813768e-01,15,41,72
148,2.354443813768e-01,16,42,73
149,2.354443813768e-01,17,43,74
150,2.354443813768e-01,18,44,0
151,2.354443813768e-01,19,45,1
152,2.354443813768e-01,20,46,2
153,2.354443813768e-01,21,47,3
154,2.354443813768e-01,0,48,4
155,2.354443813768e-01,1,49,5
156,2.354443813768e-01,2,50,6
157,2.354443813768e-01,3,51,7
158,2.354443813768e-01,4,52,8
159,2.354443813768e-01,5,0,9
160,2.354443813768e-01,6,1,10
161,2.354443813768e-01,7,2,11
162,2.354443813768e-01,8,3,12
163,2.354443813768e-01,9,4,13
164,2.354443813768e-01,10,5,14
165,2.354443813768e-01,11,6,15
166,2.354443813768e-01,12,7,16
167,2.354443813768e-01,13,8,17
168,2.354443813768e-01,14,9,18
169,2.354443813768e-01,15,10,19
170,2.354443813768e-01,16,11,20
171,2.354443813768e-01,17,12,21
172,2.354443813768e-01,18,13,22
