m,C,states,nnz_per_step,spectral_radius,gap,mode,time_sec
3,2,81,179,1.479451342295e-1,8.520548657705e-1,iterative,0.0
3,1,54,90,4.311469176730e-3,9.956885308233e-1,iterative,0.0
3,3,108,293,2.247867715709e-1,7.752132284291e-1,iterative,0.0
3,4,135,432,2.347340273242e-1,7.652659726758e-1,iterative,0.0
3,5,162,595,2.354114387571e-1,7.645885612429e-1,iterative,0.0
3,7,216,995,2.354443491230e-1,7.645556508770e-1,iterative,0.0
3,6,189,782,2.354432217150e-1,7.645567782850e-1,iterative,0.0
3,9,270,1492,2.354443813628e-1,7.645556186372e-1,iterative,0.0
3,8,243,1231,2.354443806709e-1,7.645556193291e-1,iterative,0.0
3,11,324,2088,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,10,297,1778,2.354443813766e-1,7.645556186234e-1,iterative,0.0
3,12,351,2422,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,13,378,2782,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,14,405,3165,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,15,432,3573,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,16,459,4006,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,17,486,4463,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,19,540,5452,2.354443813768e-1,7.645556186232e-1,iterative,0.0
3,18,513,4945,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,20,567,5984,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,21,594,6540,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,22,621,7120,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,24,675,8355,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,23,648,7725,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,25,702,9009,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,28,783,11118,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,26,729,9688,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,27,756,10391,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,30,837,12647,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,31,864,13448,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,29,810,11870,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,33,918,15124,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,34,945,15998,2.354443813768e-1,7.645556186232e-1,iterative,0.1
3,32,891,14273,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,35,972,16897,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,36,999,17821,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,37,1026,18771,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,38,1053,19744,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,39,1080,20742,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,40,1107,21765,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,42,1161,23883,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,43,1188,24980,2.354443813768e-1,7.645556186232e-1,iterative,0.2
3,41,1134,22812,2.354443813768e-1,7.645556186232e-1,iterative,0.3
3,44,1215,26100,2.354443813768e-1,7.645556186232e-1,iterative,0.3
3,46,1269,28415,2.354443813768e-1,7.645556186232e-1,iterative,0.3
3,47,1296,29609,2.354443813768e-1,7.645556186232e-1,iterative,0.3
3,45,1242,27245,2.354443813768e-1,7.645556186232e-1,iterative,0.4
3,48,1323,30827,2.354443813768e-1,7.645556186232e-1,iterative,0.3
3,49,1350,32071,2.354443813768e-1,7.645556186232e-1,iterative,0.3
3,51,1404,34630,2.354443813768e-1,7.645556186232e-1,iterative,0.4
3,50,1377,33338,2.354443813768e-1,7.645556186232e-1,iterative,0.4
3,53,1458,37288,2.354443813768e-1,7.645556186232e-1,iterative,0.4
3,52,1431,35947,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,55,1512,40045,2.354443813768e-1,7.645556186232e-1,iterative,0.4
3,54,1485,38654,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,56,1539,41461,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,57,1566,42901,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,58,1593,44365,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,59,1620,45854,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,62,1701,50469,2.354443813768e-1,7.645556186232e-1,iterative,0.5
3,60,1647,47368,2.354443813768e-1,7.645556186232e-1,iterative,0.6
3,61,1674,48906,2.354443813768e-1,7.645556186232e-1,iterative,0.7
3,63,1728,52056,2.354443813768e-1,7.645556186232e-1,iterative,0.6
3,64,1755,53667,2.354443813768e-1,7.645556186232e-1,iterative,0.6
3,65,1782,55303,2.354443813768e-1,7.645556186232e-1,iterative,0.6
3,66,1809,56964,2.354443813768e-1,7.645556186232e-1,iterative,0.6
3,68,1863,60359,2.354443813768e-1,7.645556186232e-1,iterative,0.6
3,67,1836,58649,2.354443813768e-1,7.645556186232e-1,iterative,0.7
3,69,1890,62093,2.354443813768e-1,7.645556186232e-1,iterative,0.8
3,70,1917,63851,2.354443813768e-1,7.645556186232e-1,iterative,0.8
3,71,1944,65634,2.354443813768e-1,7.645556186232e-1,iterative,0.7
3,72,1971,67442,2.354443813768e-1,7.645556186232e-1,iterative,0.7
3,73,1998,69276,2.354443813768e-1,7.645556186232e-1,iterative,0.7
3,74,2025,71133,2.354443813768e-1,7.645556186232e-1,iterative,0.7
3,75,2052,73015,2.354443813768e-1,7.645556186232e-1,iterative,0.9
3,76,2079,74922,2.354443813768e-1,7.645556186232e-1,iterative,0.9
3,77,2106,76853,2.354443813768e-1,7.645556186232e-1,iterative,0.8
3,78,2133,78808,2.354443813768e-1,7.645556186232e-1,iterative,0.9
3,79,2160,80789,2.354443813768e-1,7.645556186232e-1,iterative,1.0
3,80,2187,82793,2.354443813768e-1,7.645556186232e-1,iterative,1.0
3,81,2214,84822,2.354443813768e-1,7.645556186232e-1,iterative,1.1
3,83,2268,88954,2.354443813768e-1,7.645556186232e-1,iterative,1.0
3,82,2241,86876,2.354443813768e-1,7.645556186232e-1,iterative,1.1
3,85,2322,93184,2.354443813768e-1,7.645556186232e-1,iterative,1.1
3,84,2295,91056,2.354443813768e-1,7.645556186232e-1,iterative,1.3
3,86,2349,95335,2.354443813768e-1,7.645556186232e-1,iterative,1.2
3,88,2403,99712,2.354443813768e-1,7.645556186232e-1,iterative,1.2
3,87,2376,97511,2.354443813768e-1,7.645556186232e-1,iterative,1.4
3,89,2430,101937,2.354443813768e-1,7.645556186232e-1,iterative,1.3
3,91,2484,106462,2.354443813768e-1,7.645556186232e-1,iterative,1.2
3,90,2457,104187,2.354443813768e-1,7.645556186232e-1,iterative,1.5
3,93,2538,111086,2.354443813768e-1,7.645556186232e-1,iterative,1.4
3,94,2565,113434,2.354443813768e-1,7.645556186232e-1,iterative,1.3
3,92,2511,108762,2.354443813768e-1,7.645556186232e-1,iterative,1.7
3,96,2619,118205,2.354443813768e-1,7.645556186232e-1,iterative,1.4
3,95,2592,115808,2.354443813768e-1,7.645556186232e-1,iterative,1.6
3,97,2646,120627,2.354443813768e-1,7.645556186232e-1,iterative,1.4
3,98,2673,123074,2.354443813768e-1,7.645556186232e-1,iterative,1.6
3,99,2700,125545,2.354443813768e-1,7.645556186232e-1,iterative,1.5
3,100,2727,128040,2.354443813768e-1,7.645556186232e-1,iterative,1.5
3,102,2781,133105,2.354443813768e-1,7.645556186232e-1,iterative,1.5
3,101,2754,130560,2.354443813768e-1,7.645556186232e-1,iterative,1.8
3,103,2808,135674,2.354443813768e-1,7.645556186232e-1,iterative,1.7
3,104,2835,138268,2.354443813768e-1,7.645556186232e-1,iterative,1.8
3,105,2862,140886,2.354443813768e-1,7.645556186232e-1,iterative,1.9
3,106,2889,143528,2.354443813768e-1,7.645556186232e-1,iterative,1.8
3,107,2916,146195,2.354443813768e-1,7.645556186232e-1,iterative,2.3
3,108,2943,148888,2.354443813768e-1,7.645556186232e-1,iterative,2.2
3,109,2970,151605,2.354443813768e-1,7.645556186232e-1,iterative,2.0
3,111,3024,157112,2.354443813768e-1,7.645556186232e-1,iterative,1.8
3,110,2997,154346,2.354443813768e-1,7.645556186232e-1,iterative,2.4
3,113,3078,162718,2.354443813768e-1,7.645556186232e-1,iterative,2.1
3,112,3051,159903,2.354443813768e-1,7.645556186232e-1,iterative,2.4
3,114,3105,165557,2.354443813768e-1,7.645556186232e-1,iterative,2.2
3,115,3132,168422,2.354443813768e-1,7.645556186232e-1,iterative,2.3
3,116,3159,171310,2.354443813768e-1,7.645556186232e-1,iterative,2.7
3,118,3213,177161,2.354443813768e-1,7.645556186232e-1,iterative,2.5
3,119,3240,180123,2.354443813768e-1,7.645556186232e-1,iterative,2.5
3,117,3186,174223,2.354443813768e-1,7.645556186232e-1,iterative,2.7
3,120,3267,183109,2.354443813768e-1,7.645556186232e-1,iterative,2.4
3,121,3294,186121,2.354443813768e-1,7.645556186232e-1,iterative,2.8
3,123,3348,192216,2.354443813768e-1,7.645556186232e-1,iterative,2.5
3,122,3321,189156,2.354443813768e-1,7.645556186232e-1,iterative,2.8
3,124,3375,195301,2.354443813768e-1,7.645556186232e-1,iterative,2.9
3,125,3402,198410,2.354443813768e-1,7.645556186232e-1,iterative,3.1
3,126,3429,201544,2.354443813768e-1,7.645556186232e-1,iterative,2.9
3,127,3456,204703,2.354443813768e-1,7.645556186232e-1,iterative,2.7
3,128,3483,207887,2.354443813768e-1,7.645556186232e-1,iterative,3.2
3,129,3510,211095,2.354443813768e-1,7.645556186232e-1,iterative,3.5
3,130,3537,214327,2.354443813768e-1,7.645556186232e-1,iterative,3.3
3,132,3591,220866,2.354443813768e-1,7.645556186232e-1,iterative,3.1
3,131,3564,217585,2.354443813768e-1,7.645556186232e-1,iterative,3.6
3,133,3618,224172,2.354443813768e-1,7.645556186232e-1,iterative,3.6
3,134,3645,227503,2.354443813768e-1,7.645556186232e-1,iterative,3.9
3,135,3672,230858,2.354443813768e-1,7.645556186232e-1,iterative,3.9
3,137,3726,237642,2.354443813768e-1,7.645556186232e-1,iterative,3.7
3,136,3699,234237,2.354443813768e-1,7.645556186232e-1,iterative,4.3
3,138,3753,241070,2.354443813768e-1,7.645556186232e-1,iterative,3.8
3,139,3780,244523,2.354443813768e-1,7.645556186232e-1,iterative,3.9
3,140,3807,248001,2.354443813768e-1,7.645556186232e-1,iterative,4.4
3,141,3834,251503,2.354443813768e-1,7.645556186232e-1,iterative,3.8
3,142,3861,255029,2.354443813768e-1,7.645556186232e-1,iterative,4.6
3,143,3888,258581,2.354443813768e-1,7.645556186232e-1,iterative,5.0
3,144,3915,262157,2.354443813768e-1,7.645556186232e-1,iterative,4.4
3,145,3942,265758,2.354443813768e-1,7.645556186232e-1,iterative,5.4
3,147,3996,273033,2.354443813768e-1,7.645556186232e-1,iterative,5.2
3,146,3969,269383,2.354443813768e-1,7.645556186232e-1,iterative,5.8
3,148,4023,276708,2.354443813768e-1,7.645556186232e-1,iterative,5.2
3,149,4050,280407,2.354443813768e-1,7.645556186232e-1,iterative,5.3
3,150,4077,284131,2.354443813768e-1,7.645556186232e-1,iterative,4.9
3,151,4104,287879,2.354443813768e-1,7.645556186232e-1,iterative,6.7
3,152,4131,291651,2.354443813768e-1,7.645556186232e-1,iterative,6.1
3,154,4185,299270,2.354443813768e-1,7.645556186232e-1,iterative,5.5
3,153,4158,295448,2.354443813768e-1,7.645556186232e-1,iterative,5.9
3,156,4239,306987,2.354443813768e-1,7.645556186232e-1,iterative,5.8
3,155,4212,303116,2.354443813768e-1,7.645556186232e-1,iterative,7.0
3,157,4266,310882,2.354443813768e-1,7.645556186232e-1,iterative,6.9
3,158,4293,314801,2.354443813768e-1,7.645556186232e-1,iterative,8.2
3,159,4320,318745,2.354443813768e-1,7.645556186232e-1,iterative,7.9
3,160,4347,322714,2.354443813768e-1,7.645556186232e-1,iterative,8.0
3,163,4428,334768,2.354443813768e-1,7.645556186232e-1,iterative,6.3
3,161,4374,326707,2.354443813768e-1,7.645556186232e-1,iterative,7.7
3,162,4401,330725,2.354443813768e-1,7.645556186232e-1,iterative,7.8
3,164,4455,338836,2.354443813768e-1,7.645556186232e-1,iterative,8.3
3,165,4482,342928,2.354443813768e-1,7.645556186232e-1,iterative,6.4
3,166,4509,347044,2.354443813768e-1,7.645556186232e-1,iterative,8.6
3,167,4536,351186,2.354443813768e-1,7.645556186232e-1,iterative,9.3
3,171,4644,367995,2.354443813768e-1,7.645556186232e-1,iterative,8.1
3,169,4590,359541,2.354443813768e-1,7.645556186232e-1,iterative,9.3
3,168,4563,355351,2.354443813768e-1,7.645556186232e-1,iterative,9.9
3,170,4617,363756,2.354443813768e-1,7.645556186232e-1,iterative,9.9
