k,climb,supports,drops
1,-1,1,0
2,0,1,1
3,-1,2,1
4,0,2,2
5,-1,3,2
6,0,3,3
7,1,3,4
8,0,4,4
9,1,4,5
10,0,5,5
11,1,5,6
12,2,5,7
13,1,6,7
14,2,6,8
15,1,7,8
16,2,7,9
17,1,8,9
18,2,8,10
19,3,8,11
20,2,9,11
21,3,9,12
22,2,10,12
23,3,10,13
24,4,10,14
25,3,11,14
26,4,11,15
27,3,12,15
28,4,12,16
29,3,13,16
30,4,13,17
31,5,13,18
32,4,14,18
33,5,14,19
34,4,15,19
35,5,15,20
36,6,15,21
37,5,16,21
38,6,16,22
39,5,17,22
40,6,17,23
41,5,18,23
42,6,18,24
43,7,18,25
44,6,19,25
45,7,19,26
46,6,20,26
47,7,20,27
48,8,20,28
49,7,21,28
50,8,21,29
51,7,22,29
52,8,22,30
53,9,22,31
54,8,23,31
55,9,23,32
56,8,24,32
57,9,24,33
58,8,25,33
59,9,25,34
60,10,25,35
61,9,26,35
62,10,26,36
63,9,27,36
64,10,27,37
65,11,27,38
66,10,28,38
67,11,28,39
68,10,29,39
69,11,29,40
70,10,30,40
71,11,30,41
72,12,30,42
73,11,31,42
74,12,31,43
75,11,32,43
76,12,32,44
77,13,32,45
78,12,33,45
79,13,33,46
80,12,34,46
81,13,34,47
82,12,35,47
83,13,35,48
84,14,35,49
85,13,36,49
86,14,36,50
87,13,37,50
88,14,37,51
89,15,37,52
90,14,38,52
91,15,38,53
92,14,39,53
93,15,39,54
94,14,40,54
95,15,40,55
96,16,40,56
97,15,41,56
98,16,41,57
99,15,42,57
100,16,42,58
101,17,42,59
102,16,43,59
103,17,43,60
104,16,44,60
105,17,44,61
106,18,44,62
107,17,45,62
108,18,45,63
109,17,46,63
110,18,46,64
111,17,47,64
112,18,47,65
113,19,47,66
114,18,48,66
115,19,48,67
116,18,49,67
117,19,49,68
118,20,49,69
119,19,50,69
120,20,50,70
121,19,51,70
122,20,51,71
123,19,52,71
124,20,52,72
125,21,52,73
126,20,53,73
127,21,53,74
128,20,54,74
129,21,54,75
130,22,54,76
131,21,55,76
132,22,55,77
133,21,56,77
134,22,56,78
135,21,57,78
136,22,57,79
137,23,57,80
138,22,58,80
139,23,58,81
140,22,59,81
141,23,59,82
142,24,59,83
143,23,60,83
144,24,60,84
145,23,61,84
146,24,61,85
147,23,62,85
148,24,62,86
149,25,62,87
150,24,63,87
151,25,63,88
152,24,64,88
153,25,64,89
154,26,64,90
155,25,65,90
156,26,65,91
157,25,66,91
158,26,66,92
159,27,66,93
160,26,67,93
161,27,67,94
162,26,68,94
163,27,68,95
164,26,69,95
165,27,69,96
166,28,69,97
167,27,70,97
168,28,70,98
169,27,71,98
170,28,71,99
171,29,71,100
172,28,72,100
173,29,72,101
174,28,73,101
175,29,73,102
176,28,74,102
177,29,74,103
178,30,74,104
179,29,75,104
180,30,75,105
181,29,76,105
182,30,76,106
183,31,76,107
184,30,77,107
185,31,77,108
186,30,78,108
187,31,78,109
188,30,79,109
189,31,79,110
190,32,79,111
191,31,80,111
192,32,80,112
193,31,81,112
