k,launch_class_mod27,max_climb_or_lower_bound,nodes,status
53,1,-9,5363158,EXACT
53,2,-8,5363158,EXACT
53,4,-8,5094121,EXACT
53,5,-8,5930899,EXACT
53,7,-12,6624553,EXACT
53,8,-7,5094121,EXACT
53,10,-7,5930899,EXACT
53,11,-8,8214973,EXACT
53,13,-8,6365134,EXACT
53,14,-11,6624553,EXACT
53,16,-11,11131570,EXACT
53,17,-7,8176051,EXACT
53,19,-7,10095490,EXACT
53,20,-6,5930899,EXACT
53,22,-7,7710304,EXACT
53,23,-6,2053204,EXACT
53,25,-11,9706249,EXACT
53,26,-7,6365134,EXACT
100,1,-26,75500000,WALLED(lower-bound-only)
100,2,-25,75000000,WALLED(lower-bound-only)
100,4,-49,68500000,WALLED(lower-bound-only)
100,5,-48,67000000,WALLED(lower-bound-only)
100,7,-52,73500000,WALLED(lower-bound-only)
100,8,-47,72000000,WALLED(lower-bound-only)
100,10,-47,68500000,WALLED(lower-bound-only)
100,11,-51,75000000,WALLED(lower-bound-only)
100,13,-47,68000000,WALLED(lower-bound-only)
100,14,-51,73500000,WALLED(lower-bound-only)
100,16,-51,71000000,WALLED(lower-bound-only)
100,17,-48,74500000,WALLED(lower-bound-only)
100,19,-40,75500000,WALLED(lower-bound-only)
100,20,-46,68500000,WALLED(lower-bound-only)
100,22,-38,68000000,WALLED(lower-bound-only)
100,23,-37,54000000,WALLED(lower-bound-only)
100,25,-40,76500000,WALLED(lower-bound-only)
100,26,-46,68500000,WALLED(lower-bound-only)
200,1,-71,26000000,WALLED(lower-bound-only)
200,2,-70,26000000,WALLED(lower-bound-only)
200,4,-121,25000000,WALLED(lower-bound-only)
200,5,-121,25000000,WALLED(lower-bound-only)
200,7,-124,26000000,WALLED(lower-bound-only)
200,8,-120,25000000,WALLED(lower-bound-only)
200,10,-120,25500000,WALLED(lower-bound-only)
200,11,-123,26500000,WALLED(lower-bound-only)
200,13,-121,25500000,WALLED(lower-bound-only)
200,14,-123,26500000,WALLED(lower-bound-only)
200,16,-152,24500000,WALLED(lower-bound-only)
200,17,-121,25500000,WALLED(lower-bound-only)
200,19,-115,26000000,WALLED(lower-bound-only)
200,20,-119,24500000,WALLED(lower-bound-only)
200,22,-111,25500000,WALLED(lower-bound-only)
200,23,-130,27500000,WALLED(lower-bound-only)
200,25,-114,26000000,WALLED(lower-bound-only)
200,26,-120,25000000,WALLED(lower-bound-only)
306,1,-112,75000000,WALLED(lower-bound-only)
306,2,-111,74000000,WALLED(lower-bound-only)
306,4,-207,54500000,WALLED(lower-bound-only)
306,5,-211,54500000,WALLED(lower-bound-only)
306,7,-211,55500000,WALLED(lower-bound-only)
306,8,-206,53000000,WALLED(lower-bound-only)
306,10,-207,55000000,WALLED(lower-bound-only)
306,11,-211,54500000,WALLED(lower-bound-only)
306,13,-210,57500000,WALLED(lower-bound-only)
306,14,-210,55000000,WALLED(lower-bound-only)
306,16,-234,51000000,WALLED(lower-bound-only)
306,17,-210,58000000,WALLED(lower-bound-only)
306,19,-182,53500000,WALLED(lower-bound-only)
306,20,-206,55500000,WALLED(lower-bound-only)
306,22,-179,53500000,WALLED(lower-bound-only)
306,23,-213,58000000,WALLED(lower-bound-only)
306,25,-181,52000000,WALLED(lower-bound-only)
306,26,-209,57500000,WALLED(lower-bound-only)
