N,count_covered,density,complement_count,complement_density
0,12,0.000002400000,4999988,0.999997600000
1,56,0.000011200000,4999944,0.999988800000
2,190,0.000038000000,4999810,0.999962000000
3,485,0.000097000000,4999515,0.999903000000
4,1133,0.000226600000,4998867,0.999773400000
5,2179,0.000435800000,4997821,0.999564200000
6,4117,0.000823400000,4995883,0.999176600000
7,7137,0.001427400000,4992863,0.998572600000
8,11423,0.002284600000,4988577,0.997715400000
9,18373,0.003674600000,4981627,0.996325400000
10,26176,0.005235200000,4973824,0.994764800000
11,38028,0.007605600000,4961972,0.992394400000
12,52264,0.010452800000,4947736,0.989547200000
13,69743,0.013948600000,4930257,0.986051400000
14,94879,0.018975800000,4905121,0.981024200000
15,117953,0.023590600000,4882047,0.976409400000
16,150181,0.030036200000,4849819,0.969963800000
17,183992,0.036798400000,4816008,0.963201600000
18,222228,0.044445600000,4777772,0.955554400000
19,270193,0.054038600000,4729807,0.945961400000
20,312650,0.062530000000,4687350,0.937470000000
21,369756,0.073951200000,4630244,0.926048800000
22,417315,0.083463000000,4582685,0.916537000000
23,476608,0.095321600000,4523392,0.904678400000
24,547462,0.109492400000,4452538,0.890507600000
25,606807,0.121361400000,4393193,0.878638600000
26,685488,0.137097600000,4314512,0.862902400000
27,742933,0.148586600000,4257067,0.851413400000
28,818790,0.163758000000,4181210,0.836242000000
29,900109,0.180021800000,4099891,0.819978200000
30,970779,0.194155800000,4029221,0.805844200000
31,1058248,0.211649600000,3941752,0.788350400000
32,1122839,0.224567800000,3877161,0.775432200000
33,1207602,0.241520400000,3792398,0.758479600000
34,1281825,0.256365000000,3718175,0.743635000000
35,1358021,0.271604200000,3641979,0.728395800000
36,1452290,0.290458000000,3547710,0.709542000000
37,1519639,0.303927800000,3480361,0.696072200000
38,1608362,0.321672400000,3391638,0.678327600000
39,1667410,0.333482000000,3332590,0.666518000000
40,1745009,0.349001800000,3254991,0.650998200000
41,1828939,0.365787800000,3171061,0.634212200000
42,1896476,0.379295200000,3103524,0.620704800000
43,1984601,0.396920200000,3015399,0.603079800000
44,2043675,0.408735000000,2956325,0.591265000000
45,2122272,0.424454400000,2877728,0.575545600000
46,2200065,0.440013000000,2799935,0.559987000000
47,2269237,0.453847400000,2730763,0.546152600000
48,2358035,0.471607000000,2641965,0.528393000000
49,2419108,0.483821600000,2580892,0.516178400000
50,2500583,0.500116600000,2499417,0.499883400000
51,2554985,0.510997000000,2445015,0.489003000000
52,2627533,0.525506600000,2372467,0.474493400000
53,2716524,0.543304800000,2283476,0.456695200000
54,2781135,0.556227000000,2218865,0.443773000000
55,2867106,0.573421200000,2132894,0.426578800000
56,2924197,0.584839400000,2075803,0.415160600000
57,2999988,0.599997600000,2000012,0.400002400000
58,3076272,0.615254400000,1923728,0.384745600000
59,3142963,0.628592600000,1857037,0.371407400000
60,3229625,0.645925000000,1770375,0.354075000000
61,3287513,0.657502600000,1712487,0.342497400000
62,3363970,0.672794000000,1636030,0.327206000000
63,3416736,0.683347200000,1583264,0.316652800000
64,3482256,0.696451200000,1517744,0.303548800000
65,3566922,0.713384400000,1433078,0.286615600000
66,3622581,0.724516200000,1377419,0.275483800000
67,3696441,0.739288200000,1303559,0.260711800000
68,3743230,0.748646000000,1256770,0.251354000000
69,3805077,0.761015400000,1194923,0.238984600000
70,3872474,0.774494800000,1127526,0.225505200000
71,3924076,0.784815200000,1075924,0.215184800000
72,3991536,0.798307200000,1008464,0.201692800000
73,4034003,0.806800600000,965997,0.193199400000
74,4090062,0.818012400000,909938,0.181987600000
75,4127758,0.825551600000,872242,0.174448400000
76,4173185,0.834637000000,826815,0.165363000000
77,4232424,0.846484800000,767576,0.153515200000
78,4268766,0.853753200000,731234,0.146246800000
79,4316745,0.863349000000,683255,0.136651000000
80,4345212,0.869042400000,654788,0.130957600000
81,4383091,0.876618200000,616909,0.123381800000
82,4429589,0.885917800000,570411,0.114082200000
83,4459195,0.891839000000,540805,0.108161000000
84,4498131,0.899626200000,501869,0.100373800000
85,4521065,0.904213000000,478935,0.095787000000
86,4551828,0.910365600000,448172,0.089634400000
87,4573206,0.914641200000,426794,0.085358800000
88,4596942,0.919388400000,403058,0.080611600000
89,4628565,0.925713000000,371435,0.074287000000
90,4646929,0.929385800000,353071,0.070614200000
91,4671507,0.934301400000,328493,0.065698600000
92,4685551,0.937110200000,314449,0.062889800000
93,4704445,0.940889000000,295555,0.059111000000
94,4728919,0.945783800000,271081,0.054216200000
95,4743581,0.948716200000,256419,0.051283800000
96,4763278,0.952655600000,236722,0.047344400000
97,4774542,0.954908400000,225458,0.045091600000
98,4789791,0.957958200000,210209,0.042041800000
99,4802776,0.960555200000,197224,0.039444800000
100,4814335,0.962867000000,185665,0.037133000000
101,4829984,0.965996800000,170016,0.034003200000
102,4838832,0.967766400000,161168,0.032233600000
103,4850899,0.970179800000,149101,0.029820200000
104,4857543,0.971508600000,142457,0.028491400000
105,4866546,0.973309200000,133454,0.026690800000
106,4878622,0.975724400000,121378,0.024275600000
107,4885313,0.977062600000,114687,0.022937400000
108,4894505,0.978901000000,105495,0.021099000000
109,4899560,0.979912000000,100440,0.020088000000
110,4906525,0.981305000000,93475,0.018695000000
111,4913865,0.982773000000,86135,0.017227000000
112,4919163,0.983832600000,80837,0.016167400000
113,4926314,0.985262800000,73686,0.014737200000
114,4930212,0.986042400000,69788,0.013957600000
115,4935635,0.987127000000,64365,0.012873000000
116,4938793,0.987758600000,61207,0.012241400000
117,4942828,0.988565600000,57172,0.011434400000
118,4948370,0.989674000000,51630,0.010326000000
119,4951375,0.990275000000,48625,0.009725000000
