label,family,N,m,steps,D,d_rat,support_start,support_end,method,elapsed_sec
heartbeat,true,inf,2,53,0,0,22,22,computed,0.0065
heartbeat,periodic_2253,0_pure_period,2,53,0,0,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,3,53,1,1,22,22,computed,0.0066
heartbeat,periodic_2253,0_pure_period,3,53,1,1,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,4,53,1,1,22,22,computed,0.0061
heartbeat,periodic_2253,0_pure_period,4,53,1,1,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,5,53,2,2,22,22,computed,0.0067
heartbeat,periodic_2253,0_pure_period,5,53,2,2,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,6,53,2,2,22,22,computed,0.0089
heartbeat,periodic_2253,0_pure_period,6,53,2,2,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,7,53,2,2,22,22,computed,0.015
heartbeat,periodic_2253,0_pure_period,7,53,2,2,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,8,53,3,3,22,22,computed,0.0312
heartbeat,periodic_2253,0_pure_period,8,53,3,3,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,9,53,3,3,22,22,computed,0.0742
heartbeat,periodic_2253,0_pure_period,9,53,3,3,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,10,53,4,4,22,22,computed,0.2044
heartbeat,periodic_2253,0_pure_period,10,53,4,4,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,11,53,4,4,22,22,computed,0.6729
heartbeat,periodic_2253,0_pure_period,11,53,4,4,22,22,derived_letter_identity_0_53,0.0
heartbeat,true,inf,12,53,4,4,22,22,computed,2.1947
heartbeat,periodic_2253,0_pure_period,12,53,4,4,22,22,derived_letter_identity_0_53,0.0
heartbeat_spot,hybrid_fwd,0,2,53,0,0,22,22,computed_spot,0.0051
heartbeat_spot,hybrid_fwd,0,6,53,2,2,22,22,computed_spot,0.0088
heartbeat_spot,hybrid_fwd,0,12,53,4,4,22,22,computed_spot,2.0822
heartbeat_spot,hybrid_rev,0,2,53,0,0,22,22,computed_spot,0.005
heartbeat_spot,hybrid_rev,0,6,53,2,2,22,22,computed_spot,0.0084
heartbeat_spot,hybrid_rev,0,12,53,4,4,22,22,computed_spot,2.0735
heartbeat_spot,hybrid_fwd,53,2,53,0,0,22,22,computed_spot,0.0051
heartbeat_spot,hybrid_fwd,53,6,53,2,2,22,22,computed_spot,0.0084
heartbeat_spot,hybrid_fwd,53,12,53,4,4,22,22,computed_spot,2.0748
heartbeat_spot,hybrid_rev,53,2,53,0,0,22,22,computed_spot,0.0051
heartbeat_spot,hybrid_rev,53,6,53,2,2,22,22,computed_spot,0.0083
heartbeat_spot,hybrid_rev,53,12,53,4,4,22,22,computed_spot,2.0744
heartbeat_spot,hybrid_fwd,358,2,53,0,0,22,22,computed_spot,0.0051
heartbeat_spot,hybrid_fwd,358,6,53,2,2,22,22,computed_spot,0.0084
heartbeat_spot,hybrid_fwd,358,12,53,4,4,22,22,computed_spot,2.0757
heartbeat_spot,hybrid_rev,358,2,53,0,0,22,22,computed_spot,0.0051
heartbeat_spot,hybrid_rev,358,6,53,2,2,22,22,computed_spot,0.0085
heartbeat_spot,hybrid_rev,358,12,53,4,4,22,22,computed_spot,2.0853
heartbeat_spot,hybrid_fwd,359,2,53,0,0,22,22,computed_spot,0.0051
heartbeat_spot,hybrid_fwd,359,6,53,2,2,22,22,computed_spot,0.0084
heartbeat_spot,hybrid_fwd,359,12,53,4,4,22,22,computed_spot,2.077
heartbeat_spot,hybrid_rev,359,2,53,0,0,22,22,computed_spot,0.005
heartbeat_spot,hybrid_rev,359,6,53,2,2,22,22,computed_spot,0.0083
heartbeat_spot,hybrid_rev,359,12,53,4,4,22,22,computed_spot,2.0624
heartbeat,hybrid_fwd,0,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,0,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,53,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,106,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,200,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,300,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
