start_n,step_k,C_before,C_after,d_before,d_after,a_k,c_k,x_entry,x_exit,residue_mod,residue_next_mod,m_used,source,delta_before,delta_after,in_shell_before,in_shell_after,D_m,near_ceil_before,near_ceil_after,returned_200,return_steps,return_reason
80049391,1,0,1,0,1,1,2,120074087,180111131,497,17,6,high_reserve,0,0,False,True,2,True,True,True,1,d_le_C_before
80049391,5,1,2,1,2,1,2,303937535,455906303,668,638,6,high_reserve,0,0,True,False,2,True,True,True,1,d_le_C_before
80049391,6,2,3,2,3,1,2,455906303,683859455,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,8,3,4,3,4,1,2,1025789183,1538683775,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,10,4,5,4,5,1,2,2308025663,3462038495,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,11,5,6,5,6,1,2,3462038495,5193057743,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,13,6,7,6,7,1,2,7789586615,11684379923,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,30,7,8,7,8,1,2,14989800539,22484700809,479,719,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,35,8,9,8,9,1,2,28457199463,42685799195,661,263,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,39,9,10,9,10,1,2,72032286143,108048429215,263,395,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,41,10,11,10,11,1,2,162072643823,243108965735,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,42,11,12,11,12,1,2,243108965735,364663448603,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,46,12,13,12,13,1,2,615369569519,923054354279,182,638,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,47,13,14,13,14,1,2,923054354279,1384581531419,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,51,14,15,14,15,1,2,2336481334271,3504722001407,182,638,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,52,15,16,15,16,1,2,3504722001407,5257083002111,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,54,16,17,16,17,1,2,7885624503167,11828436754751,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
80049391,56,17,18,17,18,1,2,17742655132127,26613982698191,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
