source,start_n,k0,L,n_upcrossings,d_before,d_after,x_entry,word
high_reserve,80049391,0,3,1,0,1,80049391,111
high_reserve,80049391,4,11,6,1,7,202625023,11111111111
high_reserve,80049391,29,2,1,7,8,9993200359,11
high_reserve,80049391,35,2,1,9,9,28457199463,11
high_reserve,80049391,38,6,3,9,12,48021524095,111111
high_reserve,80049391,45,4,2,12,14,410246379679,1111
high_reserve,80049391,50,10,6,14,20,1557654222847,1111111111
high_reserve,80049391,65,2,1,20,21,85260908438887,11
high_reserve,80049391,68,4,2,21,23,143877782990623,1111
high_reserve,120080895,0,8,4,0,4,120080895,11111111
high_reserve,120080895,9,2,1,4,5,2308156519,11
high_reserve,120080895,12,3,1,5,6,3895014127,111
high_reserve,120080895,16,3,2,6,8,9859254511,111
high_reserve,120080895,20,4,2,8,10,24956237983,1111
high_reserve,120080895,25,9,4,10,14,94755716095,111111111
high_reserve,120080895,35,1,1,15,15,2732046035035,1
high_reserve,120080895,40,4,2,15,17,5186618644639,1111
high_reserve,120080895,45,6,3,17,20,19692942666367,111111
high_reserve,120080895,52,1,1,21,21,168236193794323,1
high_reserve,120080895,56,5,1,20,22,106461966385471,11111
high_reserve,120080895,62,3,1,21,23,303167083964879,111
high_reserve,210964383,0,4,2,0,2,210964383,1111
high_reserve,210964383,7,4,1,1,3,450565535,1111
high_reserve,210964383,14,4,2,3,5,1924583647,1111
high_reserve,210964383,23,3,1,5,6,4624216303,111
high_reserve,210964383,27,4,2,6,8,11705047519,1111
high_reserve,210964383,32,4,1,7,9,22221301151,1111
high_reserve,210964383,50,6,2,8,11,64141954175,111111
high_reserve,210964383,58,2,1,11,12,410972032567,11
high_reserve,210964383,61,12,5,11,17,346757652479,111111111111
high_reserve,210964383,74,8,3,16,20,16871450829311,11111111
high_reserve,210964383,86,3,2,20,22,273626120000623,111
high_reserve,210964383,111,4,1,21,23,421715039415391,1111
high_reserve,219259131,4,5,3,0,3,277499839,11111
high_reserve,219259131,31,4,2,3,5,1924583647,1111
high_reserve,219259131,40,3,1,4,6,4624216303,111
high_reserve,219259131,44,4,2,6,8,11705047519,1111
high_reserve,219259131,49,4,1,7,9,22221301151,1111
high_reserve,219259131,67,6,2,8,11,64141954175,111111
high_reserve,219259131,75,2,1,11,12,410972032567,11
high_reserve,219259131,78,12,5,11,17,346757652479,111111111111
high_reserve,219259131,91,8,3,16,20,16871450829311,11111111
high_reserve,219259131,103,3,2,20,22,273626120000623,111
high_reserve,219259131,128,4,1,21,23,421715039415391,1111
high_reserve,222250543,0,3,1,0,1,222250543,111
high_reserve,222250543,5,5,2,1,3,421928767,11111
high_reserve,222250543,19,4,2,3,5,1924583647,1111
high_reserve,222250543,28,3,1,4,6,4624216303,111
high_reserve,222250543,32,4,2,6,8,11705047519,1111
