L,modulus,mod_bits,residue,nonempty,min_positive_odd,note,general_engine_ok,log2_min_x
1,4,2,3,True,3,closed_form_-1_mod_2^{L+1},True,1
2,8,3,7,True,7,closed_form_-1_mod_2^{L+1},True,2
3,16,4,15,True,15,closed_form_-1_mod_2^{L+1},True,3
4,32,5,31,True,31,closed_form_-1_mod_2^{L+1},True,4
5,64,6,63,True,63,closed_form_-1_mod_2^{L+1},True,5
6,128,7,127,True,127,closed_form_-1_mod_2^{L+1},True,6
7,256,8,255,True,255,closed_form_-1_mod_2^{L+1},True,7
8,512,9,511,True,511,closed_form_-1_mod_2^{L+1},True,8
9,1024,10,1023,True,1023,closed_form_-1_mod_2^{L+1},True,9
10,2048,11,2047,True,2047,closed_form_-1_mod_2^{L+1},True,10
11,4096,12,4095,True,4095,closed_form_-1_mod_2^{L+1},True,11
12,8192,13,8191,True,8191,closed_form_-1_mod_2^{L+1},True,12
13,16384,14,16383,True,16383,closed_form_-1_mod_2^{L+1},,13
14,32768,15,32767,True,32767,closed_form_-1_mod_2^{L+1},,14
15,65536,16,65535,True,65535,closed_form_-1_mod_2^{L+1},,15
16,131072,17,131071,True,131071,closed_form_-1_mod_2^{L+1},,16
17,262144,18,262143,True,262143,closed_form_-1_mod_2^{L+1},,17
18,524288,19,524287,True,524287,closed_form_-1_mod_2^{L+1},,18
19,1048576,20,1048575,True,1048575,closed_form_-1_mod_2^{L+1},,19
20,2097152,21,2097151,True,2097151,closed_form_-1_mod_2^{L+1},,20
21,4194304,22,4194303,True,4194303,closed_form_-1_mod_2^{L+1},,21
22,8388608,23,8388607,True,8388607,closed_form_-1_mod_2^{L+1},,22
23,16777216,24,16777215,True,16777215,closed_form_-1_mod_2^{L+1},,23
24,33554432,25,33554431,True,33554431,closed_form_-1_mod_2^{L+1},,24
25,67108864,26,67108863,True,67108863,closed_form_-1_mod_2^{L+1},,25
26,134217728,27,134217727,True,134217727,closed_form_-1_mod_2^{L+1},,26
27,268435456,28,268435455,True,268435455,closed_form_-1_mod_2^{L+1},,27
28,536870912,29,536870911,True,536870911,closed_form_-1_mod_2^{L+1},,28
29,1073741824,30,1073741823,True,1073741823,closed_form_-1_mod_2^{L+1},,29
30,2147483648,31,2147483647,True,2147483647,closed_form_-1_mod_2^{L+1},,30
31,4294967296,32,4294967295,True,4294967295,closed_form_-1_mod_2^{L+1},,31
32,8589934592,33,8589934591,True,8589934591,closed_form_-1_mod_2^{L+1},,32
