source,start_n,k,a,c,d_before,d_after,C_before,at_ceiling
high_reserve,80049391,1,1,2,0,1,0,True
high_reserve,80049391,5,1,2,1,2,1,True
high_reserve,80049391,6,1,2,2,3,2,True
high_reserve,80049391,8,1,2,3,4,3,True
high_reserve,80049391,10,1,2,4,5,4,True
high_reserve,80049391,11,1,2,5,6,5,True
high_reserve,80049391,13,1,2,6,7,6,True
high_reserve,80049391,30,1,2,7,8,7,True
high_reserve,80049391,35,1,2,8,9,8,True
high_reserve,80049391,39,1,2,9,10,9,True
high_reserve,80049391,41,1,2,10,11,10,True
high_reserve,80049391,42,1,2,11,12,11,True
high_reserve,80049391,46,1,2,12,13,12,True
high_reserve,80049391,47,1,2,13,14,13,True
high_reserve,80049391,51,1,2,14,15,14,True
high_reserve,80049391,52,1,2,15,16,15,True
high_reserve,80049391,54,1,2,16,17,16,True
high_reserve,80049391,56,1,2,17,18,17,True
high_reserve,80049391,58,1,2,18,19,18,True
high_reserve,80049391,59,1,2,19,20,19,True
high_reserve,80049391,66,1,2,20,21,20,True
high_reserve,80049391,70,1,2,21,22,21,True
high_reserve,80049391,71,1,2,22,23,22,True
high_reserve,120080895,1,1,2,0,1,0,True
high_reserve,120080895,3,1,2,1,2,1,True
high_reserve,120080895,5,1,2,2,3,2,True
high_reserve,120080895,6,1,2,3,4,3,True
high_reserve,120080895,10,1,2,4,5,4,True
high_reserve,120080895,13,1,2,5,6,5,True
high_reserve,120080895,17,1,2,6,7,6,True
high_reserve,120080895,18,1,2,7,8,7,True
high_reserve,120080895,22,1,2,8,9,8,True
high_reserve,120080895,23,1,2,9,10,9,True
high_reserve,120080895,27,1,2,10,11,10,True
high_reserve,120080895,29,1,2,11,12,11,True
high_reserve,120080895,30,1,2,12,13,12,True
high_reserve,120080895,32,1,2,13,14,13,True
high_reserve,120080895,35,1,2,14,15,14,True
high_reserve,120080895,41,1,2,15,16,15,True
high_reserve,120080895,42,1,2,16,17,16,True
high_reserve,120080895,46,1,2,17,18,17,True
high_reserve,120080895,47,1,2,18,19,18,True
high_reserve,120080895,49,1,2,19,20,19,True
high_reserve,120080895,52,1,2,20,21,20,True
high_reserve,120080895,59,1,2,21,22,21,True
high_reserve,120080895,64,1,2,22,23,22,True
high_reserve,210964383,1,1,2,0,1,0,True
high_reserve,210964383,3,1,2,1,2,1,True
high_reserve,210964383,10,1,2,2,3,2,True
high_reserve,210964383,15,1,2,3,4,3,True
high_reserve,210964383,17,1,2,4,5,4,True
high_reserve,210964383,25,1,2,5,6,5,True
high_reserve,210964383,29,1,2,6,7,6,True
high_reserve,210964383,30,1,2,7,8,7,True
high_reserve,210964383,35,1,2,8,9,8,True
high_reserve,210964383,52,1,2,9,10,9,True
high_reserve,210964383,54,1,2,10,11,10,True
high_reserve,210964383,59,1,2,11,12,11,True
high_reserve,210964383,64,1,2,12,13,12,True
high_reserve,210964383,66,1,2,13,14,13,True
high_reserve,210964383,68,1,2,14,15,14,True
high_reserve,210964383,70,1,2,15,16,15,True
high_reserve,210964383,71,1,2,16,17,16,True
high_reserve,210964383,76,1,2,17,18,17,True
high_reserve,210964383,78,1,2,18,19,18,True
high_reserve,210964383,80,1,2,19,20,19,True
high_reserve,210964383,87,1,2,20,21,20,True
high_reserve,210964383,88,1,2,21,22,21,True
high_reserve,210964383,114,1,2,22,23,22,True
high_reserve,219259131,5,1,2,0,1,0,True
high_reserve,219259131,6,1,2,1,2,1,True
high_reserve,219259131,8,1,2,2,3,2,True
high_reserve,219259131,32,1,2,3,4,3,True
high_reserve,219259131,34,1,2,4,5,4,True
high_reserve,219259131,42,1,2,5,6,5,True
high_reserve,219259131,46,1,2,6,7,6,True
high_reserve,219259131,47,1,2,7,8,7,True
high_reserve,219259131,52,1,2,8,9,8,True
high_reserve,219259131,70,1,2,9,10,9,True
high_reserve,219259131,71,1,2,10,11,10,True
high_reserve,219259131,76,1,2,11,12,11,True
