L,k0,d0,d_final,min_d,n_virt_up,stayed_nonneg
24,0,0,14,0,14,True
24,1,0,14,0,14,True
24,2,0,14,0,14,True
24,3,0,14,0,14,True
24,4,0,14,0,14,True
24,5,0,14,0,14,True
24,6,0,14,0,14,True
24,7,0,14,0,14,True
24,8,0,14,0,14,True
24,9,0,14,0,14,True
24,10,0,14,0,14,True
24,11,0,14,0,14,True
24,12,0,14,0,14,True
24,13,0,14,0,14,True
24,14,0,14,0,14,True
24,15,0,14,0,14,True
24,16,0,14,0,14,True
24,17,0,14,0,14,True
24,18,0,14,0,14,True
24,19,0,14,0,14,True
24,20,0,14,0,14,True
24,21,0,14,0,14,True
24,22,0,14,0,14,True
24,23,0,14,0,14,True
24,24,0,14,0,14,True
24,25,0,14,0,14,True
24,26,0,14,0,14,True
24,27,0,14,0,14,True
24,28,0,14,0,14,True
24,29,0,15,0,15,True
24,30,0,14,0,14,True
24,31,0,14,0,14,True
24,32,0,14,0,14,True
24,33,0,14,0,14,True
24,34,0,14,0,14,True
24,35,0,14,0,14,True
24,36,0,14,0,14,True
24,37,0,14,0,14,True
24,38,0,14,0,14,True
24,39,0,14,0,14,True
24,40,0,14,0,14,True
24,41,0,15,0,15,True
24,42,0,14,0,14,True
24,43,0,14,0,14,True
24,44,0,14,0,14,True
24,45,0,14,0,14,True
24,46,0,14,0,14,True
24,47,0,14,0,14,True
24,48,0,14,0,14,True
24,49,0,14,0,14,True
24,50,0,14,0,14,True
24,51,0,14,0,14,True
24,52,0,14,0,14,True
