word,m,D_orig,D_true,D_rerun_steps106,D_rerun_Cwide,stable
golden-per8,2,0,1,1,0,False
golden-per8,4,1,2,1,1,True
golden-per8,6,2,3,2,2,True
golden-per8,7,2,3,2,2,True
golden-per8,9,3,4,3,3,True
golden-per8,10,3,4,4,3,False
golden-per8,12,4,5,4,4,True
sqrt2-per12,2,1,2,1,1,True
sqrt2-per12,3,1,2,1,1,True
sqrt2-per12,4,2,3,2,2,True
sqrt2-per12,6,3,4,3,3,True
sqrt2-per12,7,4,5,4,4,True
sqrt2-per12,8,4,5,4,4,True
sqrt2-per12,9,5,6,5,5,True
sqrt2-per12,10,5,6,6,5,False
sqrt2-per12,11,6,7,6,6,True
sqrt2-per12,13,7,8,7,7,True
