m,D,S0_max_partial_sum,S0_verdict,S0_died_at,S0_first_exceed_prefix,S1_max_partial_sum,S1_verdict,S1_died_at,S1_first_exceed_prefix,family
2,0,0,MATCH,,,0,MATCH,,,golden
3,1,1,MATCH,,,1,MATCH,,,golden
4,1,1,MATCH,,,1,MATCH,,,golden
5,2,2,MATCH,,,2,MATCH,,,golden
6,2,2,MATCH,,,2,MATCH,,,golden
7,2,2,MATCH,,,2,MATCH,,,golden
8,3,3,MATCH,,,3,MATCH,,,golden
9,3,3,MATCH,,,3,MATCH,,,golden
10,3,3,MATCH,,,3,MATCH,,,golden
11,4,4,MATCH,,,4,MATCH,,,golden
12,4,4,MATCH,,,4,MATCH,,,golden
13,5,5,MATCH,,,5,MATCH,,,golden
16,6,6,MATCH,,,6,MATCH,,,golden
2,1,1,MATCH,,,1,MATCH,,,sqrt2
3,1,1,MATCH,,,1,MATCH,,,sqrt2
4,2,2,MATCH,,,2,MATCH,,,sqrt2
5,3,3,MATCH,,,3,MATCH,,,sqrt2
6,3,3,MATCH,,,3,MATCH,,,sqrt2
7,4,4,MATCH,,,4,MATCH,,,sqrt2
8,4,4,MATCH,,,4,MATCH,,,sqrt2
9,5,5,MATCH,,,5,MATCH,,,sqrt2
10,5,5,MATCH,,,5,MATCH,,,sqrt2
11,6,6,MATCH,,,6,MATCH,,,sqrt2
12,7,7,MATCH,,,7,MATCH,,,sqrt2
13,7,7,MATCH,,,7,MATCH,,,sqrt2
14,8,8,MATCH,,,8,MATCH,,,sqrt2
15,8,8,MATCH,,,8,MATCH,,,sqrt2
16,9,9,MATCH,,,9,MATCH,,,sqrt2
