family,m,D,k,g_k,bound_k,is_binding
golden,2,0,1,0,0,True
golden,2,0,2,0,0,True
golden,3,1,1,0,0,True
golden,3,1,2,0,0,True
golden,3,1,3,1,1,True
golden,4,1,1,0,0,True
golden,4,1,2,0,0,True
golden,4,1,3,1,1,True
golden,4,1,4,1,1,True
golden,5,2,1,0,0,True
golden,5,2,2,0,0,True
golden,5,2,3,1,1,True
golden,5,2,4,1,1,True
golden,5,2,5,2,2,True
golden,6,2,1,0,0,True
golden,6,2,2,0,0,True
golden,6,2,3,1,1,True
golden,6,2,4,1,1,True
golden,6,2,5,2,2,True
golden,6,2,6,2,2,True
golden,7,2,1,0,0,True
golden,7,2,2,0,0,True
golden,7,2,3,1,1,True
golden,7,2,4,1,1,True
golden,7,2,5,2,2,True
golden,7,2,6,2,2,True
golden,7,2,7,2,2,True
golden,8,3,1,0,0,True
golden,8,3,2,0,0,True
golden,8,3,3,1,1,True
golden,8,3,4,1,1,True
golden,8,3,5,2,2,True
golden,8,3,6,2,2,True
golden,8,3,7,2,2,True
golden,8,3,8,3,3,True
golden,9,3,1,0,0,True
golden,9,3,2,0,0,True
golden,9,3,3,1,1,True
golden,9,3,4,1,1,True
golden,9,3,5,2,2,True
golden,9,3,6,2,2,True
golden,9,3,7,2,2,True
golden,9,3,8,3,3,True
golden,9,3,9,3,3,True
sqrt2,2,1,1,0,0,True
sqrt2,2,1,2,1,1,True
sqrt2,3,1,1,0,0,True
sqrt2,3,1,2,1,1,True
sqrt2,3,1,3,1,1,True
sqrt2,4,2,1,0,0,True
sqrt2,4,2,2,1,1,True
sqrt2,4,2,3,1,1,True
sqrt2,4,2,4,2,2,True
sqrt2,5,3,1,0,0,True
sqrt2,5,3,2,1,1,True
sqrt2,5,3,3,1,1,True
sqrt2,5,3,4,2,2,True
sqrt2,5,3,5,3,3,True
sqrt2,6,3,1,0,0,True
sqrt2,6,3,2,1,1,True
sqrt2,6,3,3,1,1,True
sqrt2,6,3,4,2,2,True
sqrt2,6,3,5,3,3,True
sqrt2,6,3,6,3,3,True
sqrt2,7,4,1,0,0,True
sqrt2,7,4,2,1,1,True
sqrt2,7,4,3,1,1,True
sqrt2,7,4,4,2,2,True
sqrt2,7,4,5,3,3,True
sqrt2,7,4,6,3,3,True
sqrt2,7,4,7,4,4,True
sqrt2,8,4,1,0,0,True
sqrt2,8,4,2,1,1,True
sqrt2,8,4,3,1,1,True
sqrt2,8,4,4,2,2,True
sqrt2,8,4,5,3,3,True
sqrt2,8,4,6,3,3,True
sqrt2,8,4,7,4,4,True
sqrt2,8,4,8,4,4,True
sqrt2,9,5,1,0,0,True
sqrt2,9,5,2,1,1,True
sqrt2,9,5,3,1,1,True
sqrt2,9,5,4,2,2,True
sqrt2,9,5,5,3,3,True
sqrt2,9,5,6,3,3,True
sqrt2,9,5,7,4,4,True
sqrt2,9,5,8,4,4,True
sqrt2,9,5,9,5,5,True
