family,m,D,C,n_optimal_total,n_non_loop,loop_unique,n_dumped,any_non_loop_binds_everywhere,wall_s
golden-per8,2,0,12,1,0,True,0,False,0.001
golden-per8,3,1,12,1,0,True,0,False,0.001
golden-per8,4,1,12,1,0,True,0,False,0.001
golden-per8,5,2,12,1,0,True,0,False,0.002
golden-per8,6,2,12,1,0,True,0,False,0.004
golden-per8,7,2,12,1,0,True,0,False,0.013
golden-per8,8,3,12,1,0,True,0,False,0.033
golden-per8,9,3,12,1,0,True,0,False,0.1
golden-per8,10,3,12,1,0,True,0,False,1.08
golden-per8,11,4,12,1,0,True,0,False,1.037
golden-per8,12,4,14,1,0,True,0,False,7.68
golden-per8,13,5,14,1,0,True,0,False,18.434
sqrt2-per12,2,1,12,1,0,True,0,False,0.0
sqrt2-per12,3,1,12,1,0,True,0,False,0.001
sqrt2-per12,4,2,12,1,0,True,0,False,0.001
sqrt2-per12,5,3,12,1,0,True,0,False,0.002
sqrt2-per12,6,3,12,1,0,True,0,False,0.004
sqrt2-per12,7,4,12,1,0,True,0,False,0.01
sqrt2-per12,8,4,12,1,0,True,0,False,0.029
sqrt2-per12,9,5,12,1,0,True,0,False,0.111
sqrt2-per12,10,5,12,1,0,True,0,False,0.286
sqrt2-per12,11,6,12,1,0,True,0,False,3.692
sqrt2-per12,12,7,14,1,0,True,0,False,7.282
sqrt2-per12,13,7,14,1,0,True,0,False,17.673
