family,m,D,delta_tax,a_sequence,is_loop,has_a1,excursion_shape
golden,2,0,0,2 2,True,False,()
golden,2,0,2,4 2,False,False,"((1, (4,)),)"
golden,3,1,0,2 2 2,True,False,()
golden,3,1,1,1 4 2,False,True,"((2, (1, 4)),)"
golden,3,1,2,4 2 2,False,False,"((1, (4,)),)"
golden,4,1,0,2 2 2 2,True,False,()
golden,4,1,2,4 2 2 2,False,False,"((1, (4,)),)"
golden,5,2,0,2 2 2 2 2,True,False,()
golden,5,2,1,1 4 2 2 2,False,True,"((2, (1, 4)),)"
golden,5,2,2,1 2 3 4 2,False,True,"((1, (1,)), (2, (3, 4)))"
golden,5,2,2,4 2 2 2 2,False,False,"((1, (4,)),)"
golden,6,2,0,2 2 2 2 2 2,True,False,()
golden,6,2,2,4 2 2 2 2 2,False,False,"((1, (4,)),)"
golden,7,2,0,2 2 2 2 2 2 2,True,False,()
golden,7,2,2,4 2 2 2 2 2 2,False,False,"((1, (4,)),)"
golden,8,3,0,2 2 2 2 2 2 2 2,True,False,()
golden,8,3,1,1 4 2 2 2 2 2 2,False,True,"((2, (1, 4)),)"
golden,8,3,2,2 1 3 1 2 3 4 2,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
golden,8,3,2,1 3 1 2 3 4 2 2,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
golden,8,3,2,2 2 1 3 1 2 3 4,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
golden,8,3,2,1 2 3 4 2 2 2 2,False,True,"((1, (1,)), (2, (3, 4)))"
golden,8,3,2,4 2 2 2 2 2 2 2,False,False,"((1, (4,)),)"
sqrt2,2,1,0,2 2,True,False,()
sqrt2,2,1,1,1 4,False,True,"((2, (1, 4)),)"
sqrt2,2,1,2,4 2,False,False,"((1, (4,)),)"
sqrt2,3,1,0,2 2 2,True,False,()
sqrt2,3,1,2,4 2 2,False,False,"((1, (4,)),)"
sqrt2,4,2,0,2 2 2 2,True,False,()
sqrt2,4,2,1,1 4 2 2,False,True,"((2, (1, 4)),)"
sqrt2,4,2,2,1 2 3 4,False,True,"((1, (1,)), (2, (3, 4)))"
sqrt2,4,2,2,4 2 2 2,False,False,"((1, (4,)),)"
sqrt2,5,3,0,2 2 2 2 2,True,False,()
sqrt2,5,3,1,1 4 2 2 2,False,True,"((2, (1, 4)),)"
sqrt2,5,3,1,1 1 2 3 4,False,True,"((2, (1, 1)), (2, (3, 4)))"
sqrt2,5,3,2,1 2 3 4 2,False,True,"((1, (1,)), (2, (3, 4)))"
sqrt2,5,3,2,4 2 2 2 2,False,False,"((1, (4,)),)"
sqrt2,6,3,0,2 2 2 2 2 2,True,False,()
sqrt2,6,3,1,2 1 1 2 3 4,False,True,"((2, (1, 1)), (2, (3, 4)))"
sqrt2,6,3,2,4 2 2 2 2 2,False,False,"((1, (4,)),)"
sqrt2,7,4,0,2 2 2 2 2 2 2,True,False,()
sqrt2,7,4,1,2 1 1 2 3 4 2,False,True,"((2, (1, 1)), (2, (3, 4)))"
sqrt2,7,4,1,1 4 2 2 2 2 2,False,True,"((2, (1, 4)),)"
sqrt2,7,4,2,4 2 2 2 2 2 2,False,False,"((1, (4,)),)"
sqrt2,7,4,2,1 3 1 2 3 4 2,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
sqrt2,7,4,2,1 2 3 4 2 2 2,False,True,"((1, (1,)), (2, (3, 4)))"
sqrt2,7,4,2,2 1 3 1 2 3 4,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
sqrt2,8,4,0,2 2 2 2 2 2 2 2,True,False,()
sqrt2,8,4,2,2 2 1 3 1 2 3 4,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
sqrt2,8,4,2,4 2 2 2 2 2 2 2,False,False,"((1, (4,)),)"
sqrt2,8,4,2,2 1 3 1 2 3 4 2,False,True,"((3, (1, 3, 1)), (2, (3, 4)))"
