family,m,p,q,D_start,D_end,plus1_form,minus1_mirror_form,start_matches_plus1,start_matches_minus1mirror,end_matches_plus1,end_matches_minus1mirror
golden,2,3,8,1,0,0,0,False,False,True,True
golden,3,3,8,2,1,1,1,False,False,True,True
golden,4,3,8,2,1,1,1,False,False,True,True
golden,5,3,8,2,2,2,1,True,False,True,False
golden,6,3,8,3,2,2,2,False,False,True,True
golden,7,3,8,3,2,2,2,False,False,True,True
golden,8,3,8,3,3,3,2,True,False,True,False
golden,9,3,8,4,3,3,3,False,False,True,True
golden,10,3,8,4,3,3,3,False,False,True,True
golden,11,3,8,5,4,4,4,False,False,True,True
golden,12,3,8,5,4,4,4,False,False,True,True
golden,13,3,8,5,5,5,4,True,False,True,False
sqrt2,2,7,12,2,1,1,1,False,False,True,True
sqrt2,3,7,12,2,1,1,1,False,False,True,True
sqrt2,4,7,12,3,2,2,2,False,False,True,True
sqrt2,5,7,12,3,3,3,2,True,False,True,False
sqrt2,6,7,12,4,3,3,3,False,False,True,True
sqrt2,7,7,12,5,4,4,4,False,False,True,True
sqrt2,8,7,12,5,4,4,4,False,False,True,True
sqrt2,9,7,12,6,5,5,5,False,False,True,True
sqrt2,10,7,12,6,5,5,5,False,False,True,True
sqrt2,11,7,12,7,6,6,6,False,False,True,True
sqrt2,12,7,12,7,7,7,6,True,False,True,False
sqrt2,13,7,12,8,7,7,7,False,False,True,True
