m,word,D,L,n_optimal,min_tax_a1,note
2,11,2,2,1,1,
2,12,1,1,1,1,
2,21,1,1,1,>2,
2,22,0,0,1,>2,
3,111,3,3,1,1,
3,112,2,2,1,1,
3,121,2,2,1,1,
3,122,1,1,1,1,
3,211,2,2,1,>2,
3,212,1,1,1,>2,
3,221,1,1,1,>2,
3,222,0,0,1,>2,
4,1111,4,4,1,1,
4,1112,3,3,1,1,
4,1121,3,3,1,1,
4,1122,2,2,1,1,
4,1211,3,3,1,1,
4,1212,2,2,1,1,
4,1221,2,2,1,1,
4,1222,1,1,1,1,
4,2111,3,3,1,>2,
4,2112,2,2,1,>2,
4,2121,2,2,1,>2,
4,2122,1,1,1,>2,
4,2211,2,2,1,>2,
4,2212,1,1,1,>2,
4,2221,1,1,1,>2,
4,2222,0,0,1,>2,
5,11111,5,5,1,1,
5,11112,4,4,1,1,
5,11121,4,4,1,1,
5,11122,3,3,1,1,
5,11211,4,4,1,1,
5,11212,3,3,1,1,
5,11221,3,3,1,1,
5,11222,2,2,1,1,
5,12111,4,4,1,1,
5,12112,3,3,1,1,
5,12121,3,3,1,1,
5,12122,2,2,1,1,
5,12211,3,3,1,1,
5,12212,2,2,1,1,
5,12221,2,2,1,1,
5,12222,1,1,1,1,
5,21111,4,4,1,>2,
5,21112,3,3,1,>2,
5,21121,3,3,1,>2,
5,21122,2,2,1,>2,
5,21211,3,3,1,>2,
5,21212,2,2,1,>2,
5,21221,2,2,1,>2,
5,21222,1,1,1,>2,
5,22111,3,3,1,>2,
5,22112,2,2,1,>2,
5,22121,2,2,1,>2,
5,22122,1,1,1,>2,
5,22211,2,2,1,>2,
5,22212,1,1,1,>2,
5,22221,1,1,1,>2,
5,22222,0,0,1,>2,
6,111111,6,6,1,1,
6,111112,5,5,1,1,
6,111121,5,5,1,1,
6,111122,4,4,1,1,
6,111211,5,5,1,1,
6,111212,4,4,1,1,
6,111221,4,4,1,1,
6,111222,3,3,1,1,
6,112111,5,5,1,1,
6,112112,4,4,1,1,
6,112121,4,4,1,1,
6,112122,3,3,1,1,
6,112211,4,4,1,1,
6,112212,3,3,1,1,
6,112221,3,3,1,1,
6,112222,2,2,1,1,
6,121111,5,5,1,1,
6,121112,4,4,1,1,
6,121121,4,4,1,1,
6,121122,3,3,1,1,
6,121211,4,4,1,1,
6,121212,3,3,1,1,
6,121221,3,3,1,1,
6,121222,2,2,1,1,
6,122111,4,4,1,1,
6,122112,3,3,1,1,
6,122121,3,3,1,1,
6,122122,2,2,1,1,
6,122211,3,3,1,1,
6,122212,2,2,1,1,
6,122221,2,2,1,1,
6,122222,1,1,1,1,
6,211111,5,5,1,1,
6,211112,4,4,1,1,
6,211121,4,4,1,1,
6,211122,3,3,1,1,
6,211211,4,4,1,1,
6,211212,3,3,1,1,
6,211221,3,3,1,1,
6,211222,2,2,1,1,
6,212111,4,4,1,>2,
6,212112,3,3,1,>2,
6,212121,3,3,1,>2,
6,212122,2,2,1,>2,
6,212211,3,3,1,>2,
6,212212,2,2,1,>2,
6,212221,2,2,1,>2,
6,212222,1,1,1,>2,
6,221111,4,4,1,>2,
6,221112,3,3,1,>2,
6,221121,3,3,1,>2,
6,221122,2,2,1,>2,
6,221211,3,3,1,>2,
6,221212,2,2,1,>2,
6,221221,2,2,1,>2,
6,221222,1,1,1,>2,
6,222111,3,3,1,>2,
6,222112,2,2,1,>2,
6,222121,2,2,1,>2,
6,222122,1,1,1,>2,
6,222211,2,2,1,>2,
6,222212,1,1,1,>2,
6,222221,1,1,1,>2,
6,222222,0,0,1,>2,
7,1111111,7,7,1,1,
7,1111112,6,6,1,1,
7,1111121,6,6,1,1,
7,1111122,5,5,1,1,
7,1111211,6,6,1,1,
7,1111212,5,5,1,1,
7,1111221,5,5,1,1,
7,1111222,4,4,1,1,
7,1112111,6,6,1,1,
7,1112112,5,5,1,1,
7,1112121,5,5,1,1,
7,1112122,4,4,1,1,
7,1112211,5,5,1,1,
7,1112212,4,4,1,1,
7,1112221,4,4,1,1,
7,1112222,3,3,1,1,
7,1121111,6,6,1,1,
7,1121112,5,5,1,1,
7,1121121,5,5,1,1,
7,1121122,4,4,1,1,
7,1121211,5,5,1,1,
7,1121212,4,4,1,1,
7,1121221,4,4,1,1,
7,1121222,3,3,1,1,
7,1122111,5,5,1,1,
7,1122112,4,4,1,1,
7,1122121,4,4,1,1,
7,1122122,3,3,1,1,
7,1122211,4,4,1,1,
7,1122212,3,3,1,1,
7,1122221,3,3,1,1,
7,1122222,2,2,1,1,
7,1211111,6,6,1,1,
7,1211112,5,5,1,1,
7,1211121,5,5,1,1,
7,1211122,4,4,1,1,
7,1211211,5,5,1,1,
7,1211212,4,4,1,1,
7,1211221,4,4,1,1,
7,1211222,3,3,1,1,
7,1212111,5,5,1,1,
7,1212112,4,4,1,1,
7,1212121,4,4,1,1,
7,1212122,3,3,1,1,
7,1212211,4,4,1,1,
7,1212212,3,3,1,1,
7,1212221,3,3,1,1,
7,1212222,2,2,1,1,
7,1221111,5,5,1,1,
7,1221112,4,4,1,1,
7,1221121,4,4,1,1,
7,1221122,3,3,1,1,
7,1221211,4,4,1,1,
7,1221212,3,3,1,1,
7,1221221,3,3,1,1,
7,1221222,2,2,1,1,
7,1222111,4,4,1,1,
7,1222112,3,3,1,1,
7,1222121,3,3,1,1,
7,1222122,2,2,1,1,
7,1222211,3,3,1,1,
7,1222212,2,2,1,1,
7,1222221,2,2,1,1,
7,1222222,1,1,1,1,
7,2111111,6,6,1,1,
7,2111112,5,5,1,1,
7,2111121,5,5,1,1,
7,2111122,4,4,1,1,
7,2111211,5,5,1,1,
7,2111212,4,4,1,1,
7,2111221,4,4,1,1,
7,2111222,3,3,1,1,
7,2112111,5,5,1,1,
7,2112112,4,4,1,1,
7,2112121,4,4,1,1,
7,2112122,3,3,1,1,
7,2112211,4,4,1,1,
7,2112212,3,3,1,1,
7,2112221,3,3,1,1,
7,2112222,2,2,1,1,
7,2121111,5,5,1,2,
7,2121112,4,4,1,2,
7,2121121,4,4,1,2,
7,2121122,3,3,1,2,
7,2121211,4,4,1,2,
7,2121212,3,3,1,2,
7,2121221,3,3,1,2,
7,2121222,2,2,1,2,
7,2122111,4,4,1,2,
7,2122112,3,3,1,2,
7,2122121,3,3,1,2,
7,2122122,2,2,1,2,
7,2122211,3,3,1,2,
7,2122212,2,2,1,2,
7,2122221,2,2,1,2,
7,2122222,1,1,1,2,
7,2211111,5,5,1,>2,
7,2211112,4,4,1,>2,
7,2211121,4,4,1,>2,
7,2211122,3,3,1,>2,
7,2211211,4,4,1,>2,
7,2211212,3,3,1,>2,
7,2211221,3,3,1,>2,
7,2211222,2,2,1,>2,
7,2212111,4,4,1,>2,
7,2212112,3,3,1,>2,
7,2212121,3,3,1,>2,
7,2212122,2,2,1,>2,
7,2212211,3,3,1,>2,
7,2212212,2,2,1,>2,
7,2212221,2,2,1,>2,
7,2212222,1,1,1,>2,
7,2221111,4,4,1,>2,
7,2221112,3,3,1,>2,
7,2221121,3,3,1,>2,
7,2221122,2,2,1,>2,
7,2221211,3,3,1,>2,
7,2221212,2,2,1,>2,
7,2221221,2,2,1,>2,
7,2221222,1,1,1,>2,
7,2222111,3,3,1,>2,
7,2222112,2,2,1,>2,
7,2222121,2,2,1,>2,
7,2222122,1,1,1,>2,
7,2222211,2,2,1,>2,
7,2222212,1,1,1,>2,
7,2222221,1,1,1,>2,
7,2222222,0,0,1,>2,
8,11111111,8,8,1,1,
8,11111112,7,7,1,1,
8,11111121,7,7,1,1,
8,11111122,6,6,1,1,
8,11111211,7,7,1,1,
8,11111212,6,6,1,1,
8,11111221,6,6,1,1,
8,11111222,5,5,1,1,
8,11112111,7,7,1,1,
8,11112112,6,6,1,1,
8,11112121,6,6,1,1,
8,11112122,5,5,1,1,
8,11112211,6,6,1,1,
8,11112212,5,5,1,1,
8,11112221,5,5,1,1,
8,11112222,4,4,1,1,
8,11121111,7,7,1,1,
8,11121112,6,6,1,1,
8,11121121,6,6,1,1,
8,11121122,5,5,1,1,
8,11121211,6,6,1,1,
8,11121212,5,5,1,1,
8,11121221,5,5,1,1,
8,11121222,4,4,1,1,
8,11122111,6,6,1,1,
8,11122112,5,5,1,1,
8,11122121,5,5,1,1,
8,11122122,4,4,1,1,
8,11122211,5,5,1,1,
8,11122212,4,4,1,1,
8,11122221,4,4,1,1,
8,11122222,3,3,1,1,
8,11211111,7,7,1,1,
8,11211112,6,6,1,1,
8,11211121,6,6,1,1,
8,11211122,5,5,1,1,
8,11211211,6,6,1,1,
8,11211212,5,5,1,1,
8,11211221,5,5,1,1,
8,11211222,4,4,1,1,
8,11212111,6,6,1,1,
8,11212112,5,5,1,1,
8,11212121,5,5,1,1,
8,11212122,4,4,1,1,
8,11212211,5,5,1,1,
8,11212212,4,4,1,1,
8,11212221,4,4,1,1,
8,11212222,3,3,1,1,
8,11221111,6,6,1,1,
8,11221112,5,5,1,1,
8,11221121,5,5,1,1,
8,11221122,4,4,1,1,
8,11221211,5,5,1,1,
8,11221212,4,4,1,1,
8,11221221,4,4,1,1,
8,11221222,3,3,1,1,
8,11222111,5,5,1,1,
8,11222112,4,4,1,1,
8,11222121,4,4,1,1,
8,11222122,3,3,1,1,
8,11222211,4,4,1,1,
8,11222212,3,3,1,1,
8,11222221,3,3,1,1,
8,11222222,2,2,1,1,
8,12111111,7,7,1,1,
8,12111112,6,6,1,1,
8,12111121,6,6,1,1,
8,12111122,5,5,1,1,
8,12111211,6,6,1,1,
8,12111212,5,5,1,1,
8,12111221,5,5,1,1,
8,12111222,4,4,1,1,
8,12112111,6,6,1,1,
8,12112112,5,5,1,1,
8,12112121,5,5,1,1,
8,12112122,4,4,1,1,
8,12112211,5,5,1,1,
8,12112212,4,4,1,1,
8,12112221,4,4,1,1,
8,12112222,3,3,1,1,
8,12121111,6,6,1,1,
8,12121112,5,5,1,1,
8,12121121,5,5,1,1,
8,12121122,4,4,1,1,
8,12121211,5,5,1,1,
8,12121212,4,4,1,1,
8,12121221,4,4,1,1,
8,12121222,3,3,1,1,
8,12122111,5,5,1,1,
8,12122112,4,4,1,1,
8,12122121,4,4,1,1,
8,12122122,3,3,1,1,
8,12122211,4,4,1,1,
8,12122212,3,3,1,1,
8,12122221,3,3,1,1,
8,12122222,2,2,1,1,
8,12211111,6,6,1,1,
8,12211112,5,5,1,1,
8,12211121,5,5,1,1,
8,12211122,4,4,1,1,
8,12211211,5,5,1,1,
8,12211212,4,4,1,1,
8,12211221,4,4,1,1,
8,12211222,3,3,1,1,
8,12212111,5,5,1,1,
8,12212112,4,4,1,1,
8,12212121,4,4,1,1,
8,12212122,3,3,1,1,
8,12212211,4,4,1,1,
8,12212212,3,3,1,1,
8,12212221,3,3,1,1,
8,12212222,2,2,1,1,
8,12221111,5,5,1,1,
8,12221112,4,4,1,1,
8,12221121,4,4,1,1,
8,12221122,3,3,1,1,
8,12221211,4,4,1,1,
8,12221212,3,3,1,1,
8,12221221,3,3,1,1,
8,12221222,2,2,1,1,
8,12222111,4,4,1,1,
8,12222112,3,3,1,1,
8,12222121,3,3,1,1,
8,12222122,2,2,1,1,
8,12222211,3,3,1,1,
8,12222212,2,2,1,1,
8,12222221,2,2,1,1,
8,12222222,1,1,1,1,
8,21111111,7,7,1,1,
8,21111112,6,6,1,1,
8,21111121,6,6,1,1,
8,21111122,5,5,1,1,
8,21111211,6,6,1,1,
8,21111212,5,5,1,1,
8,21111221,5,5,1,1,
8,21111222,4,4,1,1,
8,21112111,6,6,1,1,
8,21112112,5,5,1,1,
8,21112121,5,5,1,1,
8,21112122,4,4,1,1,
8,21112211,5,5,1,1,
8,21112212,4,4,1,1,
8,21112221,4,4,1,1,
8,21112222,3,3,1,1,
8,21121111,6,6,1,1,
8,21121112,5,5,1,1,
8,21121121,5,5,1,1,
