family,m,mod_target,r0,r0_mod3,effective_target_mod_3m,D_r,D_at_r1,h_r
golden-per8,2,27,1,1,1,0,0,0
golden-per8,2,27,2,2,2,0,0,0
golden-per8,2,27,4,1,4,0,0,0
golden-per8,2,27,5,2,5,1,0,1
golden-per8,2,27,7,1,7,2,0,2
golden-per8,2,27,8,2,8,0,0,0
golden-per8,2,27,10,1,1,0,0,0
golden-per8,2,27,11,2,2,0,0,0
golden-per8,2,27,13,1,4,0,0,0
golden-per8,2,27,14,2,5,1,0,1
golden-per8,2,27,16,1,7,2,0,2
golden-per8,2,27,17,2,8,0,0,0
golden-per8,2,27,19,1,1,0,0,0
golden-per8,2,27,20,2,2,0,0,0
golden-per8,2,27,22,1,4,0,0,0
golden-per8,2,27,23,2,5,1,0,1
golden-per8,2,27,25,1,7,2,0,2
golden-per8,2,27,26,2,8,0,0,0
golden-per8,2,81,1,1,1,0,0,0
golden-per8,2,81,2,2,2,0,0,0
golden-per8,2,81,4,1,4,0,0,0
golden-per8,2,81,5,2,5,1,0,1
golden-per8,2,81,7,1,7,2,0,2
golden-per8,2,81,8,2,8,0,0,0
golden-per8,2,81,10,1,1,0,0,0
golden-per8,2,81,11,2,2,0,0,0
golden-per8,2,81,13,1,4,0,0,0
golden-per8,2,81,14,2,5,1,0,1
golden-per8,2,81,16,1,7,2,0,2
golden-per8,2,81,17,2,8,0,0,0
golden-per8,2,81,19,1,1,0,0,0
golden-per8,2,81,20,2,2,0,0,0
golden-per8,2,81,22,1,4,0,0,0
golden-per8,2,81,23,2,5,1,0,1
golden-per8,2,81,25,1,7,2,0,2
golden-per8,2,81,26,2,8,0,0,0
golden-per8,2,81,28,1,1,0,0,0
golden-per8,2,81,29,2,2,0,0,0
golden-per8,2,81,31,1,4,0,0,0
golden-per8,2,81,32,2,5,1,0,1
golden-per8,2,81,34,1,7,2,0,2
golden-per8,2,81,35,2,8,0,0,0
golden-per8,2,81,37,1,1,0,0,0
golden-per8,2,81,38,2,2,0,0,0
golden-per8,2,81,40,1,4,0,0,0
golden-per8,2,81,41,2,5,1,0,1
golden-per8,2,81,43,1,7,2,0,2
golden-per8,2,81,44,2,8,0,0,0
golden-per8,2,81,46,1,1,0,0,0
golden-per8,2,81,47,2,2,0,0,0
golden-per8,2,81,49,1,4,0,0,0
