family,m,mod_target,r0,folds_onto_r0,effective_target
golden-per8,2,27,10,"(1, 0)",1
golden-per8,2,27,11,"(2, 0)",2
golden-per8,2,27,13,"(4, 0)",4
golden-per8,2,27,14,"(5, 1)",5
golden-per8,2,27,16,"(7, 2)",7
golden-per8,2,27,17,"(8, 0)",8
golden-per8,2,27,19,"(1, 0)",1
golden-per8,2,27,20,"(2, 0)",2
golden-per8,2,27,22,"(4, 0)",4
golden-per8,2,27,23,"(5, 1)",5
golden-per8,2,27,25,"(7, 2)",7
golden-per8,2,27,26,"(8, 0)",8
golden-per8,2,81,10,"(1, 0)",1
golden-per8,2,81,11,"(2, 0)",2
golden-per8,2,81,13,"(4, 0)",4
golden-per8,2,81,14,"(5, 1)",5
golden-per8,2,81,16,"(7, 2)",7
golden-per8,2,81,17,"(8, 0)",8
golden-per8,2,81,19,"(1, 0)",1
golden-per8,2,81,20,"(2, 0)",2
golden-per8,2,81,22,"(4, 0)",4
golden-per8,2,81,23,"(5, 1)",5
golden-per8,2,81,25,"(7, 2)",7
golden-per8,2,81,26,"(8, 0)",8
golden-per8,2,81,28,"(1, 0)",1
golden-per8,2,81,29,"(2, 0)",2
golden-per8,2,81,31,"(4, 0)",4
golden-per8,2,81,32,"(5, 1)",5
golden-per8,2,81,34,"(7, 2)",7
golden-per8,2,81,35,"(8, 0)",8
golden-per8,2,81,37,"(1, 0)",1
golden-per8,2,81,38,"(2, 0)",2
golden-per8,2,81,40,"(4, 0)",4
golden-per8,2,81,41,"(5, 1)",5
golden-per8,2,81,43,"(7, 2)",7
golden-per8,2,81,44,"(8, 0)",8
golden-per8,2,81,46,"(1, 0)",1
golden-per8,2,81,47,"(2, 0)",2
golden-per8,2,81,49,"(4, 0)",4
golden-per8,2,81,50,"(5, 1)",5
golden-per8,2,81,52,"(7, 2)",7
golden-per8,2,81,53,"(8, 0)",8
golden-per8,2,81,55,"(1, 0)",1
golden-per8,2,81,56,"(2, 0)",2
golden-per8,2,81,58,"(4, 0)",4
golden-per8,2,81,59,"(5, 1)",5
golden-per8,2,81,61,"(7, 2)",7
golden-per8,2,81,62,"(8, 0)",8
golden-per8,2,81,64,"(1, 0)",1
golden-per8,2,81,65,"(2, 0)",2
golden-per8,2,81,67,"(4, 0)",4
golden-per8,2,81,68,"(5, 1)",5
golden-per8,2,81,70,"(7, 2)",7
golden-per8,2,81,71,"(8, 0)",8
golden-per8,2,81,73,"(1, 0)",1
golden-per8,2,81,74,"(2, 0)",2
golden-per8,2,81,76,"(4, 0)",4
golden-per8,2,81,77,"(5, 1)",5
golden-per8,2,81,79,"(7, 2)",7
golden-per8,2,81,80,"(8, 0)",8
golden-per8,3,81,28,"(1, 1)",1
golden-per8,3,81,29,"(2, 0)",2
golden-per8,3,81,31,"(4, 2)",4
golden-per8,3,81,32,"(5, 1)",5
golden-per8,3,81,34,"(7, 3)",7
golden-per8,3,81,35,"(8, 1)",8
golden-per8,3,81,37,"(10, 0)",10
golden-per8,3,81,38,"(11, 1)",11
golden-per8,3,81,40,"(13, 0)",13
golden-per8,3,81,41,"(14, 2)",14
golden-per8,3,81,43,"(16, 2)",16
golden-per8,3,81,44,"(17, 0)",17
golden-per8,3,81,46,"(19, 2)",19
golden-per8,3,81,47,"(20, 0)",20
golden-per8,3,81,49,"(22, 0)",22
golden-per8,3,81,50,"(23, 3)",23
golden-per8,3,81,52,"(25, 4)",25
golden-per8,3,81,53,"(26, 0)",26
golden-per8,3,81,55,"(1, 1)",1
golden-per8,3,81,56,"(2, 0)",2
golden-per8,3,81,58,"(4, 2)",4
golden-per8,3,81,59,"(5, 1)",5
golden-per8,3,81,61,"(7, 3)",7
golden-per8,3,81,62,"(8, 1)",8
golden-per8,3,81,64,"(10, 0)",10
golden-per8,3,81,65,"(11, 1)",11
golden-per8,3,81,67,"(13, 0)",13
golden-per8,3,81,68,"(14, 2)",14
golden-per8,3,81,70,"(16, 2)",16
golden-per8,3,81,71,"(17, 0)",17
golden-per8,3,81,73,"(19, 2)",19
golden-per8,3,81,74,"(20, 0)",20
golden-per8,3,81,76,"(22, 0)",22
golden-per8,3,81,77,"(23, 3)",23
golden-per8,3,81,79,"(25, 4)",25
golden-per8,3,81,80,"(26, 0)",26
sqrt2-per12,2,27,10,"(1, 1)",1
sqrt2-per12,2,27,11,"(2, 0)",2
sqrt2-per12,2,27,13,"(4, 0)",4
sqrt2-per12,2,27,14,"(5, 2)",5
sqrt2-per12,2,27,16,"(7, 3)",7
sqrt2-per12,2,27,17,"(8, 0)",8
sqrt2-per12,2,27,19,"(1, 1)",1
sqrt2-per12,2,27,20,"(2, 0)",2
sqrt2-per12,2,27,22,"(4, 0)",4
sqrt2-per12,2,27,23,"(5, 2)",5
sqrt2-per12,2,27,25,"(7, 3)",7
sqrt2-per12,2,27,26,"(8, 0)",8
sqrt2-per12,2,81,10,"(1, 1)",1
sqrt2-per12,2,81,11,"(2, 0)",2
sqrt2-per12,2,81,13,"(4, 0)",4
sqrt2-per12,2,81,14,"(5, 2)",5
sqrt2-per12,2,81,16,"(7, 3)",7
sqrt2-per12,2,81,17,"(8, 0)",8
sqrt2-per12,2,81,19,"(1, 1)",1
sqrt2-per12,2,81,20,"(2, 0)",2
sqrt2-per12,2,81,22,"(4, 0)",4
sqrt2-per12,2,81,23,"(5, 2)",5
sqrt2-per12,2,81,25,"(7, 3)",7
sqrt2-per12,2,81,26,"(8, 0)",8
sqrt2-per12,2,81,28,"(1, 1)",1
sqrt2-per12,2,81,29,"(2, 0)",2
sqrt2-per12,2,81,31,"(4, 0)",4
sqrt2-per12,2,81,32,"(5, 2)",5
sqrt2-per12,2,81,34,"(7, 3)",7
sqrt2-per12,2,81,35,"(8, 0)",8
sqrt2-per12,2,81,37,"(1, 1)",1
sqrt2-per12,2,81,38,"(2, 0)",2
sqrt2-per12,2,81,40,"(4, 0)",4
sqrt2-per12,2,81,41,"(5, 2)",5
sqrt2-per12,2,81,43,"(7, 3)",7
sqrt2-per12,2,81,44,"(8, 0)",8
sqrt2-per12,2,81,46,"(1, 1)",1
sqrt2-per12,2,81,47,"(2, 0)",2
sqrt2-per12,2,81,49,"(4, 0)",4
sqrt2-per12,2,81,50,"(5, 2)",5
sqrt2-per12,2,81,52,"(7, 3)",7
sqrt2-per12,2,81,53,"(8, 0)",8
sqrt2-per12,2,81,55,"(1, 1)",1
sqrt2-per12,2,81,56,"(2, 0)",2
sqrt2-per12,2,81,58,"(4, 0)",4
sqrt2-per12,2,81,59,"(5, 2)",5
sqrt2-per12,2,81,61,"(7, 3)",7
sqrt2-per12,2,81,62,"(8, 0)",8
sqrt2-per12,2,81,64,"(1, 1)",1
sqrt2-per12,2,81,65,"(2, 0)",2
sqrt2-per12,2,81,67,"(4, 0)",4
sqrt2-per12,2,81,68,"(5, 2)",5
sqrt2-per12,2,81,70,"(7, 3)",7
sqrt2-per12,2,81,71,"(8, 0)",8
sqrt2-per12,2,81,73,"(1, 1)",1
sqrt2-per12,2,81,74,"(2, 0)",2
sqrt2-per12,2,81,76,"(4, 0)",4
sqrt2-per12,2,81,77,"(5, 2)",5
sqrt2-per12,2,81,79,"(7, 3)",7
sqrt2-per12,2,81,80,"(8, 0)",8
sqrt2-per12,3,81,28,"(1, 1)",1
sqrt2-per12,3,81,29,"(2, 0)",2
sqrt2-per12,3,81,31,"(4, 2)",4
sqrt2-per12,3,81,32,"(5, 2)",5
sqrt2-per12,3,81,34,"(7, 3)",7
sqrt2-per12,3,81,35,"(8, 1)",8
sqrt2-per12,3,81,37,"(10, 1)",10
sqrt2-per12,3,81,38,"(11, 1)",11
sqrt2-per12,3,81,40,"(13, 0)",13
sqrt2-per12,3,81,41,"(14, 2)",14
sqrt2-per12,3,81,43,"(16, 3)",16
sqrt2-per12,3,81,44,"(17, 0)",17
sqrt2-per12,3,81,46,"(19, 2)",19
sqrt2-per12,3,81,47,"(20, 0)",20
sqrt2-per12,3,81,49,"(22, 0)",22
sqrt2-per12,3,81,50,"(23, 3)",23
sqrt2-per12,3,81,52,"(25, 4)",25
sqrt2-per12,3,81,53,"(26, 0)",26
sqrt2-per12,3,81,55,"(1, 1)",1
sqrt2-per12,3,81,56,"(2, 0)",2
sqrt2-per12,3,81,58,"(4, 2)",4
sqrt2-per12,3,81,59,"(5, 2)",5
sqrt2-per12,3,81,61,"(7, 3)",7
sqrt2-per12,3,81,62,"(8, 1)",8
sqrt2-per12,3,81,64,"(10, 1)",10
sqrt2-per12,3,81,65,"(11, 1)",11
sqrt2-per12,3,81,67,"(13, 0)",13
sqrt2-per12,3,81,68,"(14, 2)",14
sqrt2-per12,3,81,70,"(16, 3)",16
sqrt2-per12,3,81,71,"(17, 0)",17
sqrt2-per12,3,81,73,"(19, 2)",19
sqrt2-per12,3,81,74,"(20, 0)",20
sqrt2-per12,3,81,76,"(22, 0)",22
sqrt2-per12,3,81,77,"(23, 3)",23
sqrt2-per12,3,81,79,"(25, 4)",25
sqrt2-per12,3,81,80,"(26, 0)",26
