family,mod_target,r0,m_to_h_tail
golden-per8,27,4,"{5: 0, 6: 0, 7: 1, 8: 0}"
golden-per8,27,5,"{5: -1, 6: 0, 7: 0, 8: 0}"
golden-per8,27,7,"{5: 1, 6: 2, 7: 3, 8: 2}"
golden-per8,27,8,"{5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,27,10,"{5: -2, 6: -1, 7: -1, 8: -1}"
golden-per8,27,11,"{5: 0, 6: 0, 7: 1, 8: 1}"
golden-per8,27,13,"{5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,27,14,"{5: 0, 6: 1, 7: 2, 8: 1}"
golden-per8,27,16,"{5: 2, 6: 4, 7: 4, 8: 3}"
golden-per8,27,17,"{5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,27,19,"{5: 0, 6: 1, 7: 1, 8: 0}"
golden-per8,27,23,"{5: 2, 6: 2, 7: 3, 8: 2}"
golden-per8,27,25,"{5: 3, 6: 3, 7: 3, 8: 4}"
golden-per8,27,26,"{5: -2, 6: -2, 7: -1, 8: -2}"
golden-per8,81,4,"{5: 0, 6: 0, 7: 1, 8: 0}"
golden-per8,81,5,"{5: -1, 6: 0, 7: 0, 8: 0}"
golden-per8,81,7,"{5: 1, 6: 2, 7: 3, 8: 2}"
golden-per8,81,8,"{5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,81,10,"{5: -2, 6: -1, 7: -1, 8: -1}"
golden-per8,81,11,"{5: 0, 6: 0, 7: 1, 8: 1}"
golden-per8,81,13,"{5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,81,14,"{5: 0, 6: 1, 7: 2, 8: 1}"
golden-per8,81,16,"{5: 2, 6: 4, 7: 4, 8: 3}"
golden-per8,81,17,"{5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,81,19,"{5: 0, 6: 1, 7: 1, 8: 0}"
golden-per8,81,23,"{5: 2, 6: 2, 7: 3, 8: 2}"
golden-per8,81,25,"{5: 3, 6: 3, 7: 3, 8: 4}"
golden-per8,81,26,"{5: -2, 6: -2, 7: -1, 8: -2}"
golden-per8,81,28,"{5: -1, 6: 0, 7: 1, 8: 0}"
golden-per8,81,29,"{5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,81,31,"{5: 1, 6: 1, 7: 2, 8: 1}"
golden-per8,81,32,"{5: 1, 6: 3, 7: 3, 8: 2}"
golden-per8,81,34,"{5: 2, 6: 2, 7: 2, 8: 3}"
golden-per8,81,37,"{5: 0, 6: 1, 7: 1, 8: 0}"
golden-per8,81,38,"{5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,81,40,"{5: -1, 6: 0, 7: 0, 8: 0}"
golden-per8,81,41,"{5: 0, 6: 2, 7: 2, 8: 1}"
golden-per8,81,43,"{5: 2, 6: 2, 7: 2, 8: 1}"
golden-per8,81,46,"{5: 1, 6: 1, 7: 2, 8: 1}"
golden-per8,81,47,"{5: -1, 6: -1, 7: 0, 8: 0}"
golden-per8,81,49,"{5: 0, 6: 0, 7: 1, 8: 1}"
golden-per8,81,50,"{5: 2, 6: 2, 7: 2, 8: 3}"
golden-per8,81,55,"{5: 1, 6: 3, 7: 3, 8: 2}"
golden-per8,81,56,"{5: -2, 6: -1, 7: 0, 8: -1}"
golden-per8,81,58,"{5: 2, 6: 2, 7: 2, 8: 1}"
golden-per8,81,59,"{5: -1, 6: 1, 7: 1, 8: 1}"
golden-per8,81,61,"{5: 2, 6: 2, 7: 2, 8: 1}"
golden-per8,81,62,"{5: 0, 6: 0, 7: 1, 8: 0}"
golden-per8,81,64,"{5: 0, 6: 2, 7: 2, 8: 1}"
golden-per8,81,65,"{5: 0, 6: 1, 7: 1, 8: 0}"
golden-per8,81,67,"{5: -1, 6: -1, 7: -1, 8: 0}"
golden-per8,81,68,"{5: 1, 6: 1, 7: 1, 8: 2}"
golden-per8,81,70,"{5: 2, 6: 2, 7: 3, 8: 3}"
golden-per8,81,73,"{5: 2, 6: 2, 7: 2, 8: 1}"
golden-per8,81,74,"{5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,81,76,"{5: -2, 6: -1, 7: -1, 8: -2}"
golden-per8,81,77,"{5: 2, 6: 2, 7: 2, 8: 1}"
golden-per8,81,79,"{5: 4, 6: 4, 7: 4, 8: 3}"
golden-per8,81,80,"{5: -2, 6: -1, 7: -1, 8: -1}"
sqrt2-per12,27,4,"{5: -1, 6: -1, 7: 0, 8: 0}"
sqrt2-per12,27,5,"{5: -1, 6: 0, 7: 0, 8: 1}"
sqrt2-per12,27,7,"{5: 1, 6: 2, 7: 2, 8: 2}"
sqrt2-per12,27,8,"{5: -2, 6: -2, 7: -1, 8: -1}"
sqrt2-per12,27,10,"{5: -2, 6: -1, 7: -1, 8: 0}"
sqrt2-per12,27,11,"{5: 0, 6: 0, 7: 0, 8: 1}"
sqrt2-per12,27,14,"{5: 0, 6: 1, 7: 1, 8: 1}"
sqrt2-per12,27,16,"{5: 2, 6: 3, 7: 2, 8: 2}"
sqrt2-per12,27,17,"{5: -1, 6: 0, 7: -1, 8: -1}"
sqrt2-per12,27,19,"{5: -1, 6: 1, 7: 0, 8: 0}"
sqrt2-per12,27,20,"{5: -3, 6: -2, 7: -2, 8: -1}"
sqrt2-per12,27,22,"{5: 0, 6: 0, 7: -1, 8: 0}"
sqrt2-per12,27,25,"{5: 3, 6: 3, 7: 2, 8: 4}"
sqrt2-per12,81,4,"{5: -1, 6: -1, 7: 0, 8: 0}"
sqrt2-per12,81,5,"{5: -1, 6: 0, 7: 0, 8: 1}"
sqrt2-per12,81,7,"{5: 1, 6: 2, 7: 2, 8: 2}"
sqrt2-per12,81,8,"{5: -2, 6: -2, 7: -1, 8: -1}"
sqrt2-per12,81,10,"{5: -2, 6: -1, 7: -1, 8: 0}"
sqrt2-per12,81,11,"{5: 0, 6: 0, 7: 0, 8: 1}"
sqrt2-per12,81,14,"{5: 0, 6: 1, 7: 1, 8: 1}"
sqrt2-per12,81,16,"{5: 2, 6: 3, 7: 2, 8: 2}"
sqrt2-per12,81,17,"{5: -1, 6: 0, 7: -1, 8: -1}"
sqrt2-per12,81,19,"{5: -1, 6: 1, 7: 0, 8: 0}"
sqrt2-per12,81,20,"{5: -3, 6: -2, 7: -2, 8: -1}"
sqrt2-per12,81,22,"{5: 0, 6: 0, 7: -1, 8: 0}"
sqrt2-per12,81,25,"{5: 3, 6: 3, 7: 2, 8: 4}"
sqrt2-per12,81,28,"{5: -1, 6: 0, 7: 0, 8: 0}"
sqrt2-per12,81,29,"{5: -1, 6: -1, 7: -1, 8: 0}"
sqrt2-per12,81,32,"{5: 1, 6: 2, 7: 1, 8: 1}"
sqrt2-per12,81,34,"{5: 2, 6: 2, 7: 1, 8: 3}"
sqrt2-per12,81,35,"{5: 1, 6: 1, 7: 1, 8: 2}"
sqrt2-per12,81,37,"{5: 0, 6: 1, 7: 0, 8: 1}"
sqrt2-per12,81,38,"{5: -2, 6: 0, 7: -1, 8: -1}"
sqrt2-per12,81,40,"{5: -1, 6: 0, 7: 0, 8: 0}"
sqrt2-per12,81,41,"{5: 0, 6: 1, 7: 1, 8: 2}"
sqrt2-per12,81,44,"{5: -1, 6: -1, 7: -2, 8: -1}"
sqrt2-per12,81,47,"{5: -1, 6: -1, 7: -1, 8: 0}"
sqrt2-per12,81,50,"{5: 2, 6: 2, 7: 1, 8: 3}"
sqrt2-per12,81,52,"{5: 2, 6: 2, 7: 1, 8: 2}"
sqrt2-per12,81,55,"{5: 1, 6: 2, 7: 2, 8: 2}"
sqrt2-per12,81,56,"{5: -2, 6: -1, 7: -1, 8: -1}"
sqrt2-per12,81,58,"{5: 2, 6: 2, 7: 1, 8: 1}"
sqrt2-per12,81,59,"{5: -1, 6: 0, 7: -1, 8: 1}"
sqrt2-per12,81,61,"{5: 2, 6: 2, 7: 1, 8: 1}"
sqrt2-per12,81,64,"{5: 0, 6: 1, 7: 0, 8: 0}"
sqrt2-per12,81,65,"{5: -1, 6: 1, 7: 0, 8: 0}"
sqrt2-per12,81,67,"{5: -1, 6: -1, 7: -2, 8: 0}"
sqrt2-per12,81,68,"{5: 1, 6: 1, 7: 0, 8: 2}"
sqrt2-per12,81,70,"{5: 2, 6: 2, 7: 2, 8: 4}"
sqrt2-per12,81,71,"{5: -2, 6: -2, 7: -2, 8: -1}"
sqrt2-per12,81,74,"{5: -1, 6: 0, 7: -1, 8: 0}"
sqrt2-per12,81,76,"{5: -3, 6: -1, 7: -2, 8: -2}"
sqrt2-per12,81,77,"{5: 1, 6: 1, 7: 0, 8: 0}"
sqrt2-per12,81,79,"{5: 4, 6: 4, 7: 3, 8: 3}"
sqrt2-per12,81,80,"{5: -2, 6: -1, 7: -1, 8: -1}"
