family,mod_target,r0,m_to_h
golden-per8,27,2,"{2: 0, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}"
golden-per8,27,5,"{2: 1, 3: 0, 4: 0, 5: -1, 6: 0, 7: 0, 8: 0}"
golden-per8,27,8,"{2: 0, 3: 0, 4: 0, 5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,27,10,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -1, 7: -1, 8: -1}"
golden-per8,27,13,"{2: 0, 3: -1, 4: -1, 5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,27,17,"{2: 0, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,27,20,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -2, 7: -2, 8: -2}"
golden-per8,27,22,"{2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 0, 8: 0}"
golden-per8,27,26,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -2, 7: -1, 8: -2}"
golden-per8,81,2,"{2: 0, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}"
golden-per8,81,5,"{2: 1, 3: 0, 4: 0, 5: -1, 6: 0, 7: 0, 8: 0}"
golden-per8,81,8,"{2: 0, 3: 0, 4: 0, 5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,81,10,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -1, 7: -1, 8: -1}"
golden-per8,81,13,"{2: 0, 3: -1, 4: -1, 5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,81,17,"{2: 0, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,81,20,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -2, 7: -2, 8: -2}"
golden-per8,81,22,"{2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 0, 8: 0}"
golden-per8,81,26,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -2, 7: -1, 8: -2}"
golden-per8,81,28,"{2: 0, 3: 0, 4: 0, 5: -1, 6: 0, 7: 1, 8: 0}"
golden-per8,81,29,"{2: 0, 3: -1, 4: 0, 5: -1, 6: -1, 7: 0, 8: -1}"
golden-per8,81,37,"{2: 0, 3: -1, 4: -1, 5: 0, 6: 1, 7: 1, 8: 0}"
golden-per8,81,38,"{2: 0, 3: 0, 4: 0, 5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,81,40,"{2: 0, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: 0}"
golden-per8,81,44,"{2: 0, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}"
golden-per8,81,47,"{2: 0, 3: -1, 4: 0, 5: -1, 6: -1, 7: 0, 8: 0}"
golden-per8,81,49,"{2: 0, 3: -1, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1}"
golden-per8,81,53,"{2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 0, 8: 0}"
golden-per8,81,56,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -1, 7: 0, 8: -1}"
golden-per8,81,59,"{2: 1, 3: 0, 4: 0, 5: -1, 6: 1, 7: 1, 8: 1}"
golden-per8,81,64,"{2: 0, 3: -1, 4: 1, 5: 0, 6: 2, 7: 2, 8: 1}"
golden-per8,81,67,"{2: 0, 3: -1, 4: 0, 5: -1, 6: -1, 7: -1, 8: 0}"
golden-per8,81,71,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -2, 7: -2, 8: -2}"
golden-per8,81,74,"{2: 0, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: -1}"
golden-per8,81,76,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -1, 7: -1, 8: -2}"
golden-per8,81,80,"{2: 0, 3: -1, 4: -1, 5: -2, 6: -1, 7: -1, 8: -1}"
sqrt2-per12,27,2,"{2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}"
sqrt2-per12,27,4,"{2: -1, 3: 1, 4: 0, 5: -1, 6: -1, 7: 0, 8: 0}"
sqrt2-per12,27,5,"{2: 1, 3: 1, 4: 0, 5: -1, 6: 0, 7: 0, 8: 1}"
sqrt2-per12,27,8,"{2: -1, 3: 0, 4: -1, 5: -2, 6: -2, 7: -1, 8: -1}"
sqrt2-per12,27,10,"{2: 0, 3: 0, 4: -1, 5: -2, 6: -1, 7: -1, 8: 0}"
sqrt2-per12,27,11,"{2: -1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1}"
sqrt2-per12,27,13,"{2: -1, 3: -1, 4: -2, 5: -1, 6: -1, 7: -1, 8: -1}"
sqrt2-per12,27,17,"{2: -1, 3: -1, 4: -1, 5: -1, 6: 0, 7: -1, 8: -1}"
sqrt2-per12,27,19,"{2: 0, 3: 1, 4: 0, 5: -1, 6: 1, 7: 0, 8: 0}"
