family,m,D_over,D_under,p_over,q_over,plus1_form,minus1_form,plus1_hit,minus1_hit
golden,2,1,0,21,13,0,0,False,False
golden,3,1,1,21,13,1,1,True,True
golden,4,2,1,21,13,1,1,False,False
golden,5,2,2,21,13,2,1,True,False
golden,6,2,2,21,13,2,2,True,True
golden,7,3,2,21,13,2,2,False,False
golden,8,3,3,21,13,3,3,True,True
golden,9,4,3,21,13,3,3,False,False
golden,10,4,3,21,13,3,3,False,False
golden,11,4,4,21,13,4,4,True,True
golden,12,5,4,21,13,4,4,False,False
sqrt2,2,2,1,41,29,1,1,False,False
sqrt2,3,2,1,41,29,1,1,False,False
sqrt2,4,3,2,41,29,2,2,False,False
sqrt2,5,3,3,41,29,2,2,False,False
sqrt2,6,4,3,41,29,3,3,False,False
sqrt2,7,5,4,41,29,4,4,False,False
sqrt2,8,5,4,41,29,4,4,False,False
sqrt2,9,6,5,41,29,5,5,False,False
sqrt2,10,6,5,41,29,5,5,False,False
sqrt2,11,7,6,41,29,6,6,False,False
sqrt2,12,7,7,41,29,7,7,True,True
