family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,2,27,1,0,0,True,+1,
golden-per8,2,27,2,0,0,True,+1,
golden-per8,2,27,4,0,0,True,+1,
golden-per8,2,27,5,1,0,False,+1,
golden-per8,2,27,7,2,0,False,+1,
golden-per8,2,27,8,0,-2,False,-1,
golden-per8,2,81,1,0,0,True,+1,
golden-per8,2,81,2,0,0,True,+1,
golden-per8,2,81,4,0,0,True,+1,
golden-per8,2,81,5,1,0,False,+1,
golden-per8,2,81,7,2,0,False,+1,
golden-per8,2,81,8,0,-2,False,-1,
golden-per8,3,27,1,1,1,True,+1,
golden-per8,3,27,2,0,1,False,+1,
golden-per8,3,27,4,2,,NO_RAY_TOUCHED,,
golden-per8,3,27,5,1,,NO_RAY_TOUCHED,,
golden-per8,3,27,7,3,1,False,+1,
golden-per8,3,27,8,1,,NO_RAY_TOUCHED,,
golden-per8,3,27,10,0,,NO_RAY_TOUCHED,,
golden-per8,3,27,11,1,1,True,+1,
golden-per8,3,27,13,0,,NO_RAY_TOUCHED,,
golden-per8,3,27,14,2,1,False,+1,
golden-per8,3,27,16,2,,NO_RAY_TOUCHED,,
golden-per8,3,27,17,0,1,False,+1,
golden-per8,3,27,19,2,1,False,+1,
golden-per8,3,27,20,0,,NO_RAY_TOUCHED,,
golden-per8,3,27,22,0,1,False,+1,
golden-per8,3,27,23,3,1,False,+1,
golden-per8,3,27,25,4,1,False,+1,
golden-per8,3,27,26,0,-3,False,-1,
golden-per8,3,81,1,1,1,True,+1,
golden-per8,3,81,2,0,1,False,+1,
golden-per8,3,81,4,2,,NO_RAY_TOUCHED,,
golden-per8,3,81,5,1,,NO_RAY_TOUCHED,,
golden-per8,3,81,7,3,1,False,+1,
golden-per8,3,81,8,1,,NO_RAY_TOUCHED,,
golden-per8,3,81,10,0,,NO_RAY_TOUCHED,,
golden-per8,3,81,11,1,1,True,+1,
golden-per8,3,81,13,0,,NO_RAY_TOUCHED,,
golden-per8,3,81,14,2,1,False,+1,
golden-per8,3,81,16,2,,NO_RAY_TOUCHED,,
golden-per8,3,81,17,0,1,False,+1,
golden-per8,3,81,19,2,1,False,+1,
golden-per8,3,81,20,0,,NO_RAY_TOUCHED,,
golden-per8,3,81,22,0,1,False,+1,
golden-per8,3,81,23,3,1,False,+1,
golden-per8,3,81,25,4,1,False,+1,
golden-per8,3,81,26,0,-3,False,-1,
golden-per8,4,27,1,1,1,True,+1,
golden-per8,4,27,2,0,1,False,+1,
golden-per8,4,27,4,2,,NO_RAY_TOUCHED,,
golden-per8,4,27,5,1,,NO_RAY_TOUCHED,,
golden-per8,4,27,7,3,,NO_RAY_TOUCHED,,
golden-per8,4,27,8,1,,NO_RAY_TOUCHED,,
golden-per8,4,27,10,0,,NO_RAY_TOUCHED,,
golden-per8,4,27,11,1,1,True,+1,
golden-per8,4,27,13,0,,NO_RAY_TOUCHED,,
golden-per8,4,27,14,2,,NO_RAY_TOUCHED,,
golden-per8,4,27,16,4,,NO_RAY_TOUCHED,,
golden-per8,4,27,17,0,1,False,+1,
golden-per8,4,27,19,2,,NO_RAY_TOUCHED,,
golden-per8,4,27,20,0,,NO_RAY_TOUCHED,,
golden-per8,4,27,22,0,1,False,+1,
golden-per8,4,27,23,3,1,False,+1,
golden-per8,4,27,25,4,,NO_RAY_TOUCHED,,
golden-per8,4,27,26,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,1,1,1,True,+1,
golden-per8,4,81,2,0,1,False,+1,
golden-per8,4,81,4,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,5,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,7,3,,NO_RAY_TOUCHED,,
golden-per8,4,81,8,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,10,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,11,1,1,True,+1,
golden-per8,4,81,13,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,14,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,16,4,,NO_RAY_TOUCHED,,
golden-per8,4,81,17,0,1,False,+1,
golden-per8,4,81,19,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,20,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,22,0,1,False,+1,
golden-per8,4,81,23,3,1,False,+1,
golden-per8,4,81,25,4,,NO_RAY_TOUCHED,,
golden-per8,4,81,26,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,28,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,29,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,31,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,32,3,,NO_RAY_TOUCHED,,
golden-per8,4,81,34,4,,NO_RAY_TOUCHED,,
golden-per8,4,81,35,2,1,False,+1,
golden-per8,4,81,37,0,1,False,+1,
golden-per8,4,81,38,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,40,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,41,2,1,False,+1,
golden-per8,4,81,43,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,44,0,1,False,+1,
golden-per8,4,81,46,2,1,False,+1,
golden-per8,4,81,47,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,49,1,1,True,+1,
golden-per8,4,81,50,3,,NO_RAY_TOUCHED,,
golden-per8,4,81,52,4,1,False,+1,
golden-per8,4,81,53,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,55,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,56,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,58,3,1,False,+1,
golden-per8,4,81,59,1,1,True,+1,
golden-per8,4,81,61,3,1,False,+1,
golden-per8,4,81,62,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,64,2,,NO_RAY_TOUCHED,,
