alphabet,m,word,D,L,has_c0_adjacent_high
"{1,2,3}",2,13,0,1,False
"{1,2,3}",2,31,1,0,False
"{1,2,3}",3,113,1,2,False
"{1,2,3}",3,123,0,1,False
"{1,2,3}",3,132,0,1,False
"{1,2,3}",3,133,0,1,False
"{1,2,3}",3,213,0,1,False
"{1,2,3}",3,231,1,0,False
"{1,2,3}",3,311,2,1,False
"{1,2,3}",3,312,1,0,False
"{1,2,3}",3,321,1,0,False
"{1,2,3}",3,331,1,0,False
"{1,2,3}",4,1113,2,3,False
"{1,2,3}",4,1123,1,2,False
"{1,2,3}",4,1132,1,2,False
"{1,2,3}",4,1133,0,2,False
"{1,2,3}",4,1213,1,2,False
"{1,2,3}",4,1223,0,1,False
"{1,2,3}",4,1232,0,1,False
"{1,2,3}",4,1233,0,1,False
"{1,2,3}",4,1313,0,1,False
"{1,2,3}",4,1322,0,1,False
"{1,2,3}",4,1323,0,1,False
"{1,2,3}",4,1332,0,1,False
"{1,2,3}",4,1333,0,1,False
"{1,2,3}",4,2113,1,2,False
"{1,2,3}",4,2123,0,1,False
"{1,2,3}",4,2132,0,1,False
"{1,2,3}",4,2133,0,1,False
"{1,2,3}",4,2213,0,1,False
"{1,2,3}",4,2231,1,0,False
"{1,2,3}",4,2311,2,1,False
"{1,2,3}",4,2312,1,0,False
"{1,2,3}",4,2321,1,0,False
"{1,2,3}",4,2331,1,0,False
"{1,2,3}",4,3111,3,2,False
"{1,2,3}",4,3112,2,1,False
"{1,2,3}",4,3121,2,1,False
"{1,2,3}",4,3122,1,0,False
"{1,2,3}",4,3131,1,0,False
"{1,2,3}",4,3211,2,1,False
"{1,2,3}",4,3212,1,0,False
"{1,2,3}",4,3221,1,0,False
"{1,2,3}",4,3231,1,0,False
"{1,2,3}",4,3311,2,0,False
"{1,2,3}",4,3312,1,0,False
"{1,2,3}",4,3321,1,0,False
"{1,2,3}",4,3331,1,0,False
"{1,2,3}",5,11113,3,4,False
"{1,2,3}",5,11123,2,3,False
"{1,2,3}",5,11132,2,3,False
"{1,2,3}",5,11133,1,3,False
"{1,2,3}",5,11213,2,3,False
"{1,2,3}",5,11223,1,2,False
"{1,2,3}",5,11232,1,2,False
"{1,2,3}",5,11233,0,2,False
"{1,2,3}",5,11313,1,2,False
"{1,2,3}",5,11322,1,2,False
"{1,2,3}",5,11323,0,2,False
"{1,2,3}",5,11331,1,2,False
"{1,2,3}",5,11332,0,2,False
"{1,2,3}",5,11333,0,2,False
"{1,2,3}",5,12113,2,3,False
"{1,2,3}",5,12123,1,2,False
"{1,2,3}",5,12132,1,2,False
"{1,2,3}",5,12133,0,2,False
"{1,2,3}",5,12213,1,2,False
"{1,2,3}",5,12223,0,1,False
"{1,2,3}",5,12232,0,1,False
"{1,2,3}",5,12233,0,1,False
"{1,2,3}",5,12313,0,1,False
"{1,2,3}",5,12322,0,1,False
"{1,2,3}",5,12323,0,1,False
"{1,2,3}",5,12332,0,1,False
"{1,2,3}",5,12333,0,1,False
"{1,2,3}",5,13113,1,2,False
"{1,2,3}",5,13123,0,1,False
"{1,2,3}",5,13132,0,1,False
"{1,2,3}",5,13133,0,1,False
"{1,2,3}",5,13213,0,1,False
"{1,2,3}",5,13222,0,1,False
"{1,2,3}",5,13223,0,1,False
"{1,2,3}",5,13232,0,1,False
"{1,2,3}",5,13233,0,1,False
"{1,2,3}",5,13311,2,1,False
"{1,2,3}",5,13313,0,1,False
"{1,2,3}",5,13322,0,1,False
"{1,2,3}",5,13323,0,1,False
