alphabet,m,word,D,n_optimal
"{1,2,3}",4,2333,0,2
"{1,2,3}",5,12333,0,2
"{1,2,3}",5,13333,0,2
"{1,2,3}",5,22333,0,2
"{1,2,3}",5,23233,0,2
"{1,2,3}",5,23323,0,2
"{1,2,3}",5,23331,1,2
"{1,2,3}",5,23332,0,2
"{1,2,3}",5,23333,0,2
"{1,2,3}",5,32333,0,2
"{1,2,3}",5,33333,0,2
"{1,2,3}",6,112333,0,2
"{1,2,3}",6,113333,0,2
"{1,2,3}",6,122333,0,2
"{1,2,3}",6,123233,0,2
"{1,2,3}",6,123323,0,2
"{1,2,3}",6,123331,1,2
"{1,2,3}",6,123332,0,2
"{1,2,3}",6,123333,0,3
"{1,2,3}",6,132333,0,3
"{1,2,3}",6,133233,0,2
"{1,2,3}",6,133323,0,2
"{1,2,3}",6,133331,1,2
"{1,2,3}",6,133332,0,2
"{1,2,3}",6,133333,0,3
"{1,2,3}",6,213333,0,3
"{1,2,3}",6,222333,0,3
"{1,2,3}",6,223233,0,2
"{1,2,3}",6,223323,0,2
"{1,2,3}",6,223331,1,2
"{1,2,3}",6,223332,0,2
"{1,2,3}",6,223333,0,2
"{1,2,3}",6,231333,0,2
"{1,2,3}",6,232233,0,2
"{1,2,3}",6,232323,0,2
"{1,2,3}",6,232331,1,2
"{1,2,3}",6,232332,0,2
"{1,2,3}",6,232333,0,2
"{1,2,3}",6,233133,0,2
"{1,2,3}",6,233223,0,2
"{1,2,3}",6,233231,1,2
"{1,2,3}",6,233232,0,2
"{1,2,3}",6,233233,0,2
"{1,2,3}",6,233311,2,2
"{1,2,3}",6,233312,1,2
"{1,2,3}",6,233313,0,2
"{1,2,3}",6,233321,1,2
"{1,2,3}",6,233322,0,2
"{1,2,3}",6,233323,0,2
"{1,2,3}",6,233331,1,2
"{1,2,3}",6,233332,0,2
"{1,2,3}",6,233333,0,3
"{1,2,3}",6,312333,0,2
"{1,2,3}",6,313333,0,2
"{1,2,3}",6,322333,0,2
"{1,2,3}",6,323233,0,2
"{1,2,3}",6,323323,0,2
"{1,2,3}",6,323331,1,2
"{1,2,3}",6,323332,0,2
"{1,2,3}",6,323333,0,3
"{1,2,3}",6,332333,0,3
"{1,2,3}",6,333233,0,2
"{1,2,3}",6,333323,0,2
"{1,2,3}",6,333331,1,2
"{1,2,3}",6,333332,0,2
"{1,2,3}",6,333333,0,3
"{1,2,3}",7,1113333,0,3
"{1,2,3}",7,1122333,0,3
"{1,2,3}",7,1123233,0,2
"{1,2,3}",7,1123323,0,2
"{1,2,3}",7,1123331,1,2
"{1,2,3}",7,1123332,0,2
"{1,2,3}",7,1123333,0,3
"{1,2,3}",7,1132333,0,3
"{1,2,3}",7,1133233,0,2
"{1,2,3}",7,1133323,0,2
"{1,2,3}",7,1133331,1,2
"{1,2,3}",7,1133332,0,2
"{1,2,3}",7,1133333,0,5
"{1,2,3}",7,1212333,0,2
"{1,2,3}",7,1213333,0,3
"{1,2,3}",7,1222333,0,3
"{1,2,3}",7,1223233,0,2
"{1,2,3}",7,1223323,0,2
"{1,2,3}",7,1223331,1,2
"{1,2,3}",7,1223332,0,2
"{1,2,3}",7,1223333,0,4
"{1,2,3}",7,1231333,0,2
"{1,2,3}",7,1232233,0,2
"{1,2,3}",7,1232323,0,2
"{1,2,3}",7,1232331,1,2
"{1,2,3}",7,1232332,0,2
"{1,2,3}",7,1232333,0,4
"{1,2,3}",7,1233133,0,2
"{1,2,3}",7,1233223,0,2
"{1,2,3}",7,1233231,1,2
"{1,2,3}",7,1233232,0,2
"{1,2,3}",7,1233233,0,3
"{1,2,3}",7,1233311,2,2
"{1,2,3}",7,1233312,1,2
"{1,2,3}",7,1233313,0,2
"{1,2,3}",7,1233321,1,2
"{1,2,3}",7,1233322,0,2
"{1,2,3}",7,1233323,0,3
"{1,2,3}",7,1233331,1,3
"{1,2,3}",7,1233332,0,3
"{1,2,3}",7,1233333,0,4
"{1,2,3}",7,1312333,0,2
"{1,2,3}",7,1313333,0,4
"{1,2,3}",7,1322333,0,4
"{1,2,3}",7,1323233,0,3
"{1,2,3}",7,1323323,0,3
"{1,2,3}",7,1323331,1,3
"{1,2,3}",7,1323332,0,3
"{1,2,3}",7,1323333,0,4
"{1,2,3}",7,1331333,0,2
"{1,2,3}",7,1332233,0,2
"{1,2,3}",7,1332323,0,2
"{1,2,3}",7,1332331,1,2
"{1,2,3}",7,1332332,0,2
"{1,2,3}",7,1332333,0,4
"{1,2,3}",7,1333133,0,2
"{1,2,3}",7,1333223,0,2
"{1,2,3}",7,1333231,1,2
"{1,2,3}",7,1333232,0,2
"{1,2,3}",7,1333233,0,3
"{1,2,3}",7,1333311,2,2
"{1,2,3}",7,1333312,1,2
"{1,2,3}",7,1333313,0,2
"{1,2,3}",7,1333321,1,2
"{1,2,3}",7,1333322,0,2
"{1,2,3}",7,1333323,0,3
"{1,2,3}",7,1333331,1,3
"{1,2,3}",7,1333332,0,3
"{1,2,3}",7,1333333,0,5
"{1,2,3}",7,2123333,0,4
"{1,2,3}",7,2132333,0,4
"{1,2,3}",7,2133233,0,3
"{1,2,3}",7,2133323,0,3
"{1,2,3}",7,2133331,1,3
"{1,2,3}",7,2133332,0,3
"{1,2,3}",7,2133333,0,3
"{1,2,3}",7,2213333,0,4
"{1,2,3}",7,2222333,0,4
"{1,2,3}",7,2223233,0,3
"{1,2,3}",7,2223323,0,3
"{1,2,3}",7,2223331,1,3
"{1,2,3}",7,2223332,0,3
"{1,2,3}",7,2223333,0,3
"{1,2,3}",7,2231333,0,2
"{1,2,3}",7,2232233,0,2
"{1,2,3}",7,2232323,0,2
"{1,2,3}",7,2232331,1,2
"{1,2,3}",7,2232332,0,2
"{1,2,3}",7,2232333,0,3
"{1,2,3}",7,2233133,0,2
"{1,2,3}",7,2233223,0,2
"{1,2,3}",7,2233231,1,2
"{1,2,3}",7,2233232,0,2
"{1,2,3}",7,2233233,0,2
"{1,2,3}",7,2233311,2,2
"{1,2,3}",7,2233312,1,2
"{1,2,3}",7,2233313,0,2
"{1,2,3}",7,2233321,1,2
"{1,2,3}",7,2233322,0,2
"{1,2,3}",7,2233323,0,2
"{1,2,3}",7,2233331,1,2
"{1,2,3}",7,2233332,0,2
"{1,2,3}",7,2233333,0,5
"{1,2,3}",7,2312333,0,3
"{1,2,3}",7,2313233,0,2
"{1,2,3}",7,2313323,0,2
"{1,2,3}",7,2313331,1,2
"{1,2,3}",7,2313332,0,2
"{1,2,3}",7,2313333,0,3
"{1,2,3}",7,2321333,0,2
"{1,2,3}",7,2322233,0,2
"{1,2,3}",7,2322323,0,2
"{1,2,3}",7,2322331,1,2
"{1,2,3}",7,2322332,0,2
"{1,2,3}",7,2322333,0,3
"{1,2,3}",7,2323133,0,2
"{1,2,3}",7,2323223,0,2
"{1,2,3}",7,2323231,1,2
"{1,2,3}",7,2323232,0,2
"{1,2,3}",7,2323233,0,2
"{1,2,3}",7,2323311,2,2
"{1,2,3}",7,2323312,1,2
"{1,2,3}",7,2323313,0,2
"{1,2,3}",7,2323321,1,2
"{1,2,3}",7,2323322,0,2
"{1,2,3}",7,2323323,0,2
"{1,2,3}",7,2323331,1,2
"{1,2,3}",7,2323332,0,2
"{1,2,3}",7,2323333,0,4
"{1,2,3}",7,2331233,0,2
"{1,2,3}",7,2331323,0,2
"{1,2,3}",7,2331331,1,2
"{1,2,3}",7,2331332,0,2
"{1,2,3}",7,2331333,0,2
"{1,2,3}",7,2332133,0,2
"{1,2,3}",7,2332223,0,2
"{1,2,3}",7,2332231,1,2
"{1,2,3}",7,2332232,0,2
"{1,2,3}",7,2332233,0,2
"{1,2,3}",7,2332311,2,2
"{1,2,3}",7,2332312,1,2
"{1,2,3}",7,2332313,0,2
"{1,2,3}",7,2332321,1,2
"{1,2,3}",7,2332322,0,2
"{1,2,3}",7,2332323,0,2
"{1,2,3}",7,2332331,1,2
"{1,2,3}",7,2332332,0,2
"{1,2,3}",7,2332333,0,4
"{1,2,3}",7,2333111,3,2
"{1,2,3}",7,2333112,2,2
"{1,2,3}",7,2333113,1,2
"{1,2,3}",7,2333121,2,2
"{1,2,3}",7,2333122,1,2
"{1,2,3}",7,2333123,0,2
"{1,2,3}",7,2333131,1,2
"{1,2,3}",7,2333132,0,2
"{1,2,3}",7,2333133,0,2
