target,p,q,side,phase,forms_seen
log2_3,3,2,UNDER,1,"+1,-1"
log2_3,8,5,OVER,0,"+1,NEITHER"
log2_3,8,5,OVER,2,"+1,NEITHER"
log2_3,8,5,OVER,3,"+1,-1"
log2_3,8,5,OVER,4,"+1,NEITHER"
log2_3,19,12,UNDER,0,"+1,NEITHER"
log2_3,19,12,UNDER,1,"+1,NEITHER"
log2_3,19,12,UNDER,2,"+1,NEITHER"
log2_3,19,12,UNDER,3,"+1,NEITHER"
log2_3,19,12,UNDER,4,"+1,NEITHER"
log2_3,19,12,UNDER,5,"+1,-1"
log2_3,19,12,UNDER,6,"+1,NEITHER"
log2_3,19,12,UNDER,7,"+1,NEITHER"
log2_3,19,12,UNDER,8,"+1,NEITHER"
log2_3,19,12,UNDER,9,"+1,NEITHER"
log2_3,19,12,UNDER,11,"+1,NEITHER"
log2_3,65,41,OVER,0,"+1,NEITHER"
log2_3,65,41,OVER,1,"+1,NEITHER"
log2_3,65,41,OVER,2,"+1,NEITHER"
log2_3,65,41,OVER,3,"+1,NEITHER"
log2_3,65,41,OVER,4,"+1,NEITHER"
log2_3,65,41,OVER,5,"+1,NEITHER"
log2_3,65,41,OVER,6,"+1,NEITHER"
log2_3,65,41,OVER,7,"+1,NEITHER"
log2_3,65,41,OVER,8,"+1,NEITHER"
log2_3,65,41,OVER,9,"+1,NEITHER"
log2_3,65,41,OVER,10,"+1,NEITHER"
log2_3,65,41,OVER,11,"+1,NEITHER"
log2_3,65,41,OVER,12,"+1,NEITHER"
log2_3,65,41,OVER,13,"+1,NEITHER"
log2_3,65,41,OVER,14,"+1,NEITHER"
log2_3,65,41,OVER,15,"+1,NEITHER"
log2_3,65,41,OVER,16,"+1,NEITHER"
log2_3,65,41,OVER,18,"+1,NEITHER"
log2_3,65,41,OVER,19,"+1,NEITHER"
log2_3,65,41,OVER,20,"+1,NEITHER"
log2_3,65,41,OVER,21,"+1,NEITHER"
log2_3,65,41,OVER,22,"+1,NEITHER"
log2_3,65,41,OVER,23,"+1,NEITHER"
log2_3,65,41,OVER,24,"+1,NEITHER"
log2_3,65,41,OVER,25,"+1,NEITHER"
log2_3,65,41,OVER,26,"+1,NEITHER"
log2_3,65,41,OVER,27,"+1,NEITHER"
log2_3,65,41,OVER,28,"+1,NEITHER"
log2_3,65,41,OVER,29,"+1,-1"
log2_3,65,41,OVER,30,"+1,NEITHER"
log2_3,65,41,OVER,31,"+1,NEITHER"
log2_3,65,41,OVER,32,"+1,NEITHER"
log2_3,65,41,OVER,33,"+1,NEITHER"
log2_3,65,41,OVER,34,"+1,NEITHER"
log2_3,65,41,OVER,35,"+1,NEITHER"
log2_3,65,41,OVER,36,"+1,NEITHER"
log2_3,65,41,OVER,37,"+1,NEITHER"
log2_3,65,41,OVER,38,"+1,NEITHER"
log2_3,65,41,OVER,39,"+1,NEITHER"
log2_3,65,41,OVER,40,"+1,NEITHER"
log2_3,84,53,UNDER,0,"+1,NEITHER"
log2_3,84,53,UNDER,1,"+1,NEITHER"
log2_3,84,53,UNDER,2,"+1,NEITHER"
log2_3,84,53,UNDER,3,"+1,NEITHER"
log2_3,84,53,UNDER,4,"+1,NEITHER"
log2_3,84,53,UNDER,5,"+1,NEITHER"
log2_3,84,53,UNDER,6,"+1,NEITHER"
log2_3,84,53,UNDER,7,"+1,NEITHER"
log2_3,84,53,UNDER,8,"+1,NEITHER"
log2_3,84,53,UNDER,9,"+1,NEITHER"
log2_3,84,53,UNDER,10,"+1,NEITHER"
log2_3,84,53,UNDER,11,"+1,NEITHER"
log2_3,84,53,UNDER,12,"+1,NEITHER"
log2_3,84,53,UNDER,13,"+1,NEITHER"
log2_3,84,53,UNDER,14,"+1,NEITHER"
log2_3,84,53,UNDER,15,"+1,NEITHER"
log2_3,84,53,UNDER,16,"+1,NEITHER"
log2_3,84,53,UNDER,17,"+1,NEITHER"
log2_3,84,53,UNDER,18,"+1,NEITHER"
log2_3,84,53,UNDER,19,"+1,NEITHER"
log2_3,84,53,UNDER,20,"+1,NEITHER"
log2_3,84,53,UNDER,21,"+1,NEITHER"
log2_3,84,53,UNDER,22,"+1,NEITHER"
log2_3,84,53,UNDER,23,"+1,NEITHER"
log2_3,84,53,UNDER,24,"+1,NEITHER"
log2_3,84,53,UNDER,25,"+1,NEITHER"
log2_3,84,53,UNDER,26,"+1,NEITHER"
log2_3,84,53,UNDER,27,"+1,NEITHER"
log2_3,84,53,UNDER,28,"+1,NEITHER"
log2_3,84,53,UNDER,30,"+1,NEITHER"
log2_3,84,53,UNDER,31,"+1,NEITHER"
log2_3,84,53,UNDER,32,"+1,NEITHER"
log2_3,84,53,UNDER,33,"+1,NEITHER"
log2_3,84,53,UNDER,34,"+1,NEITHER"
log2_3,84,53,UNDER,35,"+1,NEITHER"
log2_3,84,53,UNDER,36,"+1,NEITHER"
log2_3,84,53,UNDER,37,"+1,NEITHER"
log2_3,84,53,UNDER,38,"+1,NEITHER"
log2_3,84,53,UNDER,39,"+1,NEITHER"
log2_3,84,53,UNDER,40,"+1,NEITHER"
log2_3,84,53,UNDER,41,"+1,-1"
log2_3,84,53,UNDER,42,"+1,NEITHER"
log2_3,84,53,UNDER,43,"+1,NEITHER"
log2_3,84,53,UNDER,44,"+1,NEITHER"
log2_3,84,53,UNDER,45,"+1,NEITHER"
log2_3,84,53,UNDER,46,"+1,NEITHER"
log2_3,84,53,UNDER,47,"+1,NEITHER"
log2_3,84,53,UNDER,48,"+1,NEITHER"
log2_3,84,53,UNDER,49,"+1,NEITHER"
log2_3,84,53,UNDER,50,"+1,NEITHER"
log2_3,84,53,UNDER,51,"+1,NEITHER"
log2_3,84,53,UNDER,52,"+1,NEITHER"
