target,p,q,side,phase,n_neither_rows
log2_3,8,5,OVER,0,11
log2_3,8,5,OVER,2,7
log2_3,8,5,OVER,4,4
log2_3,19,12,UNDER,0,39
log2_3,19,12,UNDER,1,12
log2_3,19,12,UNDER,2,31
log2_3,19,12,UNDER,3,4
log2_3,19,12,UNDER,4,23
log2_3,19,12,UNDER,6,16
log2_3,19,12,UNDER,7,35
log2_3,19,12,UNDER,8,8
log2_3,19,12,UNDER,9,27
log2_3,19,12,UNDER,11,20
log2_3,65,41,OVER,0,155
log2_3,65,41,OVER,1,60
log2_3,65,41,OVER,2,127
log2_3,65,41,OVER,3,32
log2_3,65,41,OVER,4,99
log2_3,65,41,OVER,5,4
log2_3,65,41,OVER,6,72
log2_3,65,41,OVER,7,139
log2_3,65,41,OVER,8,44
log2_3,65,41,OVER,9,111
log2_3,65,41,OVER,10,16
log2_3,65,41,OVER,11,84
log2_3,65,41,OVER,12,151
log2_3,65,41,OVER,13,56
log2_3,65,41,OVER,14,123
log2_3,65,41,OVER,15,28
log2_3,65,41,OVER,16,95
log2_3,65,41,OVER,18,68
log2_3,65,41,OVER,19,135
log2_3,65,41,OVER,20,40
log2_3,65,41,OVER,21,107
log2_3,65,41,OVER,22,12
log2_3,65,41,OVER,23,80
log2_3,65,41,OVER,24,147
log2_3,65,41,OVER,25,52
log2_3,65,41,OVER,26,119
log2_3,65,41,OVER,27,24
log2_3,65,41,OVER,28,91
log2_3,65,41,OVER,30,64
log2_3,65,41,OVER,31,131
log2_3,65,41,OVER,32,36
log2_3,65,41,OVER,33,103
log2_3,65,41,OVER,34,8
log2_3,65,41,OVER,35,76
log2_3,65,41,OVER,36,143
log2_3,65,41,OVER,37,48
log2_3,65,41,OVER,38,115
log2_3,65,41,OVER,39,20
log2_3,65,41,OVER,40,88
log2_3,84,53,UNDER,0,203
log2_3,84,53,UNDER,1,80
log2_3,84,53,UNDER,2,167
log2_3,84,53,UNDER,3,44
log2_3,84,53,UNDER,4,131
log2_3,84,53,UNDER,5,8
log2_3,84,53,UNDER,6,96
log2_3,84,53,UNDER,7,183
log2_3,84,53,UNDER,8,60
log2_3,84,53,UNDER,9,147
log2_3,84,53,UNDER,10,24
log2_3,84,53,UNDER,11,112
log2_3,84,53,UNDER,12,199
log2_3,84,53,UNDER,13,76
log2_3,84,53,UNDER,14,163
log2_3,84,53,UNDER,15,40
log2_3,84,53,UNDER,16,127
log2_3,84,53,UNDER,17,4
log2_3,84,53,UNDER,18,92
log2_3,84,53,UNDER,19,179
log2_3,84,53,UNDER,20,56
log2_3,84,53,UNDER,21,143
log2_3,84,53,UNDER,22,20
log2_3,84,53,UNDER,23,108
log2_3,84,53,UNDER,24,195
log2_3,84,53,UNDER,25,72
log2_3,84,53,UNDER,26,159
log2_3,84,53,UNDER,27,36
log2_3,84,53,UNDER,28,123
log2_3,84,53,UNDER,30,88
log2_3,84,53,UNDER,31,175
log2_3,84,53,UNDER,32,52
log2_3,84,53,UNDER,33,139
log2_3,84,53,UNDER,34,16
log2_3,84,53,UNDER,35,104
log2_3,84,53,UNDER,36,191
log2_3,84,53,UNDER,37,68
log2_3,84,53,UNDER,38,155
log2_3,84,53,UNDER,39,32
log2_3,84,53,UNDER,40,119
log2_3,84,53,UNDER,42,84
log2_3,84,53,UNDER,43,171
log2_3,84,53,UNDER,44,48
log2_3,84,53,UNDER,45,135
log2_3,84,53,UNDER,46,12
log2_3,84,53,UNDER,47,100
log2_3,84,53,UNDER,48,187
log2_3,84,53,UNDER,49,64
log2_3,84,53,UNDER,50,151
log2_3,84,53,UNDER,51,28
log2_3,84,53,UNDER,52,116
sqrt2,7,5,UNDER,0,11
sqrt2,7,5,UNDER,1,3
sqrt2,7,5,UNDER,3,7
sqrt2,17,12,OVER,0,39
sqrt2,17,12,OVER,1,19
sqrt2,17,12,OVER,3,27
sqrt2,17,12,OVER,4,8
sqrt2,17,12,OVER,5,35
sqrt2,17,12,OVER,6,15
sqrt2,17,12,OVER,8,23
sqrt2,17,12,OVER,9,4
sqrt2,17,12,OVER,10,31
sqrt2,17,12,OVER,11,12
sqrt2,41,29,UNDER,0,107
sqrt2,41,29,UNDER,1,59
sqrt2,41,29,UNDER,2,12
sqrt2,41,29,UNDER,3,79
sqrt2,41,29,UNDER,4,32
sqrt2,41,29,UNDER,5,99
sqrt2,41,29,UNDER,6,51
sqrt2,41,29,UNDER,7,4
sqrt2,41,29,UNDER,8,71
sqrt2,41,29,UNDER,9,24
sqrt2,41,29,UNDER,10,91
sqrt2,41,29,UNDER,11,43
sqrt2,41,29,UNDER,13,63
sqrt2,41,29,UNDER,14,16
sqrt2,41,29,UNDER,15,83
sqrt2,41,29,UNDER,16,36
sqrt2,41,29,UNDER,17,103
sqrt2,41,29,UNDER,18,55
sqrt2,41,29,UNDER,19,8
sqrt2,41,29,UNDER,20,75
sqrt2,41,29,UNDER,21,28
sqrt2,41,29,UNDER,22,95
sqrt2,41,29,UNDER,23,47
sqrt2,41,29,UNDER,25,67
sqrt2,41,29,UNDER,26,20
sqrt2,41,29,UNDER,27,87
sqrt2,41,29,UNDER,28,40
sqrt3,5,3,UNDER,0,3
sqrt3,7,4,OVER,0,7
sqrt3,7,4,OVER,3,4
sqrt3,19,11,UNDER,0,35
sqrt3,19,11,UNDER,1,4
sqrt3,19,11,UNDER,2,16
sqrt3,19,11,UNDER,3,27
sqrt3,19,11,UNDER,5,8
sqrt3,19,11,UNDER,6,20
sqrt3,19,11,UNDER,7,31
sqrt3,19,11,UNDER,9,12
sqrt3,19,11,UNDER,10,24
sqrt3,26,15,OVER,0,51
sqrt3,26,15,OVER,1,8
sqrt3,26,15,OVER,2,24
sqrt3,26,15,OVER,3,39
sqrt3,26,15,OVER,5,12
sqrt3,26,15,OVER,6,28
sqrt3,26,15,OVER,7,43
sqrt3,26,15,OVER,9,16
sqrt3,26,15,OVER,10,32
sqrt3,26,15,OVER,11,47
sqrt3,26,15,OVER,12,4
sqrt3,26,15,OVER,13,20
sqrt3,26,15,OVER,14,36
sqrt3,71,41,UNDER,0,155
sqrt3,71,41,UNDER,1,36
sqrt3,71,41,UNDER,2,80
sqrt3,71,41,UNDER,3,123
sqrt3,71,41,UNDER,4,4
sqrt3,71,41,UNDER,5,48
sqrt3,71,41,UNDER,6,92
sqrt3,71,41,UNDER,7,135
sqrt3,71,41,UNDER,8,16
sqrt3,71,41,UNDER,9,60
sqrt3,71,41,UNDER,10,104
sqrt3,71,41,UNDER,11,147
sqrt3,71,41,UNDER,12,28
sqrt3,71,41,UNDER,13,72
sqrt3,71,41,UNDER,14,115
sqrt3,71,41,UNDER,16,40
sqrt3,71,41,UNDER,17,84
sqrt3,71,41,UNDER,18,127
sqrt3,71,41,UNDER,19,8
sqrt3,71,41,UNDER,20,52
sqrt3,71,41,UNDER,21,96
sqrt3,71,41,UNDER,22,139
sqrt3,71,41,UNDER,23,20
sqrt3,71,41,UNDER,24,64
sqrt3,71,41,UNDER,25,108
sqrt3,71,41,UNDER,26,151
sqrt3,71,41,UNDER,27,32
sqrt3,71,41,UNDER,28,76
sqrt3,71,41,UNDER,29,119
sqrt3,71,41,UNDER,31,44
sqrt3,71,41,UNDER,32,88
sqrt3,71,41,UNDER,33,131
sqrt3,71,41,UNDER,34,12
sqrt3,71,41,UNDER,35,56
sqrt3,71,41,UNDER,36,100
sqrt3,71,41,UNDER,37,143
sqrt3,71,41,UNDER,38,24
sqrt3,71,41,UNDER,39,68
sqrt3,71,41,UNDER,40,112
sqrt3,97,56,OVER,0,215
sqrt3,97,56,OVER,1,52
sqrt3,97,56,OVER,2,112
sqrt3,97,56,OVER,3,171
sqrt3,97,56,OVER,4,8
sqrt3,97,56,OVER,5,68
sqrt3,97,56,OVER,6,128
sqrt3,97,56,OVER,7,187
sqrt3,97,56,OVER,8,24
sqrt3,97,56,OVER,9,84
sqrt3,97,56,OVER,10,144
sqrt3,97,56,OVER,11,203
sqrt3,97,56,OVER,12,40
sqrt3,97,56,OVER,13,100
sqrt3,97,56,OVER,14,159
sqrt3,97,56,OVER,16,56
sqrt3,97,56,OVER,17,116
sqrt3,97,56,OVER,18,175
sqrt3,97,56,OVER,19,12
sqrt3,97,56,OVER,20,72
sqrt3,97,56,OVER,21,132
sqrt3,97,56,OVER,22,191
sqrt3,97,56,OVER,23,28
sqrt3,97,56,OVER,24,88
sqrt3,97,56,OVER,25,148
sqrt3,97,56,OVER,26,207
sqrt3,97,56,OVER,27,44
sqrt3,97,56,OVER,28,104
sqrt3,97,56,OVER,29,163
sqrt3,97,56,OVER,31,60
sqrt3,97,56,OVER,32,120
sqrt3,97,56,OVER,33,179
sqrt3,97,56,OVER,34,16
sqrt3,97,56,OVER,35,76
sqrt3,97,56,OVER,36,136
sqrt3,97,56,OVER,37,195
sqrt3,97,56,OVER,38,32
sqrt3,97,56,OVER,39,92
sqrt3,97,56,OVER,40,152
sqrt3,97,56,OVER,41,211
sqrt3,97,56,OVER,42,48
sqrt3,97,56,OVER,43,108
sqrt3,97,56,OVER,44,167
sqrt3,97,56,OVER,45,4
sqrt3,97,56,OVER,46,64
sqrt3,97,56,OVER,47,124
sqrt3,97,56,OVER,48,183
sqrt3,97,56,OVER,49,20
sqrt3,97,56,OVER,50,80
sqrt3,97,56,OVER,51,140
sqrt3,97,56,OVER,52,199
sqrt3,97,56,OVER,53,36
sqrt3,97,56,OVER,54,96
sqrt3,97,56,OVER,55,156
golden,5,3,OVER,0,3
golden,8,5,UNDER,0,11
golden,8,5,UNDER,2,7
golden,8,5,UNDER,4,4
golden,13,8,OVER,0,23
golden,13,8,OVER,1,4
golden,13,8,OVER,2,15
golden,13,8,OVER,4,8
golden,13,8,OVER,5,19
golden,13,8,OVER,7,12
golden,21,13,UNDER,0,43
golden,21,13,UNDER,1,12
golden,21,13,UNDER,2,31
golden,21,13,UNDER,4,20
golden,21,13,UNDER,5,39
golden,21,13,UNDER,6,8
golden,21,13,UNDER,7,27
golden,21,13,UNDER,9,16
golden,21,13,UNDER,10,35
golden,21,13,UNDER,11,4
golden,21,13,UNDER,12,24
golden,34,21,OVER,0,75
golden,34,21,OVER,1,24
golden,34,21,OVER,2,55
golden,34,21,OVER,3,4
golden,34,21,OVER,4,36
golden,34,21,OVER,5,67
golden,34,21,OVER,6,16
golden,34,21,OVER,7,47
golden,34,21,OVER,9,28
golden,34,21,OVER,10,59
golden,34,21,OVER,11,8
golden,34,21,OVER,12,40
golden,34,21,OVER,13,71
golden,34,21,OVER,14,20
golden,34,21,OVER,15,51
golden,34,21,OVER,17,32
golden,34,21,OVER,18,63
golden,34,21,OVER,19,12
golden,34,21,OVER,20,44
golden,55,34,UNDER,0,127
golden,55,34,UNDER,1,44
golden,55,34,UNDER,2,95
golden,55,34,UNDER,3,12
golden,55,34,UNDER,4,64
golden,55,34,UNDER,5,115
golden,55,34,UNDER,6,32
golden,55,34,UNDER,7,83
golden,55,34,UNDER,9,52
golden,55,34,UNDER,10,103
golden,55,34,UNDER,11,20
golden,55,34,UNDER,12,72
golden,55,34,UNDER,13,123
golden,55,34,UNDER,14,40
golden,55,34,UNDER,15,91
golden,55,34,UNDER,16,8
golden,55,34,UNDER,17,60
golden,55,34,UNDER,18,111
golden,55,34,UNDER,19,28
golden,55,34,UNDER,20,79
golden,55,34,UNDER,22,48
golden,55,34,UNDER,23,99
golden,55,34,UNDER,24,16
golden,55,34,UNDER,25,68
golden,55,34,UNDER,26,119
golden,55,34,UNDER,27,36
golden,55,34,UNDER,28,87
golden,55,34,UNDER,29,4
golden,55,34,UNDER,30,56
golden,55,34,UNDER,31,107
golden,55,34,UNDER,32,24
golden,55,34,UNDER,33,76
golden,89,55,OVER,0,211
golden,89,55,OVER,1,76
golden,89,55,OVER,2,159
golden,89,55,OVER,3,24
golden,89,55,OVER,4,108
golden,89,55,OVER,5,191
golden,89,55,OVER,6,56
golden,89,55,OVER,7,139
golden,89,55,OVER,8,4
golden,89,55,OVER,9,88
golden,89,55,OVER,10,171
