m,L,owner_p,owner_q,owner_sign,matched
2,2,,,,False
3,3,,,,False
4,3,1,1,+1,True
5,4,1,1,+1,True
6,5,1,1,+1,True
7,6,1,1,+1,True
8,6,,,,False
9,7,,,,False
10,8,,,,False
11,9,,,,False
12,9,,,,False
13,10,,,,False
14,11,,,,False
15,12,,,,False
16,12,,,,False
17,13,,,,False
18,14,,,,False
19,15,,,,False
20,15,,,,False
21,16,,,,False
22,17,,,,False
23,18,,,,False
24,18,,,,False
25,19,,,,False
26,20,,,,False
27,20,3,4,+1,True
28,21,,,,False
29,22,,,,False
30,23,,,,False
31,23,3,4,+1,True
32,24,,,,False
33,25,,,,False
34,26,,,,False
35,26,3,4,+1,True
36,27,,,,False
37,28,,,,False
38,29,,,,False
39,29,3,4,+1,True
40,30,,,,False
41,31,,,,False
42,32,,,,False
43,32,3,4,+1,True
44,33,,,,False
45,34,,,,False
46,35,,,,False
47,35,3,4,+1,True
48,36,,,,False
49,37,,,,False
50,38,,,,False
51,38,3,4,+1,True
52,39,,,,False
53,40,,,,False
54,40,3,4,+1,True
55,41,3,4,+1,True
56,42,,,,False
57,43,,,,False
58,43,3,4,+1,True
59,44,3,4,+1,True
60,45,,,,False
61,46,,,,False
62,46,3,4,+1,True
63,47,3,4,+1,True
64,48,,,,False
65,49,,,,False
66,49,3,4,+1,True
67,50,3,4,+1,True
68,51,,,,False
69,52,,,,False
70,52,3,4,+1,True
71,53,3,4,+1,True
72,54,,,,False
73,55,,,,False
74,55,3,4,+1,True
75,56,3,4,+1,True
76,57,,,,False
77,57,3,4,+1,True
78,58,3,4,+1,True
79,59,3,4,+1,True
80,60,,,,False
81,60,3,4,+1,True
82,61,3,4,+1,True
83,62,3,4,+1,True
84,63,,,,False
85,63,3,4,+1,True
86,64,3,4,+1,True
87,65,3,4,+1,True
88,66,,,,False
89,66,3,4,+1,True
90,67,3,4,+1,True
91,68,3,4,+1,True
92,69,,,,False
93,69,3,4,+1,True
94,70,3,4,+1,True
95,71,3,4,+1,True
96,72,,,,False
97,72,3,4,+1,True
98,73,3,4,+1,True
99,74,3,4,+1,True
100,75,,,,False
101,75,3,4,+1,True
102,76,3,4,+1,True
103,77,3,4,+1,True
104,77,3,4,+1,True
105,78,3,4,+1,True
106,79,3,4,+1,True
107,80,3,4,+1,True
108,80,3,4,+1,True
109,81,3,4,+1,True
110,82,3,4,+1,True
111,83,3,4,+1,True
112,83,3,4,+1,True
113,84,3,4,+1,True
114,85,3,4,+1,True
115,86,3,4,+1,True
116,86,3,4,+1,True
117,87,3,4,+1,True
118,88,3,4,+1,True
119,89,3,4,+1,True
120,89,3,4,+1,True
121,90,3,4,+1,True
122,91,3,4,+1,True
123,92,3,4,+1,True
124,92,3,4,+1,True
125,93,3,4,+1,True
126,94,3,4,+1,True
127,94,20,27,+1,True
128,95,3,4,+1,True
129,96,3,4,+1,True
130,97,3,4,+1,True
131,97,20,27,+1,True
132,98,3,4,+1,True
133,99,3,4,+1,True
134,100,3,4,+1,True
135,100,,,,False
136,101,3,4,+1,True
137,102,3,4,+1,True
138,103,3,4,+1,True
139,103,,,,False
140,104,3,4,+1,True
141,105,3,4,+1,True
142,106,3,4,+1,True
143,106,,,,False
144,107,3,4,+1,True
145,108,3,4,+1,True
146,109,3,4,+1,True
147,109,,,,False
148,110,3,4,+1,True
149,111,3,4,+1,True
150,112,3,4,+1,True
151,112,,,,False
152,113,3,4,+1,True
153,114,3,4,+1,True
154,114,20,27,+1,True
155,115,,,,False
156,116,3,4,+1,True
157,117,3,4,+1,True
158,117,20,27,+1,True
159,118,,,,False
160,119,3,4,+1,True
161,120,3,4,+1,True
162,120,,,,False
163,121,,,,False
164,122,3,4,+1,True
165,123,3,4,+1,True
166,123,,,,False
167,124,,,,False
168,125,3,4,+1,True
169,126,3,4,+1,True
170,126,,,,False
171,127,,,,False
172,128,3,4,+1,True
173,129,3,4,+1,True
174,129,,,,False
175,130,,,,False
176,131,3,4,+1,True
177,131,20,27,+1,True
178,132,,,,False
179,133,,,,False
180,134,3,4,+1,True
181,134,20,27,+1,True
182,135,,,,False
183,136,,,,False
184,137,3,4,+1,True
185,137,20,27,+1,True
186,138,,,,False
187,139,,,,False
188,140,3,4,+1,True
189,140,,,,False
190,141,,,,False
191,142,,,,False
192,143,3,4,+1,True
193,143,,,,False
194,144,,,,False
195,145,,,,False
196,146,3,4,+1,True
197,146,,,,False
198,147,,,,False
199,148,,,,False
200,149,3,4,+1,True
201,149,,,,False
202,150,,,,False
203,151,,,,False
204,151,20,27,+1,True
205,152,,,,False
206,153,,,,False
207,154,,,,False
208,154,20,27,+1,True
209,155,,,,False
210,156,,,,False
211,157,,,,False
212,157,20,27,+1,True
213,158,,,,False
214,159,,,,False
215,160,,,,False
216,160,,,,False
217,161,,,,False
218,162,,,,False
219,163,,,,False
220,163,,,,False
221,164,,,,False
222,165,,,,False
223,166,,,,False
224,166,,,,False
225,167,,,,False
226,168,,,,False
227,168,20,27,+1,True
228,169,,,,False
229,170,,,,False
230,171,,,,False
231,171,20,27,+1,True
232,172,,,,False
233,173,,,,False
234,174,,,,False
235,174,20,27,+1,True
236,175,,,,False
237,176,,,,False
238,177,,,,False
239,177,20,27,+1,True
240,178,,,,False
241,179,,,,False
242,180,,,,False
243,180,,,,False
244,181,,,,False
245,182,,,,False
246,183,,,,False
247,183,,,,False
248,184,,,,False
249,185,,,,False
250,186,,,,False
251,186,,,,False
252,187,,,,False
253,188,,,,False
254,188,20,27,+1,True
255,189,,,,False
256,190,,,,False
257,191,,,,False
258,191,20,27,+1,True
259,192,,,,False
260,193,,,,False
261,194,,,,False
262,194,20,27,+1,True
263,195,,,,False
264,196,,,,False
265,197,,,,False
266,197,20,27,+1,True
267,198,,,,False
268,199,,,,False
269,200,,,,False
270,200,,,,False
271,201,,,,False
272,202,,,,False
273,203,,,,False
274,203,,,,False
275,204,,,,False
276,205,,,,False
277,206,,,,False
278,206,,,,False
279,207,,,,False
280,208,,,,False
281,208,20,27,+1,True
282,209,,,,False
283,210,,,,False
284,211,,,,False
285,211,20,27,+1,True
286,212,,,,False
287,213,,,,False
288,214,,,,False
289,214,20,27,+1,True
290,215,,,,False
291,216,,,,False
292,217,,,,False
293,217,20,27,+1,True
294,218,,,,False
295,219,,,,False
296,220,,,,False
297,220,,,,False
298,221,,,,False
299,222,,,,False
300,223,,,,False
