m,L,owner_p,owner_q,owner_sign,matched
2,1,,,,False
3,1,,,,False
4,2,,,,False
5,2,,,,False
6,2,,,,False
7,2,1,3,+1,True
8,3,,,,False
9,3,,,,False
10,3,1,3,+1,True
11,4,,,,False
12,4,,,,False
13,4,1,3,+1,True
14,4,1,3,+1,True
15,5,,,,False
16,5,1,3,+1,True
17,5,1,3,+1,True
18,6,,,,False
19,6,1,3,+1,True
20,6,1,3,+1,True
21,6,1,3,+1,True
22,7,1,3,+1,True
23,7,1,3,+1,True
24,7,1,3,+1,True
25,8,1,3,+1,True
26,8,1,3,+1,True
27,8,1,3,+1,True
28,8,,,,False
29,9,1,3,+1,True
30,9,1,3,+1,True
31,9,,,,False
32,10,1,3,+1,True
33,10,1,3,+1,True
34,10,,,,False
35,10,,,,False
36,11,1,3,+1,True
37,11,,,,False
38,11,,,,False
39,11,2,7,+1,True
40,12,,,,False
41,12,,,,False
42,12,,,,False
43,13,,,,False
44,13,,,,False
45,13,,,,False
46,13,2,7,+1,True
47,14,,,,False
48,14,,,,False
49,14,,,,False
50,15,,,,False
51,15,,,,False
52,15,,,,False
53,15,2,7,+1,True
54,16,,,,False
55,16,,,,False
56,16,,,,False
57,17,,,,False
58,17,,,,False
59,17,,,,False
60,17,2,7,+1,True
61,18,,,,False
62,18,,,,False
63,18,,,,False
64,19,,,,False
65,19,,,,False
66,19,,,,False
67,19,2,7,+1,True
68,20,,,,False
69,20,,,,False
70,20,,,,False
71,21,,,,False
72,21,,,,False
73,21,,,,False
74,21,2,7,+1,True
75,22,,,,False
76,22,,,,False
77,22,,,,False
78,22,2,7,+1,True
79,23,,,,False
80,23,,,,False
81,23,2,7,+1,True
82,24,,,,False
83,24,,,,False
84,24,,,,False
85,24,2,7,+1,True
86,25,,,,False
87,25,,,,False
88,25,2,7,+1,True
89,26,,,,False
90,26,,,,False
91,26,,,,False
92,26,2,7,+1,True
93,27,,,,False
94,27,,,,False
95,27,2,7,+1,True
96,28,,,,False
97,28,,,,False
98,28,,,,False
99,28,2,7,+1,True
100,29,,,,False
101,29,,,,False
102,29,2,7,+1,True
103,30,,,,False
104,30,,,,False
105,30,,,,False
106,30,2,7,+1,True
107,31,,,,False
108,31,,,,False
109,31,2,7,+1,True
110,31,2,7,+1,True
111,32,,,,False
112,32,,,,False
113,32,2,7,+1,True
114,33,,,,False
115,33,,,,False
116,33,2,7,+1,True
117,33,2,7,+1,True
118,34,,,,False
119,34,,,,False
120,34,2,7,+1,True
121,35,,,,False
122,35,,,,False
123,35,2,7,+1,True
124,35,2,7,+1,True
125,36,,,,False
126,36,,,,False
127,36,2,7,+1,True
128,37,,,,False
129,37,,,,False
130,37,2,7,+1,True
131,37,2,7,+1,True
132,38,,,,False
133,38,,,,False
134,38,2,7,+1,True
135,39,,,,False
136,39,,,,False
137,39,2,7,+1,True
138,39,2,7,+1,True
139,40,,,,False
140,40,,,,False
141,40,2,7,+1,True
142,41,,,,False
143,41,,,,False
144,41,2,7,+1,True
145,41,2,7,+1,True
146,42,,,,False
147,42,,,,False
148,42,2,7,+1,True
149,42,2,7,+1,True
150,43,,,,False
151,43,2,7,+1,True
152,43,2,7,+1,True
153,44,,,,False
154,44,,,,False
155,44,2,7,+1,True
156,44,2,7,+1,True
157,45,,,,False
158,45,2,7,+1,True
159,45,2,7,+1,True
160,46,,,,False
161,46,,,,False
162,46,2,7,+1,True
163,46,2,7,+1,True
164,47,,,,False
165,47,2,7,+1,True
166,47,2,7,+1,True
167,48,,,,False
168,48,,,,False
169,48,2,7,+1,True
170,48,2,7,+1,True
171,49,,,,False
172,49,2,7,+1,True
173,49,2,7,+1,True
174,50,,,,False
175,50,,,,False
176,50,2,7,+1,True
177,50,2,7,+1,True
178,51,,,,False
179,51,2,7,+1,True
180,51,2,7,+1,True
181,51,2,7,+1,True
182,52,,,,False
183,52,2,7,+1,True
184,52,2,7,+1,True
185,53,,,,False
186,53,2,7,+1,True
187,53,2,7,+1,True
188,53,2,7,+1,True
189,54,,,,False
190,54,2,7,+1,True
191,54,2,7,+1,True
192,55,,,,False
193,55,2,7,+1,True
194,55,2,7,+1,True
195,55,2,7,+1,True
196,56,,,,False
197,56,2,7,+1,True
198,56,2,7,+1,True
199,57,,,,False
200,57,2,7,+1,True
201,57,2,7,+1,True
202,57,2,7,+1,True
203,58,,,,False
204,58,2,7,+1,True
205,58,2,7,+1,True
206,59,,,,False
207,59,2,7,+1,True
208,59,2,7,+1,True
209,59,2,7,+1,True
210,60,,,,False
211,60,2,7,+1,True
212,60,2,7,+1,True
213,61,,,,False
214,61,2,7,+1,True
215,61,2,7,+1,True
216,61,2,7,+1,True
217,62,,,,False
218,62,2,7,+1,True
219,62,2,7,+1,True
220,62,2,7,+1,True
221,63,2,7,+1,True
222,63,2,7,+1,True
223,63,2,7,+1,True
224,64,,,,False
225,64,2,7,+1,True
226,64,2,7,+1,True
227,64,2,7,+1,True
228,65,2,7,+1,True
229,65,2,7,+1,True
230,65,2,7,+1,True
231,66,,,,False
232,66,2,7,+1,True
233,66,2,7,+1,True
234,66,2,7,+1,True
235,67,2,7,+1,True
236,67,2,7,+1,True
237,67,2,7,+1,True
238,68,,,,False
239,68,2,7,+1,True
240,68,2,7,+1,True
241,68,2,7,+1,True
242,69,2,7,+1,True
243,69,2,7,+1,True
244,69,2,7,+1,True
245,70,,,,False
246,70,2,7,+1,True
247,70,2,7,+1,True
248,70,2,7,+1,True
249,71,2,7,+1,True
250,71,2,7,+1,True
251,71,2,7,+1,True
252,71,2,7,+1,True
253,72,2,7,+1,True
254,72,2,7,+1,True
255,72,2,7,+1,True
256,73,2,7,+1,True
257,73,2,7,+1,True
258,73,2,7,+1,True
259,73,2,7,+1,True
260,74,2,7,+1,True
261,74,2,7,+1,True
262,74,2,7,+1,True
263,75,2,7,+1,True
264,75,2,7,+1,True
265,75,2,7,+1,True
266,75,2,7,+1,True
267,76,2,7,+1,True
268,76,2,7,+1,True
269,76,2,7,+1,True
270,77,2,7,+1,True
271,77,2,7,+1,True
272,77,2,7,+1,True
273,77,2,7,+1,True
274,78,2,7,+1,True
