m,L,owner_p,owner_q,owner_sign,matched
2,1,,,,False
3,2,,,,False
4,2,,,,False
5,2,1,2,+1,True
6,3,,,,False
7,3,1,2,+1,True
8,4,,,,False
9,4,1,2,+1,True
10,4,1,2,+1,True
11,5,1,2,+1,True
12,5,1,2,+1,True
13,5,2,5,+1,True
14,6,1,2,+1,True
15,6,,,,False
16,7,1,2,+1,True
17,7,,,,False
18,7,2,5,+1,True
19,8,,,,False
20,8,,,,False
21,9,,,,False
22,9,,,,False
23,9,2,5,+1,True
24,10,,,,False
25,10,,,,False
26,10,2,5,+1,True
27,11,,,,False
28,11,2,5,+1,True
29,12,,,,False
30,12,,,,False
31,12,2,5,+1,True
32,13,,,,False
33,13,2,5,+1,True
34,14,,,,False
35,14,,,,False
36,14,2,5,+1,True
37,15,,,,False
38,15,2,5,+1,True
39,15,2,5,+1,True
40,16,,,,False
41,16,2,5,+1,True
42,17,,,,False
43,17,2,5,+1,True
44,17,2,5,+1,True
45,18,,,,False
46,18,2,5,+1,True
47,19,,,,False
48,19,2,5,+1,True
49,19,2,5,+1,True
50,20,,,,False
51,20,2,5,+1,True
52,20,2,5,+1,True
53,21,2,5,+1,True
54,21,2,5,+1,True
55,22,,,,False
56,22,2,5,+1,True
57,22,2,5,+1,True
58,23,2,5,+1,True
59,23,2,5,+1,True
60,24,,,,False
61,24,2,5,+1,True
62,24,2,5,+1,True
63,25,2,5,+1,True
64,25,2,5,+1,True
65,25,2,5,+1,True
66,26,2,5,+1,True
67,26,2,5,+1,True
68,27,2,5,+1,True
69,27,2,5,+1,True
70,27,2,5,+1,True
71,28,2,5,+1,True
72,28,2,5,+1,True
73,29,2,5,+1,True
74,29,2,5,+1,True
75,29,2,5,+1,True
76,30,2,5,+1,True
77,30,2,5,+1,True
78,30,,,,False
79,31,2,5,+1,True
80,31,2,5,+1,True
81,32,2,5,+1,True
82,32,2,5,+1,True
83,32,,,,False
84,33,2,5,+1,True
85,33,2,5,+1,True
86,34,2,5,+1,True
87,34,2,5,+1,True
88,34,,,,False
89,35,2,5,+1,True
90,35,2,5,+1,True
91,35,,,,False
92,36,2,5,+1,True
93,36,,,,False
94,37,2,5,+1,True
95,37,2,5,+1,True
96,37,,,,False
97,38,2,5,+1,True
98,38,,,,False
99,39,2,5,+1,True
100,39,2,5,+1,True
101,39,,,,False
102,40,2,5,+1,True
103,40,,,,False
104,40,,,,False
105,41,2,5,+1,True
106,41,,,,False
107,42,2,5,+1,True
108,42,,,,False
109,42,,,,False
110,43,2,5,+1,True
111,43,,,,False
112,44,2,5,+1,True
113,44,,,,False
114,44,,,,False
115,45,2,5,+1,True
116,45,,,,False
117,45,,,,False
118,46,,,,False
119,46,,,,False
120,47,2,5,+1,True
121,47,,,,False
122,47,,,,False
123,48,,,,False
124,48,,,,False
125,49,2,5,+1,True
126,49,,,,False
127,49,,,,False
128,50,,,,False
129,50,,,,False
130,50,,,,False
131,51,,,,False
132,51,,,,False
133,52,,,,False
134,52,,,,False
135,52,,,,False
136,53,,,,False
137,53,,,,False
138,54,,,,False
139,54,,,,False
140,54,,,,False
141,55,,,,False
142,55,,,,False
143,55,,,,False
144,56,,,,False
145,56,,,,False
146,57,,,,False
147,57,,,,False
148,57,,,,False
149,58,,,,False
150,58,,,,False
151,59,,,,False
152,59,,,,False
153,59,,,,False
154,60,,,,False
155,60,,,,False
156,60,,,,False
157,61,,,,False
158,61,,,,False
159,62,,,,False
160,62,,,,False
161,62,,,,False
162,63,,,,False
163,63,,,,False
164,64,,,,False
165,64,,,,False
166,64,,,,False
167,65,,,,False
168,65,,,,False
169,65,,,,False
170,66,,,,False
171,66,,,,False
172,67,,,,False
173,67,,,,False
174,67,,,,False
175,68,,,,False
176,68,,,,False
177,69,,,,False
178,69,,,,False
179,69,,,,False
180,70,,,,False
181,70,,,,False
182,70,,,,False
183,71,,,,False
184,71,,,,False
185,72,,,,False
186,72,,,,False
187,72,,,,False
188,73,,,,False
189,73,,,,False
190,74,,,,False
191,74,,,,False
192,74,,,,False
193,75,,,,False
194,75,,,,False
195,75,,,,False
196,76,,,,False
197,76,,,,False
198,77,,,,False
199,77,,,,False
200,77,,,,False
201,78,,,,False
202,78,,,,False
203,79,,,,False
204,79,,,,False
205,79,,,,False
206,80,,,,False
207,80,,,,False
208,80,,,,False
209,81,,,,False
210,81,,,,False
211,82,,,,False
212,82,,,,False
213,82,,,,False
214,83,,,,False
215,83,,,,False
216,84,,,,False
217,84,,,,False
218,84,,,,False
219,85,,,,False
220,85,,,,False
221,85,,,,False
222,86,,,,False
223,86,,,,False
224,87,,,,False
225,87,,,,False
226,87,,,,False
227,88,,,,False
228,88,,,,False
229,89,,,,False
230,89,,,,False
231,89,,,,False
232,90,,,,False
233,90,,,,False
234,90,,,,False
235,91,,,,False
236,91,,,,False
237,92,,,,False
238,92,,,,False
239,92,,,,False
240,93,,,,False
241,93,,,,False
242,94,,,,False
243,94,,,,False
244,94,,,,False
245,95,,,,False
246,95,,,,False
247,95,,,,False
248,96,,,,False
249,96,,,,False
250,97,,,,False
251,97,,,,False
252,97,,,,False
253,98,,,,False
254,98,,,,False
255,99,,,,False
256,99,,,,False
257,99,,,,False
258,100,,,,False
259,100,,,,False
260,100,,,,False
261,101,,,,False
262,101,,,,False
263,102,,,,False
264,102,,,,False
265,102,,,,False
266,103,,,,False
267,103,,,,False
268,104,,,,False
269,104,,,,False
270,104,,,,False
271,105,,,,False
272,105,,,,False
273,105,,,,False
274,106,,,,False
275,106,,,,False
276,107,,,,False
277,107,,,,False
278,107,,,,False
279,108,,,,False
280,108,,,,False
281,109,,,,False
282,109,,,,False
283,109,,,,False
284,110,,,,False
285,110,,,,False
286,110,,,,False
287,111,,,,False
288,111,,,,False
289,112,,,,False
290,112,,,,False
291,112,,,,False
292,113,,,,False
293,113,,,,False
294,114,,,,False
295,114,,,,False
296,114,,,,False
297,115,,,,False
298,115,,,,False
299,115,,,,False
300,116,,,,False
