m,L,owner_p,owner_q,owner_sign,matched
2,1,,,,False
3,2,,,,False
4,2,,,,False
5,2,1,2,+1,True
6,3,,,,False
7,3,1,2,+1,True
8,4,,,,False
9,4,1,2,+1,True
10,4,1,2,+1,True
11,5,1,2,+1,True
12,5,1,2,+1,True
13,5,2,5,+1,True
14,6,1,2,+1,True
15,6,,,,False
16,7,1,2,+1,True
17,7,,,,False
18,7,2,5,+1,True
19,8,,,,False
20,8,,,,False
21,9,,,,False
22,9,,,,False
23,9,2,5,+1,True
24,10,,,,False
25,10,,,,False
26,10,2,5,+1,True
27,11,,,,False
28,11,2,5,+1,True
29,12,,,,False
30,12,,,,False
31,12,2,5,+1,True
32,13,,,,False
33,13,2,5,+1,True
34,13,2,5,+1,True
35,14,,,,False
36,14,2,5,+1,True
37,15,,,,False
38,15,2,5,+1,True
39,15,2,5,+1,True
40,16,,,,False
41,16,2,5,+1,True
42,17,,,,False
43,17,2,5,+1,True
44,17,2,5,+1,True
45,18,,,,False
46,18,2,5,+1,True
47,18,2,5,+1,True
48,19,2,5,+1,True
49,19,2,5,+1,True
50,20,,,,False
51,20,2,5,+1,True
52,20,2,5,+1,True
53,21,2,5,+1,True
54,21,2,5,+1,True
55,22,,,,False
56,22,2,5,+1,True
57,22,2,5,+1,True
58,23,2,5,+1,True
59,23,2,5,+1,True
60,23,2,5,+1,True
61,24,2,5,+1,True
62,24,2,5,+1,True
63,25,2,5,+1,True
64,25,2,5,+1,True
65,25,2,5,+1,True
66,26,2,5,+1,True
67,26,2,5,+1,True
68,26,5,13,+1,True
69,27,2,5,+1,True
70,27,2,5,+1,True
71,28,2,5,+1,True
72,28,2,5,+1,True
73,28,5,13,+1,True
74,29,2,5,+1,True
75,29,2,5,+1,True
76,30,2,5,+1,True
77,30,2,5,+1,True
78,30,,,,False
79,31,2,5,+1,True
80,31,2,5,+1,True
81,31,5,13,+1,True
82,32,2,5,+1,True
83,32,,,,False
84,33,2,5,+1,True
85,33,2,5,+1,True
86,33,5,13,+1,True
87,34,2,5,+1,True
88,34,,,,False
89,34,5,13,+1,True
90,35,2,5,+1,True
91,35,,,,False
92,36,2,5,+1,True
93,36,,,,False
94,36,5,13,+1,True
95,37,2,5,+1,True
96,37,,,,False
97,38,2,5,+1,True
98,38,,,,False
99,38,5,13,+1,True
100,39,2,5,+1,True
101,39,,,,False
102,39,5,13,+1,True
103,40,,,,False
104,40,,,,False
105,41,2,5,+1,True
106,41,,,,False
107,41,5,13,+1,True
108,42,,,,False
109,42,,,,False
110,43,2,5,+1,True
111,43,,,,False
112,43,5,13,+1,True
113,44,,,,False
114,44,,,,False
115,44,5,13,+1,True
116,45,,,,False
117,45,,,,False
118,46,,,,False
119,46,,,,False
120,46,5,13,+1,True
121,47,,,,False
122,47,,,,False
123,47,5,13,+1,True
124,48,,,,False
125,48,5,13,+1,True
126,49,,,,False
127,49,,,,False
128,49,5,13,+1,True
129,50,,,,False
130,50,,,,False
131,51,,,,False
132,51,,,,False
133,51,5,13,+1,True
134,52,,,,False
135,52,,,,False
136,52,5,13,+1,True
137,53,,,,False
138,53,5,13,+1,True
139,54,,,,False
140,54,,,,False
141,54,5,13,+1,True
142,55,,,,False
143,55,,,,False
144,56,,,,False
145,56,,,,False
146,56,5,13,+1,True
147,57,,,,False
148,57,,,,False
149,57,5,13,+1,True
150,58,,,,False
151,58,5,13,+1,True
152,59,,,,False
153,59,,,,False
154,59,5,13,+1,True
155,60,,,,False
156,60,,,,False
157,60,5,13,+1,True
158,61,,,,False
159,61,5,13,+1,True
160,62,,,,False
161,62,,,,False
162,62,5,13,+1,True
163,63,,,,False
164,63,5,13,+1,True
165,64,,,,False
166,64,,,,False
167,64,5,13,+1,True
168,65,,,,False
169,65,,,,False
170,65,5,13,+1,True
171,66,,,,False
172,66,5,13,+1,True
173,67,,,,False
174,67,,,,False
175,67,5,13,+1,True
176,68,,,,False
177,68,5,13,+1,True
178,68,5,13,+1,True
179,69,,,,False
180,69,5,13,+1,True
181,70,,,,False
182,70,,,,False
183,70,5,13,+1,True
184,71,,,,False
185,71,5,13,+1,True
186,72,,,,False
187,72,,,,False
188,72,5,13,+1,True
189,73,,,,False
190,73,5,13,+1,True
191,73,5,13,+1,True
192,74,,,,False
193,74,5,13,+1,True
194,75,,,,False
195,75,,,,False
196,75,5,13,+1,True
197,76,,,,False
198,76,5,13,+1,True
199,77,,,,False
200,77,,,,False
201,77,5,13,+1,True
202,78,,,,False
203,78,5,13,+1,True
204,78,5,13,+1,True
205,79,,,,False
206,79,5,13,+1,True
207,80,,,,False
208,80,,,,False
209,80,5,13,+1,True
210,81,,,,False
211,81,5,13,+1,True
212,81,5,13,+1,True
213,82,,,,False
214,82,5,13,+1,True
215,83,,,,False
216,83,5,13,+1,True
217,83,5,13,+1,True
218,84,,,,False
219,84,5,13,+1,True
220,85,,,,False
221,85,,,,False
222,85,5,13,+1,True
223,86,,,,False
224,86,5,13,+1,True
225,86,5,13,+1,True
226,87,,,,False
227,87,5,13,+1,True
228,88,,,,False
229,88,5,13,+1,True
230,88,5,13,+1,True
231,89,,,,False
232,89,5,13,+1,True
233,89,5,13,+1,True
234,90,,,,False
235,90,5,13,+1,True
236,91,,,,False
237,91,5,13,+1,True
238,91,5,13,+1,True
239,92,,,,False
240,92,5,13,+1,True
241,93,,,,False
242,93,5,13,+1,True
243,93,5,13,+1,True
244,94,,,,False
245,94,5,13,+1,True
246,94,5,13,+1,True
247,95,,,,False
248,95,5,13,+1,True
249,96,,,,False
250,96,5,13,+1,True
251,96,5,13,+1,True
252,97,,,,False
253,97,5,13,+1,True
254,98,,,,False
255,98,5,13,+1,True
256,98,5,13,+1,True
257,99,,,,False
258,99,5,13,+1,True
259,99,5,13,+1,True
260,100,,,,False
261,100,5,13,+1,True
262,101,,,,False
263,101,5,13,+1,True
264,101,5,13,+1,True
265,102,,,,False
266,102,5,13,+1,True
267,102,5,13,+1,True
268,103,5,13,+1,True
269,103,5,13,+1,True
270,104,,,,False
271,104,5,13,+1,True
272,104,5,13,+1,True
273,105,,,,False
274,105,5,13,+1,True
275,106,,,,False
276,106,5,13,+1,True
277,106,5,13,+1,True
278,107,,,,False
279,107,5,13,+1,True
280,107,5,13,+1,True
281,108,5,13,+1,True
282,108,5,13,+1,True
283,109,,,,False
284,109,5,13,+1,True
285,109,5,13,+1,True
286,110,,,,False
287,110,5,13,+1,True
288,111,,,,False
289,111,5,13,+1,True
290,111,5,13,+1,True
291,112,,,,False
292,112,5,13,+1,True
293,112,5,13,+1,True
294,113,5,13,+1,True
295,113,5,13,+1,True
296,114,,,,False
297,114,5,13,+1,True
298,114,5,13,+1,True
299,115,,,,False
300,115,5,13,+1,True
