m,L,owner_p,owner_q,owner_sign,matched
2,1,,,,False
3,1,,,,False
4,2,,,,False
5,2,,,,False
6,2,,,,False
7,2,1,3,+1,True
8,3,,,,False
9,3,,,,False
10,3,1,3,+1,True
11,3,1,3,+1,True
12,4,,,,False
13,4,1,3,+1,True
14,4,1,3,+1,True
15,5,,,,False
16,5,1,3,+1,True
17,5,1,3,+1,True
18,5,1,3,+1,True
19,6,1,3,+1,True
20,6,1,3,+1,True
21,6,1,3,+1,True
22,6,,,,False
23,7,1,3,+1,True
24,7,1,3,+1,True
25,7,,,,False
26,7,3,11,+1,True
27,8,1,3,+1,True
28,8,,,,False
29,8,,,,False
30,9,1,3,+1,True
31,9,,,,False
32,9,,,,False
33,9,,,,False
34,10,,,,False
35,10,,,,False
36,10,,,,False
37,10,3,11,+1,True
38,11,,,,False
39,11,,,,False
40,11,,,,False
41,11,3,11,+1,True
42,12,,,,False
43,12,,,,False
44,12,,,,False
45,13,,,,False
46,13,,,,False
47,13,,,,False
48,13,3,11,+1,True
49,14,,,,False
50,14,,,,False
51,14,,,,False
52,14,3,11,+1,True
53,15,,,,False
54,15,,,,False
55,15,,,,False
56,16,,,,False
57,16,,,,False
58,16,,,,False
59,16,3,11,+1,True
60,17,,,,False
61,17,,,,False
62,17,,,,False
63,17,3,11,+1,True
64,18,,,,False
65,18,,,,False
66,18,,,,False
67,18,3,11,+1,True
68,19,,,,False
69,19,,,,False
70,19,3,11,+1,True
71,20,,,,False
72,20,,,,False
73,20,,,,False
74,20,3,11,+1,True
75,21,,,,False
76,21,,,,False
77,21,,,,False
78,21,3,11,+1,True
79,22,,,,False
80,22,,,,False
81,22,3,11,+1,True
82,22,3,11,+1,True
83,23,,,,False
84,23,,,,False
85,23,3,11,+1,True
86,24,,,,False
87,24,,,,False
88,24,,,,False
89,24,3,11,+1,True
90,25,,,,False
91,25,,,,False
92,25,3,11,+1,True
93,25,3,11,+1,True
94,26,,,,False
95,26,,,,False
96,26,3,11,+1,True
97,26,3,11,+1,True
98,27,,,,False
99,27,,,,False
100,27,3,11,+1,True
101,28,,,,False
102,28,,,,False
103,28,3,11,+1,True
104,28,3,11,+1,True
105,29,,,,False
106,29,,,,False
107,29,3,11,+1,True
108,29,3,11,+1,True
109,30,,,,False
110,30,,,,False
111,30,3,11,+1,True
112,31,,,,False
113,31,,,,False
114,31,3,11,+1,True
115,31,3,11,+1,True
116,32,,,,False
117,32,,,,False
118,32,3,11,+1,True
119,32,3,11,+1,True
120,33,,,,False
121,33,,,,False
122,33,3,11,+1,True
123,33,3,11,+1,True
124,34,,,,False
125,34,3,11,+1,True
126,34,3,11,+1,True
127,35,,,,False
128,35,,,,False
129,35,3,11,+1,True
130,35,3,11,+1,True
131,36,,,,False
132,36,,,,False
133,36,3,11,+1,True
134,36,3,11,+1,True
135,37,,,,False
136,37,3,11,+1,True
137,37,3,11,+1,True
138,37,3,11,+1,True
139,38,,,,False
140,38,3,11,+1,True
141,38,3,11,+1,True
142,39,,,,False
143,39,,,,False
144,39,3,11,+1,True
145,39,3,11,+1,True
146,40,,,,False
147,40,3,11,+1,True
148,40,3,11,+1,True
149,40,3,11,+1,True
150,41,,,,False
151,41,3,11,+1,True
152,41,3,11,+1,True
153,41,3,11,+1,True
154,42,,,,False
155,42,3,11,+1,True
156,42,3,11,+1,True
157,43,,,,False
158,43,3,11,+1,True
159,43,3,11,+1,True
160,43,3,11,+1,True
161,44,,,,False
162,44,3,11,+1,True
163,44,3,11,+1,True
164,44,3,11,+1,True
165,45,,,,False
166,45,3,11,+1,True
167,45,3,11,+1,True
168,46,,,,False
169,46,3,11,+1,True
170,46,3,11,+1,True
171,46,3,11,+1,True
172,47,,,,False
173,47,3,11,+1,True
174,47,3,11,+1,True
175,47,3,11,+1,True
176,48,,,,False
177,48,3,11,+1,True
178,48,3,11,+1,True
179,48,3,11,+1,True
180,49,3,11,+1,True
181,49,3,11,+1,True
182,49,3,11,+1,True
183,50,,,,False
184,50,3,11,+1,True
185,50,3,11,+1,True
186,50,3,11,+1,True
187,51,,,,False
188,51,3,11,+1,True
189,51,3,11,+1,True
190,51,3,11,+1,True
191,52,3,11,+1,True
192,52,3,11,+1,True
193,52,3,11,+1,True
194,52,3,11,+1,True
195,53,3,11,+1,True
196,53,3,11,+1,True
197,53,3,11,+1,True
198,54,,,,False
199,54,3,11,+1,True
200,54,3,11,+1,True
201,54,3,11,+1,True
202,55,3,11,+1,True
203,55,3,11,+1,True
204,55,3,11,+1,True
205,55,3,11,+1,True
206,56,3,11,+1,True
207,56,3,11,+1,True
208,56,3,11,+1,True
209,57,,,,False
210,57,3,11,+1,True
211,57,3,11,+1,True
212,57,3,11,+1,True
213,58,3,11,+1,True
214,58,3,11,+1,True
215,58,3,11,+1,True
216,58,3,11,+1,True
217,59,3,11,+1,True
218,59,3,11,+1,True
219,59,3,11,+1,True
220,59,3,11,+1,True
221,60,3,11,+1,True
222,60,3,11,+1,True
223,60,3,11,+1,True
224,61,3,11,+1,True
225,61,3,11,+1,True
226,61,3,11,+1,True
227,61,3,11,+1,True
228,62,3,11,+1,True
229,62,3,11,+1,True
230,62,3,11,+1,True
231,62,3,11,+1,True
232,63,3,11,+1,True
233,63,3,11,+1,True
234,63,3,11,+1,True
235,63,11,41,+1,True
236,64,3,11,+1,True
237,64,3,11,+1,True
238,64,3,11,+1,True
239,65,3,11,+1,True
240,65,3,11,+1,True
241,65,3,11,+1,True
242,65,3,11,+1,True
243,66,3,11,+1,True
244,66,3,11,+1,True
245,66,3,11,+1,True
246,66,,,,False
247,67,3,11,+1,True
248,67,3,11,+1,True
249,67,3,11,+1,True
250,67,11,41,+1,True
251,68,3,11,+1,True
252,68,3,11,+1,True
253,68,3,11,+1,True
254,69,3,11,+1,True
255,69,3,11,+1,True
256,69,3,11,+1,True
257,69,,,,False
258,70,3,11,+1,True
259,70,3,11,+1,True
260,70,3,11,+1,True
261,70,11,41,+1,True
262,71,3,11,+1,True
263,71,3,11,+1,True
264,71,3,11,+1,True
265,72,3,11,+1,True
266,72,3,11,+1,True
267,72,3,11,+1,True
268,72,,,,False
