alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree,direction
"{1,2,3}",2,13,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",2,23,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",2,32,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",2,33,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",3,123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",3,132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",3,213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",3,223,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,232,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,233,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,313,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,322,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,323,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,332,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",3,333,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,1113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1223,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1232,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1313,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1322,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,1331,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,2123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,2132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,2213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",4,2223,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2232,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2233,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2313,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2322,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2323,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2332,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,2333,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,3113,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",4,3123,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
