t,length,min_cost,a_seq,touched_early
1,1,6,8,False
1,2,1,"4,1",False
1,3,1,"4,1,2",True
1,4,1,"4,1,2,2",True
1,5,1,"4,1,2,2,2",True
1,6,1,"4,1,2,2,2,2",True
1,7,1,"4,1,2,2,2,2,2",True
1,8,1,"4,1,2,2,2,2,2,2",True
1,9,1,"4,1,2,2,2,2,2,2,2",True
1,10,1,"4,1,2,2,2,2,2,2,2,2",True
2,1,18,20,False
2,2,13,"16,1",False
2,3,10,"4,11,1",False
2,4,10,"4,11,1,2",True
2,5,10,"4,11,1,2,2",True
2,6,10,"4,11,1,2,2,2",True
2,7,10,"4,11,1,2,2,2,2",True
2,8,10,"4,11,1,2,2,2,2,2",True
2,9,10,"4,11,1,2,2,2,2,2,2",True
2,10,10,"4,11,1,2,2,2,2,2,2,2",True
3,1,54,56,False
3,2,13,"16,1",False
3,3,13,"16,1,2",True
3,4,7,"10,1,3,1",False
3,5,7,"10,1,3,1,2",True
3,6,2,"4,3,2,1,3,1",False
3,7,2,"4,3,2,1,3,1,2",True
3,8,2,"4,3,2,1,3,1,2,2",True
3,9,2,"4,3,2,1,3,1,2,2,2",True
3,10,2,"4,3,2,1,3,1,2,2,2,2",True
4,1,,,
4,2,42,"38,8",False
4,3,17,"10,5,8",False
4,4,17,"10,5,8,2",True
4,5,12,"4,3,2,5,8",False
4,6,5,"4,5,1,1,5,1",False
4,7,5,"4,5,1,1,5,1,2",True
4,8,5,"4,5,1,1,5,1,2,2",True
4,9,5,"4,5,1,1,5,1,2,2,2",True
4,10,5,"4,5,1,1,5,1,2,2,2,2",True
5,1,,,
5,2,84,"74,14",False
5,3,34,"8,18,14",False
5,4,18,"14,6,5,1",False
5,5,18,"14,6,5,1,2",True
5,6,5,"4,5,1,1,5,1",False
5,7,5,"4,5,1,1,5,1,2",True
5,8,5,"4,5,1,1,5,1,2,2",True
5,9,5,"4,5,1,1,5,1,2,2,2",True
5,10,5,"4,5,1,1,5,1,2,2,2,2",True
6,1,,,
6,2,,,
6,3,42,"28,7,13",False
6,4,30,"4,27,6,1",False
6,5,28,"4,5,7,9,13",False
6,6,19,"4,3,2,5,4,13",False
6,7,19,"4,3,2,5,4,13,2",True
6,8,19,"4,5,1,1,3,4,16,1",False
6,9,16,"4,5,7,1,2,1,6,7,1",False
6,10,16,"4,5,7,1,2,1,6,7,1,2",True
7,1,,,
7,2,,,
7,3,52,"16,3,39",False
7,4,43,"4,11,27,9",False
7,5,23,"8,2,11,3,9",False
7,6,23,"4,15,10,3,2,1",False
7,7,20,"20,4,1,1,5,2,1",False
7,8,12,"4,5,1,7,5,2,3,1",False
7,9,7,"4,3,2,1,3,3,5,3,1",False
7,10,7,"4,3,2,1,3,3,5,3,1,2",True
8,1,,,
8,2,,,
8,3,114,"22,77,21",False
8,4,47,"16,19,14,6",False
8,5,26,"4,5,7,3,17",False
8,6,19,"4,5,5,4,12,1",False
8,7,19,"4,5,5,4,12,1,2",True
8,8,19,"4,5,5,4,12,1,2,2",True
8,9,19,"4,5,5,4,12,1,2,2,2",True
8,10,19,"4,5,5,4,12,1,2,2,2,2",True
9,1,,,
9,2,,,
9,3,61,"10,35,22",False
9,4,53,"16,13,10,22",False
9,5,23,"10,1,13,2,7",False
9,6,19,"4,5,5,4,12,1",False
9,7,19,"4,5,5,4,12,1,2",True
9,8,19,"4,5,5,4,12,1,2,2",True
9,9,19,"4,5,5,4,12,1,2,2,2",True
9,10,19,"4,5,5,4,12,1,2,2,2,2",True
10,1,,,
10,2,,,
10,3,109,"44,26,45",False
10,4,95,"68,6,15,14",False
10,5,60,"14,6,9,28,13",False
10,6,33,"4,9,4,20,7,1",False
10,7,29,"4,3,2,7,5,21,1",False
10,8,27,"4,3,8,3,9,8,7,1",False
10,9,27,"4,3,8,3,9,8,7,1,2",True
10,10,27,"4,3,8,3,9,8,7,1,2,2",True
