family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,entry_len,entry_cost,ray_cost,entry_precision_note
golden-per8,2,27,1,0,0,True,+1,0,0,0,
golden-per8,2,27,2,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,2,27,4,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,2,27,5,1,1,True,+1,1,1,0,
golden-per8,2,27,7,2,2,True,+1,1,2,0,
golden-per8,2,27,8,0,0,True,+1,2,0,0,
golden-per8,2,81,1,0,0,True,+1,0,0,0,
golden-per8,2,81,2,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,2,81,4,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,2,81,5,1,1,True,+1,1,1,0,
golden-per8,2,81,7,2,2,True,+1,1,2,0,
golden-per8,2,81,8,0,0,True,+1,2,0,0,
golden-per8,3,27,1,1,1,True,+1,0,0,1,
golden-per8,3,27,2,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,27,4,2,2,True,+1,2,1,1,
golden-per8,3,27,5,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,27,7,3,3,True,+1,1,2,1,
golden-per8,3,27,8,1,1,True,+1,2,0,1,
golden-per8,3,27,10,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,27,11,1,2,False,+1,2,1,1,
golden-per8,3,27,13,0,0,True,+1,3,0,0,
golden-per8,3,27,14,2,2,True,+1,1,1,1,
golden-per8,3,27,16,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,27,17,0,0,True,+1,3,0,0,
golden-per8,3,27,19,2,3,False,+1,2,2,1,
golden-per8,3,27,20,0,0,True,+1,3,0,0,
golden-per8,3,27,22,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,27,23,3,4,False,+1,2,3,1,
golden-per8,3,27,25,4,5,False,+1,2,4,1,
golden-per8,3,27,26,0,0,True,-1,0,0,0,
golden-per8,3,81,1,1,1,True,+1,0,0,1,
golden-per8,3,81,2,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,81,4,2,2,True,+1,2,1,1,
golden-per8,3,81,5,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,81,7,3,3,True,+1,1,2,1,
golden-per8,3,81,8,1,1,True,+1,2,0,1,
golden-per8,3,81,10,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,81,11,1,2,False,+1,2,1,1,
golden-per8,3,81,13,0,0,True,+1,3,0,0,
golden-per8,3,81,14,2,2,True,+1,1,1,1,
golden-per8,3,81,16,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,81,17,0,0,True,+1,3,0,0,
golden-per8,3,81,19,2,3,False,+1,2,2,1,
golden-per8,3,81,20,0,0,True,+1,3,0,0,
golden-per8,3,81,22,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,3,81,23,3,4,False,+1,2,3,1,
golden-per8,3,81,25,4,5,False,+1,2,4,1,
golden-per8,3,81,26,0,0,True,-1,0,0,0,
golden-per8,4,27,1,1,1,True,+1,0,0,1,
golden-per8,4,27,2,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,4,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,5,1,1,True,+1,4,1,0,
golden-per8,4,27,7,3,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,8,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,10,0,0,True,+1,4,0,0,
golden-per8,4,27,11,1,2,False,+1,2,1,1,
golden-per8,4,27,13,0,0,True,+1,4,0,0,
golden-per8,4,27,14,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,16,4,3,False,+1,3,3,0,
golden-per8,4,27,17,0,0,True,+1,3,0,0,
golden-per8,4,27,19,2,2,True,+1,4,2,0,
golden-per8,4,27,20,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,22,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,27,23,3,4,False,+1,2,3,1,
golden-per8,4,27,25,4,4,True,+1,4,4,0,
golden-per8,4,27,26,0,0,True,+1,4,0,0,
golden-per8,4,81,1,1,1,True,+1,0,0,1,
golden-per8,4,81,2,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,4,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,5,1,1,True,+1,4,1,0,
golden-per8,4,81,7,3,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,8,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,10,0,0,True,+1,4,0,0,
golden-per8,4,81,11,1,2,False,+1,2,1,1,
golden-per8,4,81,13,0,0,True,+1,4,0,0,
golden-per8,4,81,14,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,16,4,3,False,+1,3,3,0,
golden-per8,4,81,17,0,0,True,+1,3,0,0,
golden-per8,4,81,19,2,2,True,+1,4,2,0,
golden-per8,4,81,20,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,22,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,23,3,4,False,+1,2,3,1,
golden-per8,4,81,25,4,4,True,+1,4,4,0,
golden-per8,4,81,26,0,0,True,+1,4,0,0,
golden-per8,4,81,28,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,29,1,1,True,+1,3,1,0,
golden-per8,4,81,31,2,2,True,+1,2,1,1,
golden-per8,4,81,32,3,2,False,+1,3,2,0,
golden-per8,4,81,34,4,4,True,+1,3,4,0,
golden-per8,4,81,35,2,2,True,+1,3,2,0,
golden-per8,4,81,37,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,38,1,1,True,+1,4,1,0,
golden-per8,4,81,40,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,41,2,2,True,+1,1,1,1,
golden-per8,4,81,43,2,2,True,+1,4,2,0,
golden-per8,4,81,44,0,0,True,+1,4,0,0,
golden-per8,4,81,46,2,3,False,+1,2,2,1,
golden-per8,4,81,47,1,0,False,+1,3,0,0,
golden-per8,4,81,49,1,1,True,+1,3,1,0,
golden-per8,4,81,50,3,3,True,+1,4,3,0,
golden-per8,4,81,52,4,5,False,+1,2,4,1,
golden-per8,4,81,53,0,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,55,2,2,True,+1,3,2,0,
golden-per8,4,81,56,0,0,True,+1,4,0,0,
golden-per8,4,81,58,3,3,True,+1,3,3,0,
golden-per8,4,81,59,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,61,3,3,True,+1,1,2,1,
golden-per8,4,81,62,1,1,True,+1,2,0,1,
golden-per8,4,81,64,2,1,False,+1,3,1,0,
golden-per8,4,81,65,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,67,1,0,False,+1,3,0,0,
golden-per8,4,81,68,3,3,True,+1,3,3,0,
golden-per8,4,81,70,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,71,0,0,True,+1,4,0,0,
golden-per8,4,81,73,3,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,74,0,0,True,+1,4,0,0,
golden-per8,4,81,76,0,0,True,+1,4,0,0,
golden-per8,4,81,77,4,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,79,5,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,4,81,80,0,0,True,+1,4,0,0,
golden-per8,5,27,1,2,2,True,+1,0,0,2,
golden-per8,5,27,2,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,27,4,2,1,False,+1,5,1,0,
golden-per8,5,27,5,1,1,True,+1,5,1,0,
golden-per8,5,27,7,3,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,27,8,1,0,False,+1,5,0,0,
golden-per8,5,27,10,0,0,True,+1,5,0,0,
golden-per8,5,27,11,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,27,13,1,1,True,+1,4,0,1,
golden-per8,5,27,14,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,27,16,4,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,27,17,1,1,True,+1,3,0,1,
golden-per8,5,27,19,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,27,20,0,0,True,+1,5,0,0,
golden-per8,5,27,22,2,2,True,+1,4,1,1,
golden-per8,5,27,23,4,5,False,+1,2,3,2,
golden-per8,5,27,25,5,5,True,+1,4,4,1,
golden-per8,5,27,26,0,0,True,+1,5,0,0,
golden-per8,5,81,1,2,2,True,+1,0,0,2,
golden-per8,5,81,2,1,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,81,4,2,1,False,+1,5,1,0,
golden-per8,5,81,5,1,1,True,+1,5,1,0,
golden-per8,5,81,7,3,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,81,8,1,0,False,+1,5,0,0,
golden-per8,5,81,10,0,0,True,+1,5,0,0,
golden-per8,5,81,11,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,81,13,1,1,True,+1,4,0,1,
golden-per8,5,81,14,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,81,16,4,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,81,17,1,1,True,+1,3,0,1,
golden-per8,5,81,19,2,,NO_MODEL_WITHIN_SCOPE,,,,,
golden-per8,5,81,20,0,0,True,+1,5,0,0,
golden-per8,5,81,22,2,2,True,+1,4,1,1,
golden-per8,5,81,23,4,5,False,+1,2,3,2,
golden-per8,5,81,25,5,5,True,+1,4,4,1,
