family,m,target_r,D_actual,model_prediction,best_ray,entry_len,entry_cost,ray_cost,candidates
golden-per8,3,11,1,2,+1,2,1,1,"[('+1', 2, 1, 1, 2)]"
golden-per8,3,19,2,3,+1,2,2,1,"[('+1', 2, 2, 1, 3)]"
golden-per8,3,23,3,4,+1,2,3,1,"[('+1', 2, 3, 1, 4)]"
golden-per8,3,25,4,5,+1,2,4,1,"[('+1', 2, 4, 1, 5)]"
golden-per8,3,11,1,2,+1,2,1,1,"[('+1', 2, 1, 1, 2)]"
golden-per8,3,19,2,3,+1,2,2,1,"[('+1', 2, 2, 1, 3)]"
golden-per8,3,23,3,4,+1,2,3,1,"[('+1', 2, 3, 1, 4)]"
golden-per8,3,25,4,5,+1,2,4,1,"[('+1', 2, 4, 1, 5)]"
golden-per8,4,11,1,2,+1,2,1,1,"[('+1', 2, 1, 1, 2)]"
golden-per8,4,16,4,3,+1,3,3,0,"[('+1', 3, 3, 0, 3)]"
golden-per8,4,23,3,4,+1,2,3,1,"[('+1', 2, 3, 1, 4)]"
golden-per8,4,11,1,2,+1,2,1,1,"[('+1', 2, 1, 1, 2)]"
golden-per8,4,16,4,3,+1,3,3,0,"[('+1', 3, 3, 0, 3)]"
golden-per8,4,23,3,4,+1,2,3,1,"[('+1', 2, 3, 1, 4)]"
golden-per8,4,32,3,2,+1,3,2,0,"[('+1', 3, 2, 0, 2)]"
golden-per8,4,46,2,3,+1,2,2,1,"[('+1', 2, 2, 1, 3)]"
golden-per8,4,47,1,0,+1,3,0,0,"[('+1', 3, 0, 0, 0)]"
golden-per8,4,52,4,5,+1,2,4,1,"[('+1', 2, 4, 1, 5)]"
golden-per8,4,64,2,1,+1,3,1,0,"[('+1', 3, 1, 0, 1)]"
golden-per8,4,67,1,0,+1,3,0,0,"[('+1', 3, 0, 0, 0)]"
golden-per8,5,4,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
golden-per8,5,8,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
golden-per8,5,23,4,5,+1,2,3,2,"[('+1', 2, 3, 2, 5)]"
golden-per8,5,4,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
golden-per8,5,8,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
golden-per8,5,23,4,5,+1,2,3,2,"[('+1', 2, 3, 2, 5)]"
golden-per8,5,43,4,3,+1,4,2,1,"[('+1', 4, 2, 1, 3)]"
golden-per8,5,46,3,4,+1,2,2,2,"[('+1', 2, 2, 2, 4)]"
golden-per8,5,65,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
golden-per8,5,77,4,3,+1,5,3,0,"[('+1', 5, 3, 0, 3)]"
golden-per8,6,1,2,0,-1,6,0,0,"[('+1', 0, 0, 2, 2), ('-1', 6, 0, 0, 0)]"
golden-per8,6,2,1,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,4,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,5,2,0,-1,6,0,0,"[('+1', 5, 1, 0, 1), ('-1', 6, 0, 0, 0)]"
golden-per8,6,7,4,2,-1,6,2,0,"[('+1', 5, 3, 0, 3), ('-1', 6, 2, 0, 2)]"
golden-per8,6,8,1,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
golden-per8,6,10,1,-1,-1,6,-1,0,"[('+1', 5, 0, 0, 0), ('-1', 6, -1, 0, -1)]"
golden-per8,6,11,2,0,-1,6,0,0,"[('+1', 6, 2, 0, 2), ('-1', 6, 0, 0, 0)]"
golden-per8,6,13,1,-1,-1,6,-1,0,"[('+1', 4, 0, 1, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,14,3,1,-1,6,1,0,"[('+1', 5, 2, 0, 2), ('-1', 6, 1, 0, 1)]"
golden-per8,6,16,6,3,-1,6,3,0,"[('+1', 5, 4, 0, 4), ('-1', 6, 3, 0, 3)]"
golden-per8,6,17,2,-1,-1,6,-1,0,"[('+1', 5, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,19,3,0,-1,6,0,0,"[('+1', 6, 3, 0, 3), ('-1', 6, 0, 0, 0)]"
golden-per8,6,20,0,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
golden-per8,6,22,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,23,4,2,-1,6,2,0,"[('+1', 2, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
golden-per8,6,25,5,3,-1,6,3,0,"[('+1', 4, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,6,26,0,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
golden-per8,6,1,2,0,-1,6,0,0,"[('+1', 0, 0, 2, 2), ('-1', 6, 0, 0, 0)]"
golden-per8,6,2,1,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,4,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,5,2,0,-1,6,0,0,"[('+1', 5, 1, 0, 1), ('-1', 6, 0, 0, 0)]"
golden-per8,6,7,4,2,-1,6,2,0,"[('+1', 5, 3, 0, 3), ('-1', 6, 2, 0, 2)]"
golden-per8,6,8,1,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
golden-per8,6,10,1,-1,-1,6,-1,0,"[('+1', 5, 0, 0, 0), ('-1', 6, -1, 0, -1)]"
golden-per8,6,11,2,0,-1,6,0,0,"[('+1', 6, 2, 0, 2), ('-1', 6, 0, 0, 0)]"
golden-per8,6,13,1,-1,-1,6,-1,0,"[('+1', 4, 0, 1, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,14,3,1,-1,6,1,0,"[('+1', 5, 2, 0, 2), ('-1', 6, 1, 0, 1)]"
golden-per8,6,16,6,3,-1,6,3,0,"[('+1', 5, 4, 0, 4), ('-1', 6, 3, 0, 3)]"
golden-per8,6,17,2,-1,-1,6,-1,0,"[('+1', 5, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
golden-per8,6,19,3,0,-1,6,0,0,"[('+1', 6, 3, 0, 3), ('-1', 6, 0, 0, 0)]"
golden-per8,6,20,0,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
golden-per8,6,22,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
