alphabet,m,word,D_ceil,L,min_g_loop
"{1,2,3}",2,23,1,0,-1
"{1,2,3}",2,31,1,0,-1
"{1,2,3}",2,32,1,0,-1
"{1,2,3}",2,33,1,0,-2
"{1,2,3}",3,223,1,0,-1
"{1,2,3}",3,231,1,0,-1
"{1,2,3}",3,232,1,0,-1
"{1,2,3}",3,233,1,0,-2
"{1,2,3}",3,311,4,1,-1
"{1,2,3}",3,312,3,0,-1
"{1,2,3}",3,313,3,0,-1
"{1,2,3}",3,321,3,0,-1
"{1,2,3}",3,322,2,0,-1
"{1,2,3}",3,323,2,0,-2
"{1,2,3}",3,331,2,0,-2
"{1,2,3}",3,332,1,0,-2
"{1,2,3}",3,333,1,0,-3
"{1,2,3}",4,2223,1,0,-1
"{1,2,3}",4,2231,1,0,-1
"{1,2,3}",4,2232,1,0,-1
"{1,2,3}",4,2233,1,0,-2
"{1,2,3}",4,2311,3,1,-1
"{1,2,3}",4,2312,3,0,-1
"{1,2,3}",4,2313,3,0,-1
"{1,2,3}",4,2321,2,0,-1
"{1,2,3}",4,2322,2,0,-1
"{1,2,3}",4,2323,2,0,-2
"{1,2,3}",4,2331,2,0,-2
"{1,2,3}",4,2332,1,0,-2
"{1,2,3}",4,2333,1,0,-3
"{1,2,3}",4,3111,4,2,-1
"{1,2,3}",4,3112,4,1,-1
"{1,2,3}",4,3113,4,1,-1
"{1,2,3}",4,3121,3,1,-1
"{1,2,3}",4,3122,3,0,-1
"{1,2,3}",4,3123,3,0,-1
"{1,2,3}",4,3131,3,0,-1
"{1,2,3}",4,3132,3,0,-1
"{1,2,3}",4,3133,3,0,-2
"{1,2,3}",4,3211,3,1,-1
"{1,2,3}",4,3212,3,0,-1
"{1,2,3}",4,3213,3,0,-1
"{1,2,3}",4,3221,2,0,-1
"{1,2,3}",4,3222,2,0,-1
"{1,2,3}",4,3223,2,0,-2
"{1,2,3}",4,3231,2,0,-2
"{1,2,3}",4,3232,2,0,-2
"{1,2,3}",4,3233,2,0,-3
"{1,2,3}",4,3311,2,0,-2
"{1,2,3}",4,3312,2,0,-2
"{1,2,3}",4,3313,2,0,-2
"{1,2,3}",4,3321,1,0,-2
"{1,2,3}",4,3322,1,0,-2
"{1,2,3}",4,3323,1,0,-3
"{1,2,3}",4,3331,1,0,-3
"{1,2,3}",4,3332,1,0,-3
"{1,2,3}",4,3333,1,0,-4
"{1,2,3}",5,13311,3,1,-1
"{1,2,3}",5,13312,3,1,-1
"{1,2,3}",5,13313,3,1,-1
"{1,2,3}",5,13321,2,1,-1
"{1,2,3}",5,13322,2,1,-1
"{1,2,3}",5,13323,2,1,-2
"{1,2,3}",5,13331,2,1,-2
"{1,2,3}",5,22223,1,0,-1
"{1,2,3}",5,22231,1,0,-1
"{1,2,3}",5,22232,1,0,-1
"{1,2,3}",5,22233,1,0,-2
"{1,2,3}",5,22311,3,1,-1
"{1,2,3}",5,22312,3,0,-1
"{1,2,3}",5,22313,3,0,-1
"{1,2,3}",5,22321,2,0,-1
"{1,2,3}",5,22322,2,0,-1
"{1,2,3}",5,22323,2,0,-2
"{1,2,3}",5,22331,2,0,-2
"{1,2,3}",5,22332,1,0,-2
"{1,2,3}",5,22333,1,0,-3
"{1,2,3}",5,23111,3,2,-1
"{1,2,3}",5,23112,3,1,-1
"{1,2,3}",5,23113,3,1,-1
"{1,2,3}",5,23121,3,1,-1
"{1,2,3}",5,23122,3,0,-1
"{1,2,3}",5,23123,3,0,-1
"{1,2,3}",5,23131,3,0,-1
"{1,2,3}",5,23132,3,0,-1
"{1,2,3}",5,23133,3,0,-2
"{1,2,3}",5,23211,2,1,-1
"{1,2,3}",5,23212,2,0,-1
"{1,2,3}",5,23213,2,0,-1
"{1,2,3}",5,23221,2,0,-1
"{1,2,3}",5,23222,2,0,-1
"{1,2,3}",5,23223,2,0,-2
"{1,2,3}",5,23231,2,0,-2
"{1,2,3}",5,23232,2,0,-2
"{1,2,3}",5,23233,2,0,-3
"{1,2,3}",5,23311,2,0,-2
"{1,2,3}",5,23312,2,0,-2
"{1,2,3}",5,23313,2,0,-2
"{1,2,3}",5,23321,1,0,-2
"{1,2,3}",5,23322,1,0,-2
"{1,2,3}",5,23323,1,0,-3
"{1,2,3}",5,23331,1,0,-3
"{1,2,3}",5,23332,1,0,-3
"{1,2,3}",5,23333,1,0,-4
"{1,2,3}",5,31111,4,3,-1
