alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break
"{1,2,3}",2,23,0,0,False,-1,True
"{1,2,3}",2,31,0,0,False,-1,True
"{1,2,3}",2,32,0,0,False,-1,True
"{1,2,3}",2,33,0,0,False,-2,True
"{1,2,3}",3,133,1,1,False,-1,True
"{1,2,3}",3,223,0,0,False,-1,True
"{1,2,3}",3,231,0,0,False,-1,True
"{1,2,3}",3,232,0,0,False,-1,True
"{1,2,3}",3,233,0,0,False,-2,True
"{1,2,3}",3,311,1,1,False,-1,True
"{1,2,3}",3,312,0,0,False,-1,True
"{1,2,3}",3,313,0,0,False,-1,True
"{1,2,3}",3,321,0,0,False,-1,True
"{1,2,3}",3,322,0,0,False,-1,True
"{1,2,3}",3,323,0,0,False,-2,True
"{1,2,3}",3,331,0,0,False,-2,True
"{1,2,3}",3,332,0,0,False,-2,True
"{1,2,3}",3,333,0,0,False,-3,True
"{1,2,3}",4,1233,1,1,False,-1,True
"{1,2,3}",4,1323,1,1,False,-1,True
"{1,2,3}",4,1331,1,1,False,-1,True
"{1,2,3}",4,1332,1,1,False,-1,True
"{1,2,3}",4,1333,1,1,False,-2,True
"{1,2,3}",4,2133,1,1,False,-1,True
"{1,2,3}",4,2223,0,0,False,-1,True
"{1,2,3}",4,2231,0,0,False,-1,True
"{1,2,3}",4,2232,0,0,False,-1,True
"{1,2,3}",4,2233,0,0,False,-2,True
"{1,2,3}",4,2311,1,1,False,-1,True
"{1,2,3}",4,2312,0,0,False,-1,True
"{1,2,3}",4,2313,0,0,False,-1,True
"{1,2,3}",4,2321,0,0,False,-1,True
"{1,2,3}",4,2322,0,0,False,-1,True
"{1,2,3}",4,2323,0,0,False,-2,True
"{1,2,3}",4,2331,0,0,False,-2,True
"{1,2,3}",4,2332,0,0,False,-2,True
"{1,2,3}",4,2333,0,0,False,-3,True
"{1,2,3}",4,3111,2,2,False,-1,True
"{1,2,3}",4,3112,1,1,False,-1,True
"{1,2,3}",4,3113,1,1,False,-1,True
"{1,2,3}",4,3121,1,1,False,-1,True
"{1,2,3}",4,3122,0,0,False,-1,True
"{1,2,3}",4,3123,0,0,False,-1,True
"{1,2,3}",4,3131,0,0,False,-1,True
"{1,2,3}",4,3132,0,0,False,-1,True
"{1,2,3}",4,3133,0,0,False,-2,True
"{1,2,3}",4,3211,1,1,False,-1,True
"{1,2,3}",4,3212,0,0,False,-1,True
"{1,2,3}",4,3213,0,0,False,-1,True
"{1,2,3}",4,3221,0,0,False,-1,True
"{1,2,3}",4,3222,0,0,False,-1,True
"{1,2,3}",4,3223,0,0,False,-2,True
"{1,2,3}",4,3231,0,0,False,-2,True
"{1,2,3}",4,3232,0,0,False,-2,True
"{1,2,3}",4,3233,0,0,False,-3,True
"{1,2,3}",4,3311,0,0,False,-2,True
"{1,2,3}",4,3312,0,0,False,-2,True
"{1,2,3}",4,3313,0,0,False,-2,True
"{1,2,3}",4,3321,0,0,False,-2,True
"{1,2,3}",4,3322,0,0,False,-2,True
"{1,2,3}",4,3323,0,0,False,-3,True
"{1,2,3}",4,3331,0,0,False,-3,True
"{1,2,3}",4,3332,0,0,False,-3,True
"{1,2,3}",4,3333,0,0,False,-4,True
"{1,2,3}",5,11333,2,2,False,-1,True
"{1,2,3}",5,12233,1,1,False,-1,True
"{1,2,3}",5,12323,1,1,False,-1,True
"{1,2,3}",5,12331,1,1,False,-1,True
"{1,2,3}",5,12332,1,1,False,-1,True
"{1,2,3}",5,12333,1,1,False,-2,True
"{1,2,3}",5,13133,1,1,False,-1,True
"{1,2,3}",5,13223,1,1,False,-1,True
"{1,2,3}",5,13231,1,1,False,-1,True
"{1,2,3}",5,13232,1,1,False,-1,True
"{1,2,3}",5,13233,1,1,False,-2,True
"{1,2,3}",5,13311,1,1,False,-1,True
"{1,2,3}",5,13312,1,1,False,-1,True
"{1,2,3}",5,13313,1,1,False,-1,True
"{1,2,3}",5,13321,1,1,False,-1,True
"{1,2,3}",5,13322,1,1,False,-1,True
"{1,2,3}",5,13323,1,1,False,-2,True
"{1,2,3}",5,13331,1,1,False,-2,True
"{1,2,3}",5,13332,1,1,False,-2,True
"{1,2,3}",5,13333,1,1,False,-3,True
"{1,2,3}",5,21233,1,1,False,-1,True
"{1,2,3}",5,21323,1,1,False,-1,True
"{1,2,3}",5,21331,1,1,False,-1,True
"{1,2,3}",5,21332,1,1,False,-1,True
"{1,2,3}",5,21333,1,1,False,-2,True
"{1,2,3}",5,22133,1,1,False,-1,True
"{1,2,3}",5,22223,0,0,False,-1,True
"{1,2,3}",5,22231,0,0,False,-1,True
"{1,2,3}",5,22232,0,0,False,-1,True
"{1,2,3}",5,22233,0,0,False,-2,True
"{1,2,3}",5,22311,1,1,False,-1,True
"{1,2,3}",5,22312,0,0,False,-1,True
"{1,2,3}",5,22313,0,0,False,-1,True
"{1,2,3}",5,22321,0,0,False,-1,True
"{1,2,3}",5,22322,0,0,False,-1,True
"{1,2,3}",5,22323,0,0,False,-2,True
"{1,2,3}",5,22331,0,0,False,-2,True
"{1,2,3}",5,22332,0,0,False,-2,True
"{1,2,3}",5,22333,0,0,False,-3,True
"{1,2,3}",5,23111,2,2,False,-1,True
"{1,2,3}",5,23112,1,1,False,-1,True
"{1,2,3}",5,23113,1,1,False,-1,True
"{1,2,3}",5,23121,1,1,False,-1,True
"{1,2,3}",5,23122,0,0,False,-1,True
"{1,2,3}",5,23123,0,0,False,-1,True
"{1,2,3}",5,23131,0,0,False,-1,True
"{1,2,3}",5,23132,0,0,False,-1,True
"{1,2,3}",5,23133,0,0,False,-2,True
"{1,2,3}",5,23211,1,1,False,-1,True
"{1,2,3}",5,23212,0,0,False,-1,True
"{1,2,3}",5,23213,0,0,False,-1,True
"{1,2,3}",5,23221,0,0,False,-1,True
"{1,2,3}",5,23222,0,0,False,-1,True
"{1,2,3}",5,23223,0,0,False,-2,True
"{1,2,3}",5,23231,0,0,False,-2,True
"{1,2,3}",5,23232,0,0,False,-2,True
"{1,2,3}",5,23233,0,0,False,-3,True
"{1,2,3}",5,23311,0,0,False,-2,True
"{1,2,3}",5,23312,0,0,False,-2,True
"{1,2,3}",5,23313,0,0,False,-2,True
"{1,2,3}",5,23321,0,0,False,-2,True
"{1,2,3}",5,23322,0,0,False,-2,True
"{1,2,3}",5,23323,0,0,False,-3,True
"{1,2,3}",5,23331,0,0,False,-3,True
"{1,2,3}",5,23332,0,0,False,-3,True
"{1,2,3}",5,23333,0,0,False,-4,True
"{1,2,3}",5,31111,3,3,False,-1,True
"{1,2,3}",5,31112,2,2,False,-1,True
"{1,2,3}",5,31113,2,2,False,-1,True
"{1,2,3}",5,31121,2,2,False,-1,True
"{1,2,3}",5,31122,1,1,False,-1,True
"{1,2,3}",5,31123,1,1,False,-1,True
"{1,2,3}",5,31131,1,1,False,-1,True
"{1,2,3}",5,31132,1,1,False,-1,True
"{1,2,3}",5,31133,1,1,False,-1,True
"{1,2,3}",5,31211,2,2,False,-1,True
"{1,2,3}",5,31212,1,1,False,-1,True
"{1,2,3}",5,31213,1,1,False,-1,True
"{1,2,3}",5,31221,1,1,False,-1,True
"{1,2,3}",5,31222,0,0,False,-1,True
"{1,2,3}",5,31223,0,0,False,-1,True
"{1,2,3}",5,31231,0,0,False,-1,True
"{1,2,3}",5,31232,0,0,False,-1,True
"{1,2,3}",5,31233,0,0,False,-2,True
"{1,2,3}",5,31311,1,1,False,-1,True
"{1,2,3}",5,31312,0,0,False,-1,True
"{1,2,3}",5,31313,0,0,False,-1,True
"{1,2,3}",5,31321,0,0,False,-1,True
"{1,2,3}",5,31322,0,0,False,-1,True
"{1,2,3}",5,31323,0,0,False,-2,True
"{1,2,3}",5,31331,0,0,False,-2,True
"{1,2,3}",5,31332,0,0,False,-2,True
"{1,2,3}",5,31333,0,0,False,-3,True
"{1,2,3}",5,32111,2,2,False,-1,True
"{1,2,3}",5,32112,1,1,False,-1,True
"{1,2,3}",5,32113,1,1,False,-1,True
"{1,2,3}",5,32121,1,1,False,-1,True
"{1,2,3}",5,32122,0,0,False,-1,True
"{1,2,3}",5,32123,0,0,False,-1,True
"{1,2,3}",5,32131,0,0,False,-1,True
"{1,2,3}",5,32132,0,0,False,-1,True
"{1,2,3}",5,32133,0,0,False,-2,True
"{1,2,3}",5,32211,1,1,False,-1,True
"{1,2,3}",5,32212,0,0,False,-1,True
"{1,2,3}",5,32213,0,0,False,-1,True
"{1,2,3}",5,32221,0,0,False,-1,True
"{1,2,3}",5,32222,0,0,False,-1,True
"{1,2,3}",5,32223,0,0,False,-2,True
"{1,2,3}",5,32231,0,0,False,-2,True
"{1,2,3}",5,32232,0,0,False,-2,True
"{1,2,3}",5,32233,0,0,False,-3,True
"{1,2,3}",5,32311,0,0,False,-2,True
"{1,2,3}",5,32312,0,0,False,-2,True
"{1,2,3}",5,32313,0,0,False,-2,True
"{1,2,3}",5,32321,0,0,False,-2,True
"{1,2,3}",5,32322,0,0,False,-2,True
"{1,2,3}",5,32323,0,0,False,-3,True
"{1,2,3}",5,32331,0,0,False,-3,True
