alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree
"{1,2,3}",2,11,2,2,False,0,False,True
"{1,2,3}",2,12,1,1,False,0,False,True
"{1,2,3}",2,13,1,1,False,0,False,True
"{1,2,3}",2,21,1,1,False,0,False,True
"{1,2,3}",2,22,0,0,False,0,False,True
"{1,2,3}",2,23,0,0,False,-1,True,False
"{1,2,3}",2,31,0,0,False,-1,True,False
"{1,2,3}",2,32,0,0,False,-1,True,False
"{1,2,3}",2,33,0,0,False,-2,True,False
"{1,2,3}",3,111,3,3,False,0,False,True
"{1,2,3}",3,112,2,2,False,0,False,True
"{1,2,3}",3,113,2,2,False,0,False,True
"{1,2,3}",3,121,2,2,False,0,False,True
"{1,2,3}",3,122,1,1,False,0,False,True
"{1,2,3}",3,123,1,1,False,0,False,True
"{1,2,3}",3,131,1,1,False,0,False,True
"{1,2,3}",3,132,1,1,False,0,False,True
"{1,2,3}",3,133,1,1,False,-1,True,False
"{1,2,3}",3,211,2,2,False,0,False,True
"{1,2,3}",3,212,1,1,False,0,False,True
"{1,2,3}",3,213,1,1,False,0,False,True
"{1,2,3}",3,221,1,1,False,0,False,True
"{1,2,3}",3,222,0,0,False,0,False,True
"{1,2,3}",3,223,0,0,False,-1,True,False
"{1,2,3}",3,231,0,0,False,-1,True,False
"{1,2,3}",3,232,0,0,False,-1,True,False
"{1,2,3}",3,233,0,0,False,-2,True,False
"{1,2,3}",3,311,1,1,False,-1,True,False
"{1,2,3}",3,312,0,0,False,-1,True,False
"{1,2,3}",3,313,0,0,False,-1,True,False
"{1,2,3}",3,321,0,0,False,-1,True,False
"{1,2,3}",3,322,0,0,False,-1,True,False
"{1,2,3}",3,323,0,0,False,-2,True,False
"{1,2,3}",3,331,0,0,False,-2,True,False
"{1,2,3}",3,332,0,0,False,-2,True,False
"{1,2,3}",3,333,0,0,False,-3,True,False
"{1,2,3}",4,1111,4,4,False,0,False,True
"{1,2,3}",4,1112,3,3,False,0,False,True
"{1,2,3}",4,1113,3,3,False,0,False,True
"{1,2,3}",4,1121,3,3,False,0,False,True
"{1,2,3}",4,1122,2,2,False,0,False,True
"{1,2,3}",4,1123,2,2,False,0,False,True
"{1,2,3}",4,1131,2,2,False,0,False,True
"{1,2,3}",4,1132,2,2,False,0,False,True
"{1,2,3}",4,1133,2,2,False,0,False,True
"{1,2,3}",4,1211,3,3,False,0,False,True
"{1,2,3}",4,1212,2,2,False,0,False,True
"{1,2,3}",4,1213,2,2,False,0,False,True
"{1,2,3}",4,1221,2,2,False,0,False,True
"{1,2,3}",4,1222,1,1,False,0,False,True
"{1,2,3}",4,1223,1,1,False,0,False,True
"{1,2,3}",4,1231,1,1,False,0,False,True
"{1,2,3}",4,1232,1,1,False,0,False,True
"{1,2,3}",4,1233,1,1,False,-1,True,False
"{1,2,3}",4,1311,2,2,False,0,False,True
"{1,2,3}",4,1312,1,1,False,0,False,True
"{1,2,3}",4,1313,1,1,False,0,False,True
"{1,2,3}",4,1321,1,1,False,0,False,True
"{1,2,3}",4,1322,1,1,False,0,False,True
"{1,2,3}",4,1323,1,1,False,-1,True,False
"{1,2,3}",4,1331,1,1,False,-1,True,False
"{1,2,3}",4,1332,1,1,False,-1,True,False
"{1,2,3}",4,1333,1,1,False,-2,True,False
"{1,2,3}",4,2111,3,3,False,0,False,True
"{1,2,3}",4,2112,2,2,False,0,False,True
"{1,2,3}",4,2113,2,2,False,0,False,True
"{1,2,3}",4,2121,2,2,False,0,False,True
"{1,2,3}",4,2122,1,1,False,0,False,True
"{1,2,3}",4,2123,1,1,False,0,False,True
"{1,2,3}",4,2131,1,1,False,0,False,True
"{1,2,3}",4,2132,1,1,False,0,False,True
"{1,2,3}",4,2133,1,1,False,-1,True,False
"{1,2,3}",4,2211,2,2,False,0,False,True
"{1,2,3}",4,2212,1,1,False,0,False,True
"{1,2,3}",4,2213,1,1,False,0,False,True
"{1,2,3}",4,2221,1,1,False,0,False,True
"{1,2,3}",4,2222,0,0,False,0,False,True
"{1,2,3}",4,2223,0,0,False,-1,True,False
"{1,2,3}",4,2231,0,0,False,-1,True,False
"{1,2,3}",4,2232,0,0,False,-1,True,False
"{1,2,3}",4,2233,0,0,False,-2,True,False
"{1,2,3}",4,2311,1,1,False,-1,True,False
"{1,2,3}",4,2312,0,0,False,-1,True,False
"{1,2,3}",4,2313,0,0,False,-1,True,False
"{1,2,3}",4,2321,0,0,False,-1,True,False
"{1,2,3}",4,2322,0,0,False,-1,True,False
"{1,2,3}",4,2323,0,0,False,-2,True,False
"{1,2,3}",4,2331,0,0,False,-2,True,False
"{1,2,3}",4,2332,0,0,False,-2,True,False
"{1,2,3}",4,2333,0,0,False,-3,True,False
"{1,2,3}",4,3111,2,2,False,-1,True,False
"{1,2,3}",4,3112,1,1,False,-1,True,False
"{1,2,3}",4,3113,1,1,False,-1,True,False
"{1,2,3}",4,3121,1,1,False,-1,True,False
"{1,2,3}",4,3122,0,0,False,-1,True,False
"{1,2,3}",4,3123,0,0,False,-1,True,False
"{1,2,3}",4,3131,0,0,False,-1,True,False
"{1,2,3}",4,3132,0,0,False,-1,True,False
"{1,2,3}",4,3133,0,0,False,-2,True,False
"{1,2,3}",4,3211,1,1,False,-1,True,False
"{1,2,3}",4,3212,0,0,False,-1,True,False
"{1,2,3}",4,3213,0,0,False,-1,True,False
"{1,2,3}",4,3221,0,0,False,-1,True,False
"{1,2,3}",4,3222,0,0,False,-1,True,False
"{1,2,3}",4,3223,0,0,False,-2,True,False
"{1,2,3}",4,3231,0,0,False,-2,True,False
"{1,2,3}",4,3232,0,0,False,-2,True,False
"{1,2,3}",4,3233,0,0,False,-3,True,False
"{1,2,3}",4,3311,0,0,False,-2,True,False
"{1,2,3}",4,3312,0,0,False,-2,True,False
"{1,2,3}",4,3313,0,0,False,-2,True,False
"{1,2,3}",4,3321,0,0,False,-2,True,False
"{1,2,3}",4,3322,0,0,False,-2,True,False
"{1,2,3}",4,3323,0,0,False,-3,True,False
"{1,2,3}",4,3331,0,0,False,-3,True,False
"{1,2,3}",4,3332,0,0,False,-3,True,False
"{1,2,3}",4,3333,0,0,False,-4,True,False
"{1,2,3}",5,11111,5,5,False,0,False,True
"{1,2,3}",5,11112,4,4,False,0,False,True
"{1,2,3}",5,11113,4,4,False,0,False,True
"{1,2,3}",5,11121,4,4,False,0,False,True
"{1,2,3}",5,11122,3,3,False,0,False,True
"{1,2,3}",5,11123,3,3,False,0,False,True
"{1,2,3}",5,11131,3,3,False,0,False,True
"{1,2,3}",5,11132,3,3,False,0,False,True
"{1,2,3}",5,11133,3,3,False,0,False,True
"{1,2,3}",5,11211,4,4,False,0,False,True
"{1,2,3}",5,11212,3,3,False,0,False,True
"{1,2,3}",5,11213,3,3,False,0,False,True
"{1,2,3}",5,11221,3,3,False,0,False,True
"{1,2,3}",5,11222,2,2,False,0,False,True
"{1,2,3}",5,11223,2,2,False,0,False,True
"{1,2,3}",5,11231,2,2,False,0,False,True
"{1,2,3}",5,11232,2,2,False,0,False,True
"{1,2,3}",5,11233,2,2,False,0,False,True
"{1,2,3}",5,11311,3,3,False,0,False,True
"{1,2,3}",5,11312,2,2,False,0,False,True
"{1,2,3}",5,11313,2,2,False,0,False,True
"{1,2,3}",5,11321,2,2,False,0,False,True
"{1,2,3}",5,11322,2,2,False,0,False,True
"{1,2,3}",5,11323,2,2,False,0,False,True
"{1,2,3}",5,11331,2,2,False,0,False,True
"{1,2,3}",5,11332,2,2,False,0,False,True
"{1,2,3}",5,11333,2,2,False,-1,True,False
"{1,2,3}",5,12111,4,4,False,0,False,True
"{1,2,3}",5,12112,3,3,False,0,False,True
"{1,2,3}",5,12113,3,3,False,0,False,True
"{1,2,3}",5,12121,3,3,False,0,False,True
"{1,2,3}",5,12122,2,2,False,0,False,True
"{1,2,3}",5,12123,2,2,False,0,False,True
"{1,2,3}",5,12131,2,2,False,0,False,True
"{1,2,3}",5,12132,2,2,False,0,False,True
"{1,2,3}",5,12133,2,2,False,0,False,True
"{1,2,3}",5,12211,3,3,False,0,False,True
"{1,2,3}",5,12212,2,2,False,0,False,True
"{1,2,3}",5,12213,2,2,False,0,False,True
"{1,2,3}",5,12221,2,2,False,0,False,True
"{1,2,3}",5,12222,1,1,False,0,False,True
"{1,2,3}",5,12223,1,1,False,0,False,True
"{1,2,3}",5,12231,1,1,False,0,False,True
"{1,2,3}",5,12232,1,1,False,0,False,True
"{1,2,3}",5,12233,1,1,False,-1,True,False
"{1,2,3}",5,12311,2,2,False,0,False,True
"{1,2,3}",5,12312,1,1,False,0,False,True
"{1,2,3}",5,12313,1,1,False,0,False,True
"{1,2,3}",5,12321,1,1,False,0,False,True
"{1,2,3}",5,12322,1,1,False,0,False,True
"{1,2,3}",5,12323,1,1,False,-1,True,False
"{1,2,3}",5,12331,1,1,False,-1,True,False
"{1,2,3}",5,12332,1,1,False,-1,True,False
"{1,2,3}",5,12333,1,1,False,-2,True,False
"{1,2,3}",5,13111,3,3,False,0,False,True
"{1,2,3}",5,13112,2,2,False,0,False,True
"{1,2,3}",5,13113,2,2,False,0,False,True
"{1,2,3}",5,13121,2,2,False,0,False,True
"{1,2,3}",5,13122,1,1,False,0,False,True
"{1,2,3}",5,13123,1,1,False,0,False,True
"{1,2,3}",5,13131,1,1,False,0,False,True
"{1,2,3}",5,13132,1,1,False,0,False,True
"{1,2,3}",5,13133,1,1,False,-1,True,False
"{1,2,3}",5,13211,2,2,False,0,False,True
"{1,2,3}",5,13212,1,1,False,0,False,True
"{1,2,3}",5,13213,1,1,False,0,False,True
"{1,2,3}",5,13221,1,1,False,0,False,True
"{1,2,3}",5,13222,1,1,False,0,False,True
"{1,2,3}",5,13223,1,1,False,-1,True,False
"{1,2,3}",5,13231,1,1,False,-1,True,False
"{1,2,3}",5,13232,1,1,False,-1,True,False
"{1,2,3}",5,13233,1,1,False,-2,True,False
"{1,2,3}",5,13311,1,1,False,-1,True,False
"{1,2,3}",5,13312,1,1,False,-1,True,False
"{1,2,3}",5,13313,1,1,False,-1,True,False
"{1,2,3}",5,13321,1,1,False,-1,True,False
"{1,2,3}",5,13322,1,1,False,-1,True,False
"{1,2,3}",5,13323,1,1,False,-2,True,False
"{1,2,3}",5,13331,1,1,False,-2,True,False
"{1,2,3}",5,13332,1,1,False,-2,True,False
"{1,2,3}",5,13333,1,1,False,-3,True,False
"{1,2,3}",5,21111,4,4,False,0,False,True
"{1,2,3}",5,21112,3,3,False,0,False,True
"{1,2,3}",5,21113,3,3,False,0,False,True
"{1,2,3}",5,21121,3,3,False,0,False,True
"{1,2,3}",5,21122,2,2,False,0,False,True
"{1,2,3}",5,21123,2,2,False,0,False,True
"{1,2,3}",5,21131,2,2,False,0,False,True
"{1,2,3}",5,21132,2,2,False,0,False,True
"{1,2,3}",5,21133,2,2,False,0,False,True
"{1,2,3}",5,21211,3,3,False,0,False,True
"{1,2,3}",5,21212,2,2,False,0,False,True
"{1,2,3}",5,21213,2,2,False,0,False,True
"{1,2,3}",5,21221,2,2,False,0,False,True
"{1,2,3}",5,21222,1,1,False,0,False,True
"{1,2,3}",5,21223,1,1,False,0,False,True
"{1,2,3}",5,21231,1,1,False,0,False,True
"{1,2,3}",5,21232,1,1,False,0,False,True
"{1,2,3}",5,21233,1,1,False,-1,True,False
"{1,2,3}",5,21311,2,2,False,0,False,True
"{1,2,3}",5,21312,1,1,False,0,False,True
"{1,2,3}",5,21313,1,1,False,0,False,True
"{1,2,3}",5,21321,1,1,False,0,False,True
"{1,2,3}",5,21322,1,1,False,0,False,True
"{1,2,3}",5,21323,1,1,False,-1,True,False
"{1,2,3}",5,21331,1,1,False,-1,True,False
"{1,2,3}",5,21332,1,1,False,-1,True,False
"{1,2,3}",5,21333,1,1,False,-2,True,False
"{1,2,3}",5,22111,3,3,False,0,False,True
"{1,2,3}",5,22112,2,2,False,0,False,True
"{1,2,3}",5,22113,2,2,False,0,False,True
"{1,2,3}",5,22121,2,2,False,0,False,True
"{1,2,3}",5,22122,1,1,False,0,False,True
"{1,2,3}",5,22123,1,1,False,0,False,True
"{1,2,3}",5,22131,1,1,False,0,False,True
"{1,2,3}",5,22132,1,1,False,0,False,True
"{1,2,3}",5,22133,1,1,False,-1,True,False
"{1,2,3}",5,22211,2,2,False,0,False,True
"{1,2,3}",5,22212,1,1,False,0,False,True
"{1,2,3}",5,22213,1,1,False,0,False,True
"{1,2,3}",5,22221,1,1,False,0,False,True
"{1,2,3}",5,22222,0,0,False,0,False,True
"{1,2,3}",5,22223,0,0,False,-1,True,False
"{1,2,3}",5,22231,0,0,False,-1,True,False
"{1,2,3}",5,22232,0,0,False,-1,True,False
