t,min_cost,length,a_seq,touched_target_early
1,1,5,"4,3,2,1,1",True
2,2,6,"4,3,2,1,3,1",False
3,3,13,"4,3,2,1,1,4,2,2,1,6,1,1,1",False
4,5,6,"4,5,1,1,5,1",False
4,5,14,"10,1,1,4,2,3,1,1,1,2,2,3,1,1",False
5,7,9,"4,3,2,1,3,3,5,3,1",False
5,7,10,"4,3,2,1,3,3,5,3,1,2",True
6,7,9,"4,3,2,1,3,3,5,3,1",False
7,11,11,"8,2,5,1,3,5,2,1,2,3,1",False
8,12,11,"4,3,2,1,1,4,2,2,3,9,3",False
8,12,12,"4,3,2,1,1,4,2,2,3,9,3,2",True
9,12,11,"4,3,2,1,1,4,2,2,3,9,3",False
10,23,13,"4,5,1,5,2,13,2,1,3,4,1,7,1",False
10,23,14,"4,5,1,5,2,13,2,1,3,4,1,7,1,2",True
