t,d_max,T0,cap,exact_min_len_scoped,argmin_len,argmin_a_seq,witness_replay,verified_upper_beyond_scope,per_depth_min,wall
1,14,15,7,1,5,"4,3,2,1,1",True,,"{1: 6, 2: 3, 3: 6, 4: 6, 5: 1, 6: 2, 7: 2, 8: 3, 9: 2, 10: 3, 11: 2, 12: 3, 13: 2, 14: 2}",
2,14,16,8,2,6,"4,3,2,1,3,1",True,,"{1: 18, 2: 11, 3: 12, 4: 6, 5: 7, 6: 2, 7: 5, 8: 5, 9: 6, 10: 6, 11: 4, 12: 7, 13: 3, 14: 3}",
3,14,17,9,3,13,"4,3,2,1,1,4,2,2,1,6,1,1,1",True,,"{2: 21, 3: 14, 4: 12, 5: 11, 6: 5, 7: 5, 8: 8, 9: 7, 10: 6, 11: 7, 12: 7, 13: 3, 14: 5}",
4,14,18,11,5,6,"4,5,1,1,5,1",True,,"{2: 21, 4: 18, 5: 12, 6: 5, 7: 8, 8: 12, 9: 7, 10: 7, 11: 7, 12: 9, 13: 9, 14: 5}",
5,14,19,13,7,9,"4,3,2,1,3,3,5,3,1",True,,"{4: 18, 5: 18, 6: 19, 7: 16, 8: 14, 9: 7, 10: 7, 11: 9, 12: 9, 13: 9, 14: 9}",
6,13,19,13,7,9,"4,3,2,1,3,3,5,3,1",True,,"{4: 18, 6: 19, 7: 17, 8: 15, 9: 7, 10: 15, 11: 11, 12: 9, 13: 12}",
7,12,19,17,11,11,"8,2,5,1,3,5,2,1,2,3,1",True,,"{5: 23, 6: 19, 7: 19, 8: 15, 9: 16, 10: 15, 11: 11, 12: 12}",
8,11,19,18,12,11,"4,3,2,1,1,4,2,2,3,9,3",True,,"{6: 19, 8: 21, 9: 19, 10: 19, 11: 12}",
9,10,19,18,,,,,,{},
10,9,19,30,28,8,"10,11,2,3,1,5,3,9",True,,"{8: 28, 9: 29}",
11,8,19,30,29,8,"8,12,12,1,9,1,1,1",True,,{8: 29},
12,7,19,30,,,,,,{},
13,6,19,30,,,,,,{},
14,5,19,30,,,,,,{},
