family,m,D0,shapeA,pA,shapeB,pB,gap,taxA,taxB,tax_joint,delta,status
golden-per8,14,5,s1,0,s1,5,0,4,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s1,6,1,4,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s1,7,2,4,3,25,18,OK
golden-per8,14,5,s1,0,s1,8,3,4,2,17,11,OK
golden-per8,14,5,s1,0,s1,9,4,4,2,13,7,OK
golden-per8,14,5,s1,1,s1,6,0,3,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,1,s1,7,1,3,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,1,s1,8,2,3,2,26,21,OK
golden-per8,14,5,s1,1,s1,9,3,3,2,17,12,OK
golden-per8,14,5,s1,0,s2,5,0,4,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s2,6,1,4,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s2,7,2,4,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s2,8,3,4,3,18,11,OK
golden-per8,14,5,s1,1,s2,6,0,3,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,1,s2,7,1,3,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,1,s2,8,2,3,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s3,5,0,4,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s3,6,1,4,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s3,7,2,4,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,0,s3,8,3,4,6,21,11,OK
golden-per8,14,5,s1,1,s3,6,0,3,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,1,s3,7,1,3,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s1,1,s3,8,2,3,6,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s1,6,0,2,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s1,7,1,2,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s1,8,2,2,2,45,41,OK
golden-per8,14,5,s2,0,s1,9,3,2,2,42,38,OK
golden-per8,14,5,s2,1,s1,7,0,3,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,1,s1,8,1,3,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,1,s1,9,2,3,2,45,40,OK
golden-per8,14,5,s2,0,s2,6,0,2,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s2,7,1,2,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s2,8,2,2,3,46,41,OK
golden-per8,14,5,s2,1,s2,7,0,3,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,1,s2,8,1,3,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s3,6,0,2,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s3,7,1,2,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,0,s3,8,2,2,6,49,41,OK
golden-per8,14,5,s2,1,s3,7,0,3,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s2,1,s3,8,1,3,6,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s1,6,0,7,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s1,7,1,7,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s1,8,2,7,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s1,9,3,7,2,35,26,OK
golden-per8,14,5,s3,1,s1,7,0,6,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,1,s1,8,1,6,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,1,s1,9,2,6,2,52,44,OK
golden-per8,14,5,s3,0,s2,6,0,7,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s2,7,1,7,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s2,8,2,7,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,1,s2,7,0,6,2,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,1,s2,8,1,6,3,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s3,6,0,7,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s3,7,1,7,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,0,s3,8,2,7,6,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,1,s3,7,0,6,5,,,JOINT_INFEASIBLE
golden-per8,14,5,s3,1,s3,8,1,6,6,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s1,5,0,4,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s1,6,1,4,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s1,7,2,4,3,25,18,OK
golden-per8,15,5,s1,0,s1,8,3,4,3,18,11,OK
golden-per8,15,5,s1,0,s1,9,4,4,2,13,7,OK
golden-per8,15,5,s1,1,s1,6,0,4,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s1,7,1,4,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s1,8,2,4,3,26,19,OK
golden-per8,15,5,s1,1,s1,9,3,4,2,17,11,OK
golden-per8,15,5,s1,1,s1,10,4,4,3,14,7,OK
golden-per8,15,5,s1,0,s2,5,0,4,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s2,6,1,4,4,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s2,7,2,4,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s2,8,3,4,3,18,11,OK
golden-per8,15,5,s1,0,s2,9,4,4,3,18,11,OK
golden-per8,15,5,s1,1,s2,6,0,4,4,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s2,7,1,4,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s2,8,2,4,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s2,9,3,4,3,18,11,OK
golden-per8,15,5,s1,0,s3,5,0,4,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s3,6,1,4,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s3,7,2,4,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,0,s3,8,3,4,6,21,11,OK
golden-per8,15,5,s1,0,s3,9,4,4,6,21,11,OK
golden-per8,15,5,s1,1,s3,6,0,4,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s3,7,1,4,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s3,8,2,4,6,,,JOINT_INFEASIBLE
golden-per8,15,5,s1,1,s3,9,3,4,6,21,11,OK
golden-per8,15,5,s2,0,s1,6,0,2,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,0,s1,7,1,2,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,0,s1,8,2,2,3,46,41,OK
golden-per8,15,5,s2,0,s1,9,3,2,2,42,38,OK
golden-per8,15,5,s2,0,s1,10,4,2,3,25,20,OK
golden-per8,15,5,s2,1,s1,7,0,3,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,1,s1,8,1,3,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,1,s1,9,2,3,2,45,40,OK
golden-per8,15,5,s2,1,s1,10,3,3,3,43,37,OK
golden-per8,15,5,s2,0,s2,6,0,2,4,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,0,s2,7,1,2,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,0,s2,8,2,2,3,46,41,OK
golden-per8,15,5,s2,0,s2,9,3,2,3,43,38,OK
golden-per8,15,5,s2,1,s2,7,0,3,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,1,s2,8,1,3,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,1,s2,9,2,3,3,46,40,OK
golden-per8,15,5,s2,0,s3,6,0,2,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,0,s3,7,1,2,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,0,s3,8,2,2,6,49,41,OK
golden-per8,15,5,s2,0,s3,9,3,2,6,46,38,OK
golden-per8,15,5,s2,1,s3,7,0,3,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,1,s3,8,1,3,6,,,JOINT_INFEASIBLE
golden-per8,15,5,s2,1,s3,9,2,3,6,49,40,OK
golden-per8,15,5,s3,0,s1,6,0,8,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s1,7,1,8,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s1,8,2,8,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s1,9,3,8,2,35,25,OK
golden-per8,15,5,s3,0,s1,10,4,8,3,31,20,OK
golden-per8,15,5,s3,1,s1,7,0,7,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s1,8,1,7,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s1,9,2,7,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s1,10,3,7,3,36,26,OK
golden-per8,15,5,s3,0,s2,6,0,8,4,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s2,7,1,8,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s2,8,2,8,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s2,9,3,8,3,36,25,OK
golden-per8,15,5,s3,1,s2,7,0,7,2,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s2,8,1,7,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s2,9,2,7,3,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s3,6,0,8,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s3,7,1,8,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s3,8,2,8,6,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,0,s3,9,3,8,6,39,25,OK
golden-per8,15,5,s3,1,s3,7,0,7,5,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s3,8,1,7,6,,,JOINT_INFEASIBLE
golden-per8,15,5,s3,1,s3,9,2,7,6,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s1,5,0,3,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s1,6,1,3,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s1,7,2,3,2,24,19,OK
golden-per8,16,6,s1,0,s1,8,3,3,3,19,13,OK
golden-per8,16,6,s1,0,s1,9,4,3,3,12,6,OK
golden-per8,16,6,s1,1,s1,6,0,4,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s1,7,1,4,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s1,8,2,4,3,25,18,OK
golden-per8,16,6,s1,1,s1,9,3,4,3,18,11,OK
golden-per8,16,6,s1,1,s1,10,4,4,2,13,7,OK
golden-per8,16,6,s1,0,s2,5,0,3,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s2,6,1,3,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s2,7,2,3,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s2,8,3,3,2,17,12,OK
golden-per8,16,6,s1,0,s2,9,4,3,2,17,12,OK
golden-per8,16,6,s1,1,s2,6,0,4,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s2,7,1,4,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s2,8,2,4,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s2,9,3,4,2,17,11,OK
golden-per8,16,6,s1,1,s2,10,4,4,2,17,11,OK
golden-per8,16,6,s1,0,s3,5,0,3,6,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s3,6,1,3,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s3,7,2,3,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,0,s3,8,3,3,5,22,14,OK
golden-per8,16,6,s1,0,s3,9,4,3,5,46,38,OK
golden-per8,16,6,s1,1,s3,6,0,4,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s3,7,1,4,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s3,8,2,4,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s1,1,s3,9,3,4,5,20,11,OK
golden-per8,16,6,s1,1,s3,10,4,4,5,20,11,OK
golden-per8,16,6,s2,0,s1,6,0,3,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,0,s1,7,1,3,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,0,s1,8,2,3,3,47,41,OK
golden-per8,16,6,s2,0,s1,9,3,3,3,41,35,OK
golden-per8,16,6,s2,0,s1,10,4,3,2,33,28,OK
golden-per8,16,6,s2,1,s1,7,0,2,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,1,s1,8,1,2,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,1,s1,9,2,2,3,46,41,OK
golden-per8,16,6,s2,1,s1,10,3,2,2,42,38,OK
golden-per8,16,6,s2,1,s1,11,4,2,2,24,20,OK
golden-per8,16,6,s2,0,s2,6,0,3,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,0,s2,7,1,3,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,0,s2,8,2,3,2,45,40,OK
golden-per8,16,6,s2,0,s2,9,3,3,2,42,37,OK
golden-per8,16,6,s2,0,s2,10,4,3,2,33,28,OK
golden-per8,16,6,s2,1,s2,7,0,2,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,1,s2,8,1,2,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,1,s2,9,2,2,2,45,41,OK
golden-per8,16,6,s2,1,s2,10,3,2,2,42,38,OK
golden-per8,16,6,s2,0,s3,6,0,3,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,0,s3,7,1,3,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,0,s3,8,2,3,5,50,42,OK
golden-per8,16,6,s2,0,s3,9,3,3,5,45,37,OK
golden-per8,16,6,s2,0,s3,10,4,3,5,36,28,OK
golden-per8,16,6,s2,1,s3,7,0,2,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,1,s3,8,1,2,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s2,1,s3,9,2,2,5,48,41,OK
golden-per8,16,6,s2,1,s3,10,3,2,5,45,38,OK
golden-per8,16,6,s3,0,s1,6,0,7,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s1,7,1,7,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s1,8,2,7,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s1,9,3,7,3,34,24,OK
golden-per8,16,6,s3,0,s1,10,4,7,2,31,22,OK
golden-per8,16,6,s3,1,s1,7,0,7,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s1,8,1,7,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s1,9,2,7,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s1,10,3,7,2,35,26,OK
golden-per8,16,6,s3,1,s1,11,4,7,2,30,21,OK
golden-per8,16,6,s3,0,s2,6,0,7,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s2,7,1,7,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s2,8,2,7,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s2,9,3,7,2,76,67,OK
golden-per8,16,6,s3,0,s2,10,4,7,2,38,29,OK
golden-per8,16,6,s3,1,s2,7,0,7,3,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s2,8,1,7,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s2,9,2,7,2,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s2,10,3,7,2,35,26,OK
golden-per8,16,6,s3,0,s3,6,0,7,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s3,7,1,7,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s3,8,2,7,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,0,s3,9,3,7,5,38,26,OK
golden-per8,16,6,s3,0,s3,10,4,7,5,41,29,OK
golden-per8,16,6,s3,1,s3,7,0,7,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s3,8,1,7,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s3,9,2,7,5,,,JOINT_INFEASIBLE
golden-per8,16,6,s3,1,s3,10,3,7,5,38,26,OK
real-word,14,5,s1,0,s1,5,0,4,3,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s1,6,1,4,3,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s1,7,2,4,3,26,19,OK
real-word,14,5,s1,0,s1,8,3,4,2,17,11,OK
real-word,14,5,s1,0,s1,9,4,4,2,13,7,OK
real-word,14,5,s1,1,s1,6,0,3,3,,,JOINT_INFEASIBLE
real-word,14,5,s1,1,s1,7,1,3,3,,,JOINT_INFEASIBLE
real-word,14,5,s1,1,s1,8,2,3,2,26,21,OK
real-word,14,5,s1,1,s1,9,3,3,2,17,12,OK
real-word,14,5,s1,0,s2,5,0,4,3,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s2,6,1,4,2,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s2,7,2,4,2,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s2,8,3,4,3,18,11,OK
real-word,14,5,s1,1,s2,6,0,3,2,,,JOINT_INFEASIBLE
real-word,14,5,s1,1,s2,7,1,3,2,,,JOINT_INFEASIBLE
real-word,14,5,s1,1,s2,8,2,3,3,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s3,5,0,4,5,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s3,6,1,4,5,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s3,7,2,4,5,,,JOINT_INFEASIBLE
real-word,14,5,s1,0,s3,8,3,4,6,21,11,OK
real-word,14,5,s1,1,s3,6,0,3,5,,,JOINT_INFEASIBLE
real-word,14,5,s1,1,s3,7,1,3,5,,,JOINT_INFEASIBLE
real-word,14,5,s1,1,s3,8,2,3,6,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s1,6,0,2,3,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s1,7,1,2,3,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s1,8,2,2,2,45,41,OK
real-word,14,5,s2,0,s1,9,3,2,2,42,38,OK
real-word,14,5,s2,1,s1,7,0,3,3,,,JOINT_INFEASIBLE
real-word,14,5,s2,1,s1,8,1,3,2,,,JOINT_INFEASIBLE
real-word,14,5,s2,1,s1,9,2,3,2,45,40,OK
real-word,14,5,s2,0,s2,6,0,2,2,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s2,7,1,2,2,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s2,8,2,2,3,46,41,OK
real-word,14,5,s2,1,s2,7,0,3,2,,,JOINT_INFEASIBLE
real-word,14,5,s2,1,s2,8,1,3,3,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s3,6,0,2,5,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s3,7,1,2,5,,,JOINT_INFEASIBLE
real-word,14,5,s2,0,s3,8,2,2,6,49,41,OK
real-word,14,5,s2,1,s3,7,0,3,5,,,JOINT_INFEASIBLE
real-word,14,5,s2,1,s3,8,1,3,6,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s1,6,0,7,3,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s1,7,1,7,3,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s1,8,2,7,2,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s1,9,3,7,2,35,26,OK
real-word,14,5,s3,1,s1,7,0,6,3,,,JOINT_INFEASIBLE
real-word,14,5,s3,1,s1,8,1,6,2,,,JOINT_INFEASIBLE
real-word,14,5,s3,1,s1,9,2,6,2,52,44,OK
real-word,14,5,s3,0,s2,6,0,7,2,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s2,7,1,7,2,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s2,8,2,7,3,,,JOINT_INFEASIBLE
real-word,14,5,s3,1,s2,7,0,6,2,,,JOINT_INFEASIBLE
real-word,14,5,s3,1,s2,8,1,6,3,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s3,6,0,7,5,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s3,7,1,7,5,,,JOINT_INFEASIBLE
real-word,14,5,s3,0,s3,8,2,7,6,,,JOINT_INFEASIBLE
real-word,14,5,s3,1,s3,7,0,6,5,,,JOINT_INFEASIBLE
real-word,14,5,s3,1,s3,8,1,6,6,,,JOINT_INFEASIBLE
real-word,15,6,s1,0,s1,5,0,4,2,,,JOINT_INFEASIBLE
real-word,15,6,s1,0,s1,6,1,4,2,,,JOINT_INFEASIBLE
real-word,15,6,s1,0,s1,7,2,4,3,25,18,OK
real-word,15,6,s1,0,s1,8,3,4,3,18,11,OK
real-word,15,6,s1,0,s1,9,4,4,1,12,7,OK
