m,word_label,word,a_seq,L,slack_bound,k_star_1indexed,chain_max,rho_at_kstar,rho_mod3,rho_mod9,rho_mod27,left_loop_ray_exact,left_1ray_mod3_coarse,g_at_kstar,g_loop_at_kstar,diff_g_minus_gloop,residue_independent_check
4,random000,1211,"2,2,4,1",3,4,3,4,5,2,5,5,True,True,4,2,2,True
4,random002,2221,"2,2,4,1",1,2,3,2,5,2,5,5,True,True,2,0,2,True
4,random003,2211,"2,2,4,1",2,3,3,3,5,2,5,5,True,True,3,1,2,True
4,random007,1121,"2,2,4,1",3,4,3,4,5,2,5,5,True,True,4,2,2,True
4,random009,1221,"2,2,4,1",2,3,3,3,5,2,5,5,True,True,3,1,2,True
4,random010,1111,"2,2,4,1",4,5,3,5,5,2,5,5,True,True,5,3,2,True
4,random013,2111,"2,2,4,1",3,4,3,4,5,2,5,5,True,True,4,2,2,True
4,sqrt2-per12,2121,"2,2,4,1",2,3,3,3,5,2,5,5,True,True,3,1,2,True
5,golden-per8,22121,"2,2,2,4,1",2,3,4,3,5,2,5,5,True,True,3,1,2,True
5,random000,12121,"2,2,2,4,1",3,4,4,4,5,2,5,5,True,True,4,2,2,True
5,random002,22221,"2,2,2,4,1",1,2,4,2,5,2,5,5,True,True,2,0,2,True
5,random005,12221,"2,2,2,4,1",2,3,4,3,5,2,5,5,True,True,3,1,2,True
5,random007,11221,"2,2,2,4,1",3,4,4,4,5,2,5,5,True,True,4,2,2,True
5,random010,12111,"2,2,2,4,1",4,5,4,5,5,2,5,5,True,True,5,3,2,True
5,random010,12111,"4,3,2,1,1",4,5,3,5,17,2,8,17,True,True,5,2,3,True
5,random011,21121,"2,2,2,4,1",3,4,4,4,5,2,5,5,True,True,4,2,2,True
5,random012,11211,"2,2,2,4,1",4,5,4,5,5,2,5,5,True,True,5,3,2,True
5,random012,11211,"4,3,2,1,1",4,5,2,5,13,1,4,13,True,False,5,2,3,True
5,random014,22211,"2,2,2,4,1",2,3,4,3,5,2,5,5,True,True,3,1,2,True
5,random014,22211,"4,3,2,1,1",2,3,2,3,13,1,4,13,True,False,3,0,3,True
5,random018,11111,"2,2,2,4,1",5,6,4,6,5,2,5,5,True,True,6,4,2,True
5,random018,11111,"4,3,2,1,1",5,6,3,6,17,2,8,17,True,True,6,3,3,True
5,random019,12211,"2,2,2,4,1",3,4,4,4,5,2,5,5,True,True,4,2,2,True
5,random019,12211,"4,3,2,1,1",3,4,2,4,13,1,4,13,True,False,4,1,3,True
5,random020,22111,"2,2,2,4,1",3,4,4,4,5,2,5,5,True,True,4,2,2,True
5,random020,22111,"4,3,2,1,1",3,4,3,4,17,2,8,17,True,True,4,1,3,True
5,random021,11121,"2,2,2,4,1",4,5,4,5,5,2,5,5,True,True,5,3,2,True
5,random023,21111,"2,2,2,4,1",4,5,4,5,5,2,5,5,True,True,5,3,2,True
5,random023,21111,"4,3,2,1,1",4,5,3,5,17,2,8,17,True,True,5,2,3,True
5,random025,21221,"2,2,2,4,1",2,3,4,3,5,2,5,5,True,True,3,1,2,True
5,sqrt2-per12,21211,"2,2,2,4,1",3,4,4,4,5,2,5,5,True,True,4,2,2,True
5,sqrt2-per12,21211,"4,3,2,1,1",3,4,2,4,13,1,4,13,True,False,4,1,3,True
6,random000,212111,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random000,212111,"2,4,3,2,1,1",4,5,4,5,17,2,8,17,True,True,5,2,3,True
6,random000,212111,"4,3,2,1,1,2",4,5,6,5,9,0,0,9,True,True,5,4,1,True
6,random001,211121,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random001,211121,"4,3,2,1,1,2",4,5,3,5,17,2,8,17,True,True,5,2,3,True
6,random003,122211,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random003,122211,"2,4,3,2,1,1",3,4,3,4,13,1,4,13,True,False,4,1,3,True
6,random003,122211,"4,3,2,1,1,2",3,4,2,4,13,1,4,13,True,False,4,1,3,True
6,random005,222221,"2,2,2,2,4,1",1,2,5,2,5,2,5,5,True,True,2,0,2,True
6,random006,112211,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random006,112211,"2,4,3,2,1,1",4,5,3,5,13,1,4,13,True,False,5,2,3,True
6,random006,112211,"4,3,2,1,1,2",4,5,2,5,13,1,4,13,True,False,5,2,3,True
6,random008,221211,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random008,221211,"2,4,3,2,1,1",3,4,3,4,13,1,4,13,True,False,4,1,3,True
6,random008,221211,"4,3,2,1,1,2",3,4,3,4,17,2,8,17,True,True,4,1,3,True
6,random009,121221,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random011,212121,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random011,212121,"4,3,2,1,1,2",3,4,2,4,13,1,4,13,True,False,4,1,3,True
6,random012,121211,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random012,121211,"2,4,3,2,1,1",4,5,3,5,13,1,4,13,True,False,5,2,3,True
6,random012,121211,"4,3,2,1,1,2",4,5,3,5,17,2,8,17,True,True,5,2,3,True
6,random013,111121,"2,2,2,2,4,1",5,6,5,6,5,2,5,5,True,True,6,4,2,True
6,random013,111121,"4,3,2,1,1,2",5,6,3,6,17,2,8,17,True,True,6,3,3,True
6,random014,121121,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random014,121121,"4,3,2,1,1,2",4,5,3,5,17,2,8,17,True,True,5,2,3,True
6,random016,211111,"2,2,2,2,4,1",5,6,5,6,5,2,5,5,True,True,6,4,2,True
6,random016,211111,"2,4,3,2,1,1",5,6,4,6,17,2,8,17,True,True,6,3,3,True
6,random016,211111,"4,3,2,1,1,2",5,6,6,6,9,0,0,9,True,True,6,5,1,True
6,random018,211221,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random019,221111,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random019,221111,"2,4,3,2,1,1",4,5,4,5,17,2,8,17,True,True,5,2,3,True
6,random019,221111,"4,3,2,1,1,2",4,5,6,5,9,0,0,9,True,True,5,4,1,True
6,random020,222211,"2,2,2,2,4,1",2,3,5,3,5,2,5,5,True,True,3,1,2,True
6,random020,222211,"2,4,3,2,1,1",2,3,3,3,13,1,4,13,True,False,3,0,3,True
6,random020,222211,"4,3,2,1,1,2",2,3,2,3,13,1,4,13,True,False,3,0,3,True
6,random021,111111,"2,2,2,2,4,1",6,7,5,7,5,2,5,5,True,True,7,5,2,True
6,random021,111111,"2,4,3,2,1,1",6,7,4,7,17,2,8,17,True,True,7,4,3,True
6,random021,111111,"4,3,2,1,1,2",6,7,6,7,9,0,0,9,True,True,7,6,1,True
6,random022,211112,"4,3,2,1,1,2",4,5,3,5,17,2,8,17,True,True,5,2,3,True
6,random023,212221,"2,2,2,2,4,1",2,3,5,3,5,2,5,5,True,True,3,1,2,True
6,random024,222112,"4,3,2,1,1,2",2,3,2,3,13,1,4,13,True,False,3,0,3,True
6,random026,221112,"4,3,2,1,1,2",3,4,3,4,17,2,8,17,True,True,4,1,3,True
6,random027,112112,"4,3,2,1,1,2",4,5,2,5,13,1,4,13,True,False,5,2,3,True
6,random028,122112,"4,3,2,1,1,2",3,4,2,4,13,1,4,13,True,False,4,1,3,True
6,random029,121111,"2,2,2,2,4,1",5,6,5,6,5,2,5,5,True,True,6,4,2,True
6,random029,121111,"2,4,3,2,1,1",5,6,4,6,17,2,8,17,True,True,6,3,3,True
6,random029,121111,"4,3,2,1,1,2",5,6,6,6,9,0,0,9,True,True,6,5,1,True
6,random033,122221,"2,2,2,2,4,1",2,3,5,3,5,2,5,5,True,True,3,1,2,True
6,random034,211211,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random034,211211,"2,4,3,2,1,1",4,5,3,5,13,1,4,13,True,False,5,2,3,True
6,random034,211211,"4,3,2,1,1,2",4,5,3,5,17,2,8,17,True,True,5,2,3,True
6,random040,222121,"2,2,2,2,4,1",2,3,5,3,5,2,5,5,True,True,3,1,2,True
6,random040,222121,"4,3,2,1,1,2",2,3,2,3,13,1,4,13,True,False,3,0,3,True
6,random041,221221,"2,2,2,2,4,1",2,3,5,3,5,2,5,5,True,True,3,1,2,True
6,random042,112221,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random043,222111,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
6,random043,222111,"2,4,3,2,1,1",3,4,4,4,17,2,8,17,True,True,4,1,3,True
6,random043,222111,"4,3,2,1,1,2",3,4,6,4,9,0,0,9,True,True,4,3,1,True
6,random048,112121,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random048,112121,"4,3,2,1,1,2",4,5,2,5,13,1,4,13,True,False,5,2,3,True
6,random049,122111,"2,2,2,2,4,1",4,5,5,5,5,2,5,5,True,True,5,3,2,True
6,random049,122111,"2,4,3,2,1,1",4,5,4,5,17,2,8,17,True,True,5,2,3,True
6,random049,122111,"4,3,2,1,1,2",4,5,6,5,9,0,0,9,True,True,5,4,1,True
6,random050,111112,"4,3,2,1,1,2",5,6,3,6,17,2,8,17,True,True,6,3,3,True
6,random052,122121,"2,2,2,2,4,1",3,4,5,4,5,2,5,5,True,True,4,2,2,True
