m,word_label,word,L,slack_bound,n_chains_in_band,n_non_loop_chains
4,golden-per8,2212,1,2,1,0
4,random000,1211,3,4,2,1
4,random001,2122,1,2,1,0
4,random002,2221,1,2,2,1
4,random003,2211,2,3,2,1
4,random004,2222,0,1,1,0
4,random005,2112,2,3,1,0
4,random006,1212,2,3,1,0
4,random007,1121,3,4,2,1
4,random008,1222,1,2,1,0
4,random009,1221,2,3,2,1
4,random010,1111,4,5,2,1
4,random011,1112,3,4,1,0
4,random012,1122,2,3,1,0
4,random013,2111,3,4,2,1
4,sqrt2-per12,2121,2,3,2,1
5,golden-per8,22121,2,3,2,1
5,random000,12121,3,4,2,1
5,random001,22112,2,3,1,0
5,random002,22221,1,2,2,1
5,random003,11122,3,4,1,0
5,random004,11112,4,5,1,0
5,random005,12221,2,3,2,1
5,random006,12212,2,3,1,0
5,random007,11221,3,4,2,1
5,random008,11222,2,3,1,0
5,random009,22122,1,2,1,0
5,random010,12111,4,5,3,2
5,random011,21121,3,4,2,1
5,random012,11211,4,5,3,2
5,random013,21112,3,4,1,0
5,random014,22211,2,3,3,2
5,random015,21222,1,2,1,0
5,random016,12112,3,4,1,0
5,random017,12222,1,2,1,0
5,random018,11111,5,6,3,2
5,random019,12211,3,4,3,2
5,random020,22111,3,4,3,2
5,random021,11121,4,5,2,1
5,random022,12122,2,3,1,0
5,random023,21111,4,5,3,2
5,random024,21212,2,3,1,0
5,random025,21221,2,3,2,1
5,random026,11212,3,4,1,0
5,random027,22212,1,2,1,0
5,random028,21122,2,3,1,0
5,random029,22222,0,1,1,0
5,sqrt2-per12,21211,3,4,3,2
6,golden-per8,221212,2,3,1,0
6,random000,212111,4,5,4,3
6,random001,211121,4,5,3,2
6,random002,122122,2,3,1,0
6,random003,122211,3,4,4,3
6,random004,212212,2,3,1,0
6,random005,222221,1,2,2,1
6,random006,112211,4,5,4,3
6,random007,212222,1,2,1,0
6,random008,221211,3,4,4,3
6,random009,121221,3,4,2,1
6,random010,121122,3,4,1,0
6,random011,212121,3,4,3,2
6,random012,121211,4,5,4,3
6,random013,111121,5,6,3,2
6,random014,121121,4,5,3,2
6,random015,112212,3,4,1,0
6,random016,211111,5,6,4,3
6,random017,222212,1,2,1,0
6,random018,211221,3,4,2,1
6,random019,221111,4,5,4,3
6,random020,222211,2,3,4,3
6,random021,111111,6,7,4,3
6,random022,211112,4,5,2,1
6,random023,212221,2,3,2,1
6,random024,222112,2,3,2,1
6,random025,211222,2,3,1,0
6,random026,221112,3,4,2,1
6,random027,112112,4,5,2,1
6,random028,122112,3,4,2,1
6,random029,121111,5,6,4,3
6,random030,121222,2,3,1,0
6,random031,111222,3,4,1,0
6,random032,221122,2,3,1,0
6,random033,122221,2,3,2,1
6,random034,211211,4,5,4,3
6,random035,212122,2,3,1,0
6,random036,222122,1,2,1,0
6,random037,211122,3,4,1,0
6,random038,221222,1,2,1,0
6,random039,122212,2,3,1,0
6,random040,222121,2,3,3,2
6,random041,221221,2,3,2,1
6,random042,112221,3,4,2,1
6,random043,222111,3,4,4,3
6,random044,122222,1,2,1,0
6,random045,211212,3,4,1,0
6,random046,111122,4,5,1,0
6,random047,121212,3,4,1,0
6,random048,112121,4,5,3,2
6,random049,122111,4,5,4,3
6,random050,111112,5,6,2,1
6,random051,112222,2,3,1,0
6,random052,122121,3,4,3,2
6,random053,111212,4,5,1,0
6,random054,112111,5,6,4,3
6,random055,111211,5,6,4,3
6,random056,112122,3,4,1,0
6,random057,212211,3,4,4,3
6,random058,111221,4,5,2,1
6,random059,222222,0,1,1,0
6,random060,121112,4,5,2,1
6,random061,221121,3,4,3,2
6,sqrt2-per12,212112,3,4,2,1
7,golden-per8,2212122,2,3,1,0
7,random000,2221121,3,4,3,2
7,random001,1212221,3,4,2,1
7,random002,2122211,3,4,4,3
7,random003,2111222,3,4,1,0
7,random004,2212211,3,4,4,3
7,random005,2222212,1,2,1,0
7,random006,2121122,3,4,1,0
7,random007,2221222,1,2,1,0
7,random008,1121211,5,6,4,3
7,random009,2221122,2,3,1,0
7,random010,2111122,4,5,1,0
7,random011,1211111,6,7,4,3
7,random012,2112111,5,6,4,3
7,random013,1221212,3,4,1,0
7,random014,1122211,4,5,4,3
7,random015,1211221,4,5,2,1
7,random016,1122222,2,3,1,0
7,random017,2122121,3,4,3,2
7,random018,2111112,5,6,2,1
7,random019,2212222,1,2,1,0
7,random020,1212122,3,4,1,0
7,random021,1121212,4,5,1,0
7,random022,1111122,5,6,1,0
7,random023,2111221,4,5,2,1
7,random024,1221112,4,5,2,1
7,random025,1222221,2,3,2,1
7,random026,1211222,3,4,1,0
7,random027,1121111,6,7,4,3
7,random028,2121211,4,5,4,3
7,random029,2222122,1,2,1,0
7,random030,1122121,4,5,3,2
7,random031,1111112,6,7,2,1
7,random032,2121111,5,6,4,3
