word_label,m,L,band,departure_prefix,min_cost_floor,f_of_j
golden-per8,5,2,4,1,4,2
golden-per8,5,2,4,2,4,2
golden-per8,5,2,4,4,3,1
golden-per8,5,2,4,5,4,2
golden-per8,6,2,4,1,4,2
golden-per8,6,2,4,2,4,2
golden-per8,6,2,4,5,4,2
golden-per8,6,2,4,6,4,2
golden-per8,7,2,4,2,4,2
golden-per8,7,2,4,6,4,2
golden-per8,7,2,4,7,4,2
golden-per8,8,3,5,1,5,2
golden-per8,8,3,5,2,5,2
golden-per8,8,3,5,3,5,2
golden-per8,8,3,5,4,5,2
golden-per8,8,3,5,5,5,2
golden-per8,8,3,5,7,4,1
golden-per8,8,3,5,8,5,2
sqrt2-per12,5,3,5,1,4,1
sqrt2-per12,5,3,5,2,5,2
sqrt2-per12,5,3,5,4,4,1
sqrt2-per12,5,3,5,5,5,2
sqrt2-per12,6,3,5,1,4,1
sqrt2-per12,6,3,5,2,5,2
sqrt2-per12,6,3,5,5,5,2
sqrt2-per12,6,3,5,6,5,2
sqrt2-per12,7,4,6,1,6,2
sqrt2-per12,7,4,6,2,5,1
sqrt2-per12,7,4,6,3,6,2
sqrt2-per12,7,4,6,4,6,2
sqrt2-per12,7,4,6,6,5,1
sqrt2-per12,7,4,6,7,6,2
sqrt2-per12,8,4,6,1,6,2
sqrt2-per12,8,4,6,2,6,2
sqrt2-per12,8,4,6,3,6,2
sqrt2-per12,8,4,6,4,6,2
sqrt2-per12,8,4,6,7,6,2
sqrt2-per12,8,4,6,8,6,2
