m,word,L,k_star_1idx,slack_bound,n_chains_in_band,n_non_loop,n_violations,status
4,1111,4,4,7,7,6,0,OK
4,2111,3,4,6,7,6,0,OK
4,1211,3,4,6,7,6,0,OK
4,2211,2,4,5,7,6,0,OK
4,1121,3,4,6,6,5,0,OK
4,2121,2,4,5,6,5,0,OK
4,1221,2,4,5,6,5,0,OK
4,2221,1,4,4,6,5,0,OK
4,1112,3,3,6,6,5,0,OK
4,2112,2,3,5,6,5,0,OK
4,1212,2,3,5,6,5,0,OK
4,2212,1,3,4,6,5,0,OK
4,1122,2,2,5,6,5,0,OK
4,2122,1,2,4,6,5,0,OK
4,1222,1,1,4,6,5,0,OK
4,2222,0,1,3,6,5,0,OK
5,11111,5,5,8,10,9,0,OK
5,21111,4,5,7,10,9,0,OK
5,12111,4,5,7,10,9,0,OK
5,22111,3,5,6,10,9,0,OK
5,11211,4,5,7,10,9,0,OK
5,21211,3,5,6,10,9,0,OK
5,12211,3,5,6,10,9,0,OK
5,22211,2,5,5,10,9,0,OK
5,11121,4,5,7,9,8,0,OK
5,21121,3,5,6,9,8,0,OK
5,12121,3,5,6,9,8,0,OK
5,22121,2,5,5,9,8,0,OK
5,11221,3,5,6,8,7,0,OK
5,21221,2,5,5,8,7,0,OK
5,12221,2,5,5,8,7,0,OK
5,22221,1,5,4,8,7,0,OK
5,11112,4,4,7,9,8,0,OK
5,21112,3,4,6,9,8,0,OK
5,12112,3,4,6,9,8,0,OK
5,22112,2,4,5,9,8,0,OK
5,11212,3,4,6,8,7,0,OK
5,21212,2,4,5,8,7,0,OK
5,12212,2,4,5,8,7,0,OK
5,22212,1,4,4,8,7,0,OK
5,11122,3,3,6,8,7,0,OK
5,21122,2,3,5,8,7,0,OK
5,12122,2,3,5,8,7,0,OK
5,22122,1,3,4,8,7,0,OK
5,11222,2,2,5,8,7,0,OK
5,21222,1,2,4,8,7,0,OK
5,12222,1,1,4,8,7,0,OK
5,22222,0,1,3,8,7,0,OK
6,111111,6,6,9,13,12,0,OK
6,211111,5,6,8,13,12,0,OK
6,121111,5,6,8,13,12,0,OK
6,221111,4,6,7,13,12,0,OK
6,112111,5,6,8,13,12,0,OK
6,212111,4,6,7,13,12,0,OK
6,122111,4,6,7,13,12,0,OK
6,222111,3,6,6,13,12,0,OK
6,111211,5,6,8,13,12,0,OK
6,211211,4,6,7,13,12,0,OK
6,121211,4,6,7,13,12,0,OK
6,221211,3,6,6,13,12,0,OK
6,112211,4,6,7,13,12,0,OK
6,212211,3,6,6,13,12,0,OK
6,122211,3,6,6,13,12,0,OK
6,222211,2,6,5,13,12,0,OK
6,111121,5,6,8,12,11,0,OK
6,211121,4,6,7,12,11,0,OK
6,121121,4,6,7,12,11,0,OK
6,221121,3,6,6,12,11,0,OK
6,112121,4,6,7,12,11,0,OK
6,212121,3,6,6,12,11,0,OK
6,122121,3,6,6,12,11,0,OK
6,222121,2,6,5,12,11,0,OK
6,111221,4,6,7,11,10,0,OK
6,211221,3,6,6,11,10,0,OK
6,121221,3,6,6,11,10,0,OK
6,221221,2,6,5,11,10,0,OK
6,112221,3,6,6,11,10,0,OK
6,212221,2,6,5,11,10,0,OK
6,122221,2,6,5,11,10,0,OK
6,222221,1,6,4,11,10,0,OK
6,111112,5,5,8,12,11,0,OK
6,211112,4,5,7,12,11,0,OK
6,121112,4,5,7,12,11,0,OK
6,221112,3,5,6,12,11,0,OK
6,112112,4,5,7,12,11,0,OK
6,212112,3,5,6,12,11,0,OK
6,122112,3,5,6,12,11,0,OK
6,222112,2,5,5,12,11,0,OK
6,111212,4,5,7,11,10,0,OK
6,211212,3,5,6,11,10,0,OK
6,121212,3,5,6,11,10,0,OK
6,221212,2,5,5,11,10,0,OK
6,112212,3,5,6,11,10,0,OK
6,212212,2,5,5,11,10,0,OK
6,122212,2,5,5,11,10,0,OK
6,222212,1,5,4,11,10,0,OK
6,111122,4,4,7,11,10,0,OK
6,211122,3,4,6,11,10,0,OK
6,121122,3,4,6,11,10,0,OK
6,221122,2,4,5,11,10,0,OK
6,112122,3,4,6,11,10,0,OK
6,212122,2,4,5,11,10,0,OK
6,122122,2,4,5,11,10,0,OK
6,222122,1,4,4,11,10,0,OK
6,111222,3,3,6,11,10,0,OK
6,211222,2,3,5,11,10,0,OK
6,121222,2,3,5,11,10,0,OK
6,221222,1,3,4,11,10,0,OK
6,112222,2,2,5,11,10,0,OK
6,212222,1,2,4,11,10,0,OK
6,122222,1,1,4,11,10,0,OK
6,222222,0,1,3,11,10,0,OK
7,1111111,7,7,10,16,15,0,OK
7,2111111,6,7,9,16,15,0,OK
7,1211111,6,7,9,16,15,0,OK
7,2211111,5,7,8,16,15,0,OK
7,1121111,6,7,9,16,15,0,OK
7,2121111,5,7,8,16,15,0,OK
7,1221111,5,7,8,16,15,0,OK
7,2221111,4,7,7,16,15,0,OK
7,1112111,6,7,9,16,15,0,OK
7,2112111,5,7,8,16,15,0,OK
7,1212111,5,7,8,16,15,0,OK
7,2212111,4,7,7,16,15,0,OK
7,1122111,5,7,8,16,15,0,OK
7,2122111,4,7,7,16,15,0,OK
7,1222111,4,7,7,16,15,0,OK
7,2222111,3,7,6,16,15,0,OK
7,1111211,6,7,9,16,15,0,OK
7,2111211,5,7,8,16,15,0,OK
7,1211211,5,7,8,16,15,0,OK
7,2211211,4,7,7,16,15,0,OK
7,1121211,5,7,8,16,15,0,OK
7,2121211,4,7,7,16,15,0,OK
7,1221211,4,7,7,16,15,0,OK
7,2221211,3,7,6,16,15,0,OK
7,1112211,5,7,8,16,15,0,OK
7,2112211,4,7,7,16,15,0,OK
7,1212211,4,7,7,16,15,0,OK
7,2212211,3,7,6,16,15,0,OK
7,1122211,4,7,7,16,15,0,OK
7,2122211,3,7,6,16,15,0,OK
7,1222211,3,7,6,16,15,0,OK
7,2222211,2,7,5,16,15,0,OK
7,1111121,6,7,9,15,14,0,OK
7,2111121,5,7,8,15,14,0,OK
7,1211121,5,7,8,15,14,0,OK
7,2211121,4,7,7,15,14,0,OK
7,1121121,5,7,8,15,14,0,OK
7,2121121,4,7,7,15,14,0,OK
7,1221121,4,7,7,15,14,0,OK
7,2221121,3,7,6,15,14,0,OK
7,1112121,5,7,8,15,14,0,OK
7,2112121,4,7,7,15,14,0,OK
7,1212121,4,7,7,15,14,0,OK
7,2212121,3,7,6,15,14,0,OK
7,1122121,4,7,7,15,14,0,OK
7,2122121,3,7,6,15,14,0,OK
7,1222121,3,7,6,15,14,0,OK
7,2222121,2,7,5,15,14,0,OK
7,1111221,5,7,8,14,13,0,OK
7,2111221,4,7,7,14,13,0,OK
7,1211221,4,7,7,14,13,0,OK
7,2211221,3,7,6,14,13,0,OK
7,1121221,4,7,7,14,13,0,OK
7,2121221,3,7,6,14,13,0,OK
7,1221221,3,7,6,14,13,0,OK
7,2221221,2,7,5,14,13,0,OK
7,1112221,4,7,7,14,13,0,OK
7,2112221,3,7,6,14,13,0,OK
7,1212221,3,7,6,14,13,0,OK
7,2212221,2,7,5,14,13,0,OK
7,1122221,3,7,6,14,13,0,OK
7,2122221,2,7,5,14,13,0,OK
7,1222221,2,7,5,14,13,0,OK
7,2222221,1,7,4,14,13,0,OK
7,1111112,6,6,9,14,13,0,OK
7,2111112,5,6,8,14,13,0,OK
7,1211112,5,6,8,14,13,0,OK
7,2211112,4,6,7,14,13,0,OK
7,1121112,5,6,8,14,13,0,OK
7,2121112,4,6,7,14,13,0,OK
7,1221112,4,6,7,14,13,0,OK
7,2221112,3,6,6,14,13,0,OK
7,1112112,5,6,8,14,13,0,OK
7,2112112,4,6,7,14,13,0,OK
7,1212112,4,6,7,14,13,0,OK
7,2212112,3,6,6,14,13,0,OK
7,1122112,4,6,7,14,13,0,OK
7,2122112,3,6,6,14,13,0,OK
7,1222112,3,6,6,14,13,0,OK
7,2222112,2,6,5,14,13,0,OK
7,1111212,5,6,8,13,12,0,OK
7,2111212,4,6,7,13,12,0,OK
7,1211212,4,6,7,13,12,0,OK
7,2211212,3,6,6,13,12,0,OK
7,1121212,4,6,7,13,12,0,OK
7,2121212,3,6,6,13,12,0,OK
7,1221212,3,6,6,13,12,0,OK
7,2221212,2,6,5,13,12,0,OK
7,1112212,4,6,7,13,12,0,OK
7,2112212,3,6,6,13,12,0,OK
7,1212212,3,6,6,13,12,0,OK
7,2212212,2,6,5,13,12,0,OK
7,1122212,3,6,6,13,12,0,OK
7,2122212,2,6,5,13,12,0,OK
7,1222212,2,6,5,13,12,0,OK
7,2222212,1,6,4,13,12,0,OK
7,1111122,5,5,8,13,12,0,OK
7,2111122,4,5,7,13,12,0,OK
7,1211122,4,5,7,13,12,0,OK
7,2211122,3,5,6,13,12,0,OK
7,1121122,4,5,7,13,12,0,OK
7,2121122,3,5,6,13,12,0,OK
7,1221122,3,5,6,13,12,0,OK
7,2221122,2,5,5,13,12,0,OK
7,1112122,4,5,7,13,12,0,OK
7,2112122,3,5,6,13,12,0,OK
7,1212122,3,5,6,13,12,0,OK
7,2212122,2,5,5,13,12,0,OK
7,1122122,3,5,6,13,12,0,OK
7,2122122,2,5,5,13,12,0,OK
7,1222122,2,5,5,13,12,0,OK
