m,label,word,L,k_star_1idx,g_loop_at_kstar,min_prefix_cost,n_cheap_states,cheap_states_capped,any_cheap_has_completion,verdict
5,golden-per8,22121,2,5,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,sqrt2-per12,21211,3,5,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,golden-per8,221212,2,5,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,sqrt2-per12,212112,3,5,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,golden-per8,2212122,2,5,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,sqrt2-per12,2121121,4,7,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random000,12112,3,4,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random001,12221,2,5,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random002,11211,4,5,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random003,21121,3,5,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random004,22211,2,5,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random005,11222,2,2,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random006,12111,4,5,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random007,12211,3,5,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random008,12212,2,4,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random009,11111,5,5,5,5,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random010,22222,0,1,0,0,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
5,random011,11112,4,4,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random000,222122,1,4,1,1,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random001,111222,3,3,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random002,222111,3,6,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random003,122111,4,6,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random004,121111,5,6,5,5,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random005,111122,4,4,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random006,211111,5,6,5,5,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random007,112121,4,6,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random008,122122,2,4,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random009,112111,5,6,5,5,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
6,random010,211221,3,6,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random000,2212112,3,6,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random001,2122212,2,6,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random002,1122211,4,7,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random003,2112221,3,7,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random004,2111221,4,7,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random005,2111211,5,7,5,5,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random006,2121221,3,7,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random007,1221221,3,7,3,3,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random008,2221122,2,5,2,2,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random009,2221222,1,4,1,1,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
7,random010,1121212,4,6,4,4,0,False,,NO_CHEAP_PREFIX (congruence alone already forbids)
