label,m,word,L,min_cost,argmin_a_seq,argmin_rho_end,replay_ok
true-word,29,22121221212212121221212212121,12,11,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1",839,True
true-word,30,221212212122121212212122121212,12,11,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1",559,True
true-word,31,2212122121221212122121221212122,12,11,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2",745,True
true-word,32,22121221212212121221212212121221,13,11,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2,2",993,True
true-word,33,221212212122121212212122121212212,13,11,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,4,1,2",2649,True
true-word,34,2212122121221212122121221212122121,14,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2",121,True
true-word,35,22121221212212121221212212121221212,14,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2",161,True
true-word,36,221212212122121212212122121212212122,14,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1",107,True
true-word,37,2212122121221212122121221212122121221,15,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1",71,True
true-word,38,22121221212212121221212212121221212212,15,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1",47,True
true-word,39,221212212122121212212122121212212122121,16,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1",31,True
true-word,40,2212122121221212122121221212122121221212,16,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2",41,True
true-word,41,22121221212212121221212212121221212212121,17,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1",27,True
true-word,42,221212212122121212212122121212212122121212,17,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2",145,True
true-word,43,2212122121221212122121221212122121221212122,17,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2",193,True
true-word,44,22121221212212121221212212121221212212121221,18,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2",257,True
true-word,45,221212212122121212212122121212212122121212212,18,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,1",171,True
true-word,46,2212122121221212122121221212122121221212122121,19,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2",913,True
true-word,47,22121221212212121221212212121221212212121221212,19,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2",1217,True
true-word,48,221212212122121212212122121212212122121212212122,19,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1",811,True
true-word,49,2212122121221212122121221212122121221212122121221,20,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1,2",1081,True
true-word,50,22121221212212121221212212121221212212121221212212,20,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1,2,2",1441,True
true-word,51,221212212122121212212122121212212122121212212122121,21,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1,2,2,2",1921,True
true-word,52,2212122121221212122121221212122121221212122121221212,21,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1,2,2,2,2",2561,True
true-word,53,22121221212212121221212212121221212212121221212212121,22,11,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1,2,2,2,2,1",1707,True
sqrt2-per12,24,212112121211212112121211,14,13,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1",111,True
