label,m,word,L,min_cost,hit_loop,breach,over_loop_impossible_check,cap_margin_ok,replay_ok,status
true-word,2,22,0,0,True,False,False,True,True,OK
true-word,3,221,1,1,True,False,False,True,True,OK
true-word,4,2212,1,1,True,False,False,True,True,OK
true-word,5,22121,2,2,True,False,False,True,True,OK
true-word,6,221212,2,2,True,False,False,True,True,OK
true-word,7,2212122,2,2,True,False,False,True,True,OK
true-word,8,22121221,3,3,True,False,False,True,True,OK
true-word,9,221212212,3,3,True,False,False,True,True,OK
true-word,10,2212122121,4,4,True,False,False,True,True,OK
true-word,11,22121221212,4,4,True,False,False,True,True,OK
true-word,12,221212212122,4,4,True,False,False,True,True,OK
true-word,13,2212122121221,5,5,True,False,False,True,True,OK
true-word,14,22121221212212,5,5,True,False,False,True,True,OK
true-word,15,221212212122121,6,6,True,False,False,True,True,OK
true-word,16,2212122121221212,6,6,True,False,False,True,True,OK
true-word,17,<17 letters>,7,7,True,False,False,True,True,OK
true-word,18,<18 letters>,7,7,True,False,False,True,True,OK
true-word,19,<19 letters>,7,7,True,False,False,True,True,OK
true-word,20,<20 letters>,8,8,True,False,False,True,True,OK
true-word,21,<21 letters>,8,8,True,False,False,True,True,OK
true-word,22,<22 letters>,9,9,True,False,False,True,True,OK
true-word,23,<23 letters>,9,9,True,False,False,True,True,OK
true-word,24,<24 letters>,9,9,True,False,False,True,True,OK
true-word,25,<25 letters>,10,10,True,False,False,True,True,OK
true-word,26,<26 letters>,10,10,True,False,False,True,True,OK
true-word,27,<27 letters>,11,11,True,False,False,True,True,OK
true-word,28,<28 letters>,11,11,True,False,False,True,True,OK
true-word,29,<29 letters>,12,11,False,True,False,True,True,OK
true-word,30,<30 letters>,12,11,False,True,False,True,True,OK
true-word,31,<31 letters>,12,11,False,True,False,True,True,OK
true-word,32,<32 letters>,13,11,False,True,False,True,True,OK
true-word,33,<33 letters>,13,11,False,True,False,True,True,OK
true-word,34,<34 letters>,14,11,False,True,False,True,True,OK
true-word,35,<35 letters>,14,11,False,True,False,True,True,OK
true-word,36,<36 letters>,14,11,False,True,False,True,True,OK
true-word,37,<37 letters>,15,11,False,True,False,True,True,OK
true-word,38,<38 letters>,15,11,False,True,False,True,True,OK
true-word,39,<39 letters>,16,11,False,True,False,True,True,OK
true-word,40,<40 letters>,16,11,False,True,False,True,True,OK
true-word,41,<41 letters>,17,11,False,True,False,True,True,OK
true-word,42,<42 letters>,17,11,False,True,False,True,True,OK
true-word,43,<43 letters>,17,11,False,True,False,True,True,OK
true-word,44,<44 letters>,18,11,False,True,False,True,True,OK
true-word,45,<45 letters>,18,11,False,True,False,True,True,OK
true-word,46,<46 letters>,19,11,False,True,False,True,True,OK
true-word,47,<47 letters>,19,11,False,True,False,True,True,OK
true-word,48,<48 letters>,19,11,False,True,False,True,True,OK
true-word,49,<49 letters>,20,11,False,True,False,True,True,OK
true-word,50,<50 letters>,20,11,False,True,False,True,True,OK
true-word,51,<51 letters>,21,11,False,True,False,True,True,OK
true-word,52,<52 letters>,21,11,False,True,False,True,True,OK
true-word,53,<53 letters>,22,11,False,True,False,True,True,OK
golden-per8,2,22,0,0,True,False,False,True,True,OK
golden-per8,3,221,1,1,True,False,False,True,True,OK
golden-per8,4,2212,1,1,True,False,False,True,True,OK
golden-per8,5,22121,2,2,True,False,False,True,True,OK
golden-per8,6,221212,2,2,True,False,False,True,True,OK
golden-per8,7,2212122,2,2,True,False,False,True,True,OK
golden-per8,8,22121221,3,3,True,False,False,True,True,OK
golden-per8,9,221212212,3,3,True,False,False,True,True,OK
golden-per8,10,2212122122,3,3,True,False,False,True,True,OK
golden-per8,11,22121221221,4,4,True,False,False,True,True,OK
golden-per8,12,221212212212,4,4,True,False,False,True,True,OK
golden-per8,13,2212122122121,5,5,True,False,False,True,True,OK
golden-per8,14,22121221221212,5,5,True,False,False,True,True,OK
golden-per8,15,221212212212122,5,5,True,False,False,True,True,OK
golden-per8,16,2212122122121221,6,6,True,False,False,True,True,OK
