word_label,m,a_seq,L,band,chain_max,departure_prefix
golden-per8,3,"2,4,1",1,2,2,2
golden-per8,5,"2,2,2,4,1",2,3,3,4
golden-per8,8,"2,2,2,2,2,2,4,1",3,4,4,7
golden-per8,11,"2,2,2,2,2,2,2,2,2,4,1",4,5,5,10
sqrt2-per12,2,"4,1",1,2,2,1
sqrt2-per12,4,"2,2,4,1",2,3,3,3
sqrt2-per12,5,"2,2,2,4,1",3,4,4,4
sqrt2-per12,5,"4,3,2,1,1",3,4,4,1
sqrt2-per12,6,"4,3,2,1,1,2",3,4,4,1
sqrt2-per12,7,"2,2,2,2,2,4,1",4,5,5,6
sqrt2-per12,7,"2,4,3,2,1,1,2",4,5,5,2
sqrt2-per12,9,"2,2,2,2,2,2,2,4,1",5,6,6,8
sqrt2-per12,9,"2,2,2,4,3,2,1,1,2",5,6,6,4
sqrt2-per12,11,"2,2,2,2,2,2,2,2,2,4,1",6,7,7,10
sqrt2-per12,11,"2,2,2,2,2,4,3,2,1,1,2",6,7,7,6
true-word,3,"2,4,1",1,2,2,2
true-word,5,"2,2,2,4,1",2,3,3,4
true-word,8,"2,2,2,2,2,2,4,1",3,4,4,7
true-word,10,"2,2,2,2,2,2,2,2,4,1",4,5,5,9
true-word,10,"2,2,2,2,4,3,2,1,1,2",4,5,5,5
