word_label,m,L,band,position_j,is_dip,is_support_adjacent,dist_to_nearest_support,letter_at_j
golden-per8,2,0,1,1,False,False,,2
golden-per8,2,0,1,2,False,False,,2
golden-per8,3,1,2,1,False,False,2,2
golden-per8,3,1,2,2,True,True,1,2
golden-per8,3,1,2,3,False,True,0,1
golden-per8,4,1,2,1,False,False,2,2
golden-per8,4,1,2,2,False,True,1,2
golden-per8,4,1,2,3,False,True,0,1
golden-per8,4,1,2,4,False,False,,2
golden-per8,5,2,3,1,False,False,2,2
golden-per8,5,2,3,2,False,True,1,2
golden-per8,5,2,3,3,False,True,0,1
golden-per8,5,2,3,4,True,True,1,2
golden-per8,5,2,3,5,False,True,0,1
golden-per8,6,2,3,1,False,False,2,2
golden-per8,6,2,3,2,False,True,1,2
golden-per8,6,2,3,3,False,True,0,1
golden-per8,6,2,3,4,False,True,1,2
golden-per8,6,2,3,5,False,True,0,1
golden-per8,6,2,3,6,False,False,,2
golden-per8,7,2,3,1,False,False,2,2
golden-per8,7,2,3,2,False,True,1,2
golden-per8,7,2,3,3,False,True,0,1
golden-per8,7,2,3,4,False,True,1,2
golden-per8,7,2,3,5,False,True,0,1
golden-per8,7,2,3,6,False,False,,2
golden-per8,7,2,3,7,False,False,,2
golden-per8,8,3,4,1,False,False,2,2
golden-per8,8,3,4,2,False,True,1,2
golden-per8,8,3,4,3,False,True,0,1
golden-per8,8,3,4,4,False,True,1,2
golden-per8,8,3,4,5,False,True,0,1
golden-per8,8,3,4,6,False,False,2,2
golden-per8,8,3,4,7,True,True,1,2
golden-per8,8,3,4,8,False,True,0,1
golden-per8,9,3,4,1,False,False,2,2
golden-per8,9,3,4,2,False,True,1,2
golden-per8,9,3,4,3,False,True,0,1
golden-per8,9,3,4,4,False,True,1,2
golden-per8,9,3,4,5,False,True,0,1
golden-per8,9,3,4,6,False,False,2,2
golden-per8,9,3,4,7,False,True,1,2
golden-per8,9,3,4,8,False,True,0,1
golden-per8,9,3,4,9,False,False,,2
golden-per8,10,3,4,1,False,False,2,2
golden-per8,10,3,4,2,False,True,1,2
golden-per8,10,3,4,3,False,True,0,1
golden-per8,10,3,4,4,False,True,1,2
golden-per8,10,3,4,5,False,True,0,1
golden-per8,10,3,4,6,False,False,2,2
golden-per8,10,3,4,7,False,True,1,2
golden-per8,10,3,4,8,False,True,0,1
golden-per8,10,3,4,9,False,False,,2
golden-per8,10,3,4,10,False,False,,2
golden-per8,11,4,5,1,False,False,2,2
golden-per8,11,4,5,2,False,True,1,2
golden-per8,11,4,5,3,False,True,0,1
golden-per8,11,4,5,4,False,True,1,2
golden-per8,11,4,5,5,False,True,0,1
golden-per8,11,4,5,6,False,False,2,2
golden-per8,11,4,5,7,False,True,1,2
golden-per8,11,4,5,8,False,True,0,1
golden-per8,11,4,5,9,False,False,2,2
golden-per8,11,4,5,10,True,True,1,2
golden-per8,11,4,5,11,False,True,0,1
sqrt2-per12,2,1,2,1,True,True,1,2
sqrt2-per12,2,1,2,2,False,True,0,1
sqrt2-per12,3,1,2,1,False,True,1,2
sqrt2-per12,3,1,2,2,False,True,0,1
sqrt2-per12,3,1,2,3,False,False,,2
sqrt2-per12,4,2,3,1,False,True,1,2
sqrt2-per12,4,2,3,2,False,True,0,1
sqrt2-per12,4,2,3,3,True,True,1,2
sqrt2-per12,4,2,3,4,False,True,0,1
sqrt2-per12,5,3,4,1,True,True,1,2
sqrt2-per12,5,3,4,2,False,True,0,1
sqrt2-per12,5,3,4,3,False,True,1,2
sqrt2-per12,5,3,4,4,True,True,0,1
sqrt2-per12,5,3,4,5,False,True,0,1
sqrt2-per12,6,3,4,1,True,True,1,2
sqrt2-per12,6,3,4,2,False,True,0,1
sqrt2-per12,6,3,4,3,False,True,1,2
sqrt2-per12,6,3,4,4,False,True,0,1
sqrt2-per12,6,3,4,5,False,True,0,1
sqrt2-per12,6,3,4,6,False,False,,2
sqrt2-per12,7,4,5,1,False,True,1,2
sqrt2-per12,7,4,5,2,True,True,0,1
sqrt2-per12,7,4,5,3,False,True,1,2
sqrt2-per12,7,4,5,4,False,True,0,1
sqrt2-per12,7,4,5,5,False,True,0,1
sqrt2-per12,7,4,5,6,True,True,1,2
sqrt2-per12,7,4,5,7,False,True,0,1
sqrt2-per12,8,4,5,1,False,True,1,2
sqrt2-per12,8,4,5,2,False,True,0,1
sqrt2-per12,8,4,5,3,False,True,1,2
sqrt2-per12,8,4,5,4,False,True,0,1
sqrt2-per12,8,4,5,5,False,True,0,1
sqrt2-per12,8,4,5,6,False,True,1,2
sqrt2-per12,8,4,5,7,False,True,0,1
sqrt2-per12,8,4,5,8,False,False,,2
sqrt2-per12,9,5,6,1,False,True,1,2
sqrt2-per12,9,5,6,2,False,True,0,1
sqrt2-per12,9,5,6,3,False,True,1,2
sqrt2-per12,9,5,6,4,True,True,0,1
sqrt2-per12,9,5,6,5,False,True,0,1
sqrt2-per12,9,5,6,6,False,True,1,2
sqrt2-per12,9,5,6,7,False,True,0,1
sqrt2-per12,9,5,6,8,True,True,1,2
sqrt2-per12,9,5,6,9,False,True,0,1
sqrt2-per12,10,5,6,1,False,True,1,2
sqrt2-per12,10,5,6,2,False,True,0,1
sqrt2-per12,10,5,6,3,False,True,1,2
sqrt2-per12,10,5,6,4,False,True,0,1
sqrt2-per12,10,5,6,5,False,True,0,1
sqrt2-per12,10,5,6,6,False,True,1,2
sqrt2-per12,10,5,6,7,False,True,0,1
sqrt2-per12,10,5,6,8,False,True,1,2
sqrt2-per12,10,5,6,9,False,True,0,1
sqrt2-per12,10,5,6,10,False,False,,2
sqrt2-per12,11,6,7,1,False,True,1,2
sqrt2-per12,11,6,7,2,False,True,0,1
sqrt2-per12,11,6,7,3,False,True,1,2
sqrt2-per12,11,6,7,4,False,True,0,1
sqrt2-per12,11,6,7,5,False,True,0,1
sqrt2-per12,11,6,7,6,True,True,1,2
sqrt2-per12,11,6,7,7,False,True,0,1
sqrt2-per12,11,6,7,8,False,True,1,2
sqrt2-per12,11,6,7,9,False,True,0,1
sqrt2-per12,11,6,7,10,True,True,1,2
sqrt2-per12,11,6,7,11,False,True,0,1
true-word,2,0,1,1,False,False,,2
true-word,2,0,1,2,False,False,,2
true-word,3,1,2,1,False,False,2,2
true-word,3,1,2,2,True,True,1,2
true-word,3,1,2,3,False,True,0,1
true-word,4,1,2,1,False,False,2,2
true-word,4,1,2,2,False,True,1,2
true-word,4,1,2,3,False,True,0,1
true-word,4,1,2,4,False,False,,2
true-word,5,2,3,1,False,False,2,2
true-word,5,2,3,2,False,True,1,2
true-word,5,2,3,3,False,True,0,1
true-word,5,2,3,4,True,True,1,2
true-word,5,2,3,5,False,True,0,1
true-word,6,2,3,1,False,False,2,2
true-word,6,2,3,2,False,True,1,2
true-word,6,2,3,3,False,True,0,1
true-word,6,2,3,4,False,True,1,2
true-word,6,2,3,5,False,True,0,1
true-word,6,2,3,6,False,False,,2
true-word,7,2,3,1,False,False,2,2
true-word,7,2,3,2,False,True,1,2
true-word,7,2,3,3,False,True,0,1
true-word,7,2,3,4,False,True,1,2
true-word,7,2,3,5,False,True,0,1
true-word,7,2,3,6,False,False,,2
true-word,7,2,3,7,False,False,,2
true-word,8,3,4,1,False,False,2,2
true-word,8,3,4,2,False,True,1,2
true-word,8,3,4,3,False,True,0,1
true-word,8,3,4,4,False,True,1,2
true-word,8,3,4,5,False,True,0,1
true-word,8,3,4,6,False,False,2,2
true-word,8,3,4,7,True,True,1,2
true-word,8,3,4,8,False,True,0,1
true-word,9,3,4,1,False,False,2,2
true-word,9,3,4,2,False,True,1,2
true-word,9,3,4,3,False,True,0,1
true-word,9,3,4,4,False,True,1,2
true-word,9,3,4,5,False,True,0,1
true-word,9,3,4,6,False,False,2,2
true-word,9,3,4,7,False,True,1,2
true-word,9,3,4,8,False,True,0,1
true-word,9,3,4,9,False,False,,2
true-word,10,4,5,1,False,False,2,2
true-word,10,4,5,2,False,True,1,2
true-word,10,4,5,3,False,True,0,1
true-word,10,4,5,4,False,True,1,2
true-word,10,4,5,5,True,True,0,1
true-word,10,4,5,6,False,False,2,2
true-word,10,4,5,7,False,True,1,2
true-word,10,4,5,8,False,True,0,1
true-word,10,4,5,9,True,True,1,2
