m,D_root_ceil,L_root,kstar_root_1idx,matches_L_root,L_end,mirror_law_D_real,margin_check_ok,witness_a_seq,replay_ok
24,10,10,24,True,9,9,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",True
25,11,11,25,True,10,10,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",True
26,11,11,26,True,10,10,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",True
27,12,12,27,True,11,11,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",True
28,12,12,28,True,11,11,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",True
29,12,13,29,False,12,12,True,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1",True
30,12,13,30,False,12,12,True,"2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1",True
31,11,13,31,False,12,12,True,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2",True
32,12,14,32,False,13,13,True,"2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2",True
33,12,14,33,False,13,13,True,"2,2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2",True
34,12,15,34,False,14,14,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2",True
35,12,15,35,False,14,14,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2",True
36,11,15,36,False,14,14,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1",True
37,12,16,37,False,15,15,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1",True
38,11,16,38,False,15,15,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1",True
39,12,17,39,False,16,16,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1",True
40,12,17,40,False,16,16,True,"2,2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,1",True
