label,m,D_root_ceil,L_root,matches_L_root,n_optimal,is_unique_all2s,margin_ok,hit_enum_cap,sample_optimal_seq
true-word,4,2,2,True,1,True,True,False,"2,2,2,2"
true-word,5,3,3,True,1,True,True,False,"2,2,2,2,2"
true-word,6,3,3,True,1,True,True,False,"2,2,2,2,2,2"
true-word,7,3,3,True,1,True,True,False,"2,2,2,2,2,2,2"
true-word,8,4,4,True,1,True,True,False,"2,2,2,2,2,2,2,2"
true-word,9,4,4,True,1,True,True,False,"2,2,2,2,2,2,2,2,2"
true-word,10,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2"
true-word,11,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2"
true-word,12,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2"
true-word,13,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,14,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,15,7,7,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,16,7,7,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,4,2,2,True,1,True,True,False,"2,2,2,2"
golden-per8,5,2,2,True,1,True,True,False,"2,2,2,2,2"
golden-per8,6,3,3,True,1,True,True,False,"2,2,2,2,2,2"
golden-per8,7,3,3,True,1,True,True,False,"2,2,2,2,2,2,2"
golden-per8,8,3,3,True,1,True,True,False,"2,2,2,2,2,2,2,2"
golden-per8,9,4,4,True,1,True,True,False,"2,2,2,2,2,2,2,2,2"
golden-per8,10,4,4,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2"
golden-per8,11,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2"
golden-per8,12,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,13,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,14,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,15,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,16,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,4,3,3,True,1,True,True,False,"2,2,2,2"
sqrt2-per12,5,3,3,True,1,True,True,False,"2,2,2,2,2"
sqrt2-per12,6,4,4,True,1,True,True,False,"2,2,2,2,2,2"
sqrt2-per12,7,5,5,True,1,True,True,False,"2,2,2,2,2,2,2"
sqrt2-per12,8,5,5,True,1,True,True,False,"2,2,2,2,2,2,2,2"
sqrt2-per12,9,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2"
sqrt2-per12,10,6,6,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,11,7,7,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,12,7,7,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,13,8,8,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,14,9,9,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,15,9,9,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,16,10,10,True,1,True,True,False,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
