m,D_recon_end,D_recon_root,mirror_law_D_per,AB_crosscheck_end,AB_crosscheck_root,witness_end_ok,witness_root_ok,witness_end,witness_root,witness_end_n0,witness_root_n0
2,0,1,0,True,True,True,True,"2,2","2,2",1,1
3,1,2,1,True,True,True,True,"2,2,2","2,2,2",1,1
4,1,2,1,True,True,True,True,"2,2,2,2","2,2,2,2",1,1
5,2,3,2,True,True,True,True,"2,2,2,2,2","2,2,2,2,2",1,1
6,2,3,2,True,True,True,True,"2,2,2,2,2,2","2,2,2,2,2,2",1,1
7,2,3,2,True,True,True,True,"2,2,2,2,2,2,2","2,2,2,2,2,2,2",1,1
8,3,4,3,True,True,True,True,"2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2",1,1
9,3,4,3,True,True,True,True,"2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2",1,1
10,4,5,4,True,True,True,True,"2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2",1,1
11,4,5,4,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2",1,1
12,4,5,4,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2",1,1
13,5,6,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
14,5,6,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
15,6,7,6,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
16,6,7,6,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
17,7,8,7,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
18,7,8,7,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
19,7,8,7,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
20,8,9,8,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
21,8,9,8,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
22,9,10,9,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
23,9,10,9,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",1,1
