m,D_recon,mirror_law_D_per,game_D_root_anchored,game_D_end_anchored,D_recon_root_variant,D_recon_eq_mirror,D_recon_eq_game_end,D_recon_eq_game_root,witness_n0,witness_a_seq
2,0,0,1,0,1,True,True,False,1,"2,2"
3,1,1,2,1,2,True,True,False,1,"2,2,2"
4,1,1,2,1,2,True,True,False,1,"2,2,2,2"
5,2,2,3,2,3,True,True,False,1,"2,2,2,2,2"
6,2,2,3,2,3,True,True,False,1,"2,2,2,2,2,2"
7,2,2,3,2,3,True,True,False,1,"2,2,2,2,2,2,2"
8,3,3,4,3,4,True,True,False,1,"2,2,2,2,2,2,2,2"
9,3,3,4,3,4,True,True,False,1,"2,2,2,2,2,2,2,2,2"
10,4,4,5,4,5,True,True,False,1,"2,2,2,2,2,2,2,2,2,2"
11,4,4,5,4,5,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2"
12,4,4,5,4,5,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2"
13,5,5,6,5,6,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2"
14,5,5,6,5,6,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2"
15,6,6,7,6,7,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
16,6,6,7,6,7,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
17,7,7,8,7,8,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
18,7,7,8,7,8,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
19,7,7,8,7,8,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
20,8,8,9,8,9,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
21,8,8,9,8,9,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
22,9,9,10,9,10,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
23,9,9,10,9,10,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
24,9,9,10,9,10,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
25,10,10,11,10,11,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
26,10,10,11,10,11,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
27,11,11,12,11,12,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
28,11,11,12,11,12,True,True,False,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
29,11,12,12,11,12,False,True,False,839,"1,1,2,2,1,1,2,1,4,2,1,2,1,2,2,2,1,1,1,6,1,2,2,4,1,1,2,3,4"
30,11,12,12,11,12,False,True,False,559,"1,1,1,2,2,1,1,2,1,4,2,1,2,1,2,2,2,1,1,1,6,1,2,2,4,1,1,2,3,4"
31,11,12,11,11,11,False,True,True,745,"2,1,1,1,2,2,1,1,2,1,4,2,1,2,1,2,2,2,1,1,1,6,1,2,2,4,1,1,2,3,4"
32,11,13,12,11,12,False,True,False,993,"2,2,1,1,1,2,2,1,1,2,1,4,2,1,2,1,2,2,2,1,1,1,6,1,2,2,4,1,1,2,3,4"
