C,m,alive,peak_live_states,peak_rss_mb,elapsed_sec,wall
7,1,True,4,12.37109375,3.790855407714844e-05,
7,2,True,8,12.37109375,6.29425048828125e-05,
7,3,True,9,12.37109375,8.368492126464844e-05,
7,4,True,12,12.37109375,0.00011849403381347656,
7,5,True,15,12.37109375,0.00017189979553222656,
7,6,True,18,12.37109375,0.00019073486328125,
7,7,True,18,12.37109375,0.00032019615173339844,
7,8,True,23,12.37109375,0.00029087066650390625,
7,9,True,28,12.37109375,0.00026798248291015625,
7,10,True,31,12.37109375,0.0003075599670410156,
7,11,True,31,12.37109375,0.0003445148468017578,
7,12,True,31,12.37109375,0.00037550926208496094,
7,13,True,31,12.37109375,0.00040793418884277344,
7,14,True,31,12.49609375,0.0004258155822753906,
7,15,True,31,12.49609375,0.0004534721374511719,
7,16,True,31,12.49609375,0.00045299530029296875,
7,17,True,31,12.49609375,0.0004673004150390625,
7,18,True,31,12.49609375,0.0004570484161376953,
7,19,True,31,12.49609375,0.00048351287841796875,
7,20,False,31,12.49609375,0.00026154518127441406,
8,1,True,5,12.49609375,2.3603439331054688e-05,
8,2,True,10,12.49609375,4.220008850097656e-05,
8,3,True,12,12.49609375,6.818771362304688e-05,
8,4,True,16,12.49609375,0.00010633468627929688,
8,5,True,20,12.49609375,0.00014162063598632812,
8,6,True,25,12.49609375,0.00018262863159179688,
8,7,True,26,12.49609375,0.0002536773681640625,
8,8,True,32,12.49609375,0.0003056526184082031,
8,9,True,38,12.49609375,0.0003590583801269531,
8,10,True,43,12.49609375,0.0004296302795410156,
8,11,True,46,12.49609375,0.00047516822814941406,
8,12,True,49,12.49609375,0.0006086826324462891,
8,13,True,50,12.49609375,0.0006339550018310547,
8,14,True,50,12.49609375,0.0006740093231201172,
8,15,True,50,12.49609375,0.0007152557373046875,
8,16,True,50,12.49609375,0.0007498264312744141,
8,17,True,50,12.49609375,0.0007796287536621094,
8,18,True,50,12.49609375,0.0007946491241455078,
8,19,True,50,12.49609375,0.0007963180541992188,
8,20,True,50,12.49609375,0.0007901191711425781,
8,21,True,50,12.49609375,0.0007951259613037109,
8,22,False,50,12.49609375,0.0004367828369140625,
9,1,True,5,12.49609375,2.384185791015625e-05,
9,2,True,11,12.49609375,4.458427429199219e-05,
9,3,True,14,12.49609375,7.534027099609375e-05,
9,4,True,19,12.49609375,0.000125885009765625,
9,5,True,25,12.49609375,0.0001742839813232422,
9,6,True,34,12.49609375,0.00022912025451660156,
9,7,True,35,12.49609375,0.00031304359436035156,
9,8,True,43,12.49609375,0.00039649009704589844,
9,9,True,50,12.49609375,0.0004863739013671875,
9,10,True,59,12.49609375,0.0005879402160644531,
9,11,True,64,12.49609375,0.0006787776947021484,
9,12,True,71,12.49609375,0.0007944107055664062,
9,13,True,75,12.49609375,0.0009102821350097656,
9,14,True,76,12.49609375,0.0010609626770019531,
9,15,True,76,12.49609375,0.0011088848114013672,
9,16,True,77,12.49609375,0.0011811256408691406,
9,17,True,80,12.62109375,0.00125885009765625,
9,18,True,80,12.62109375,0.0013494491577148438,
9,19,True,80,12.62109375,0.0013294219970703125,
9,20,True,80,12.62109375,0.0013990402221679688,
9,21,True,80,12.62109375,0.0013790130615234375,
9,22,True,80,12.62109375,0.0013599395751953125,
9,23,True,80,12.62109375,0.0013821125030517578,
9,24,True,80,12.62109375,0.0013682842254638672,
9,25,False,80,12.62109375,0.0007162094116210938,
10,1,True,6,12.62109375,2.574920654296875e-05,
10,2,True,12,12.62109375,5.2928924560546875e-05,
10,3,True,16,12.62109375,8.511543273925781e-05,
10,4,True,22,12.62109375,0.00018525123596191406,
10,5,True,30,12.62109375,0.00022745132446289062,
10,6,True,42,12.62109375,0.0002880096435546875,
10,7,True,46,12.62109375,0.0004162788391113281,
10,8,True,55,12.62109375,0.0005223751068115234,
10,9,True,68,12.62109375,0.0006704330444335938,
10,10,True,86,12.62109375,0.0008149147033691406,
10,11,True,97,12.62109375,0.0009539127349853516,
10,12,True,103,12.62109375,0.0011701583862304688,
10,13,True,118,12.62109375,0.0013918876647949219,
10,14,True,125,12.62109375,0.0015912055969238281,
10,15,True,126,12.62109375,0.001825571060180664,
10,16,True,126,12.62109375,0.0019159317016601562,
10,17,True,130,12.62109375,0.0022068023681640625,
10,18,True,133,12.74609375,0.0023229122161865234,
10,19,True,133,12.74609375,0.002391338348388672,
10,20,True,133,12.74609375,0.002481698989868164,
10,21,True,133,12.74609375,0.0025293827056884766,
10,22,True,133,12.74609375,0.0028181076049804688,
10,23,True,133,12.74609375,0.0027399063110351562,
10,24,True,133,12.74609375,0.002664327621459961,
10,25,True,133,12.74609375,0.0026679039001464844,
10,26,True,133,12.74609375,0.00266265869140625,
10,27,False,133,12.74609375,0.0012888908386230469,
11,1,True,6,12.74609375,2.5510787963867188e-05,
11,2,True,13,12.74609375,5.1021575927734375e-05,
11,3,True,18,12.74609375,9.822845458984375e-05,
11,4,True,25,12.74609375,0.00017118453979492188,
11,5,True,35,12.74609375,0.00025081634521484375,
11,6,True,52,12.74609375,0.0003445148468017578,
11,7,True,58,12.74609375,0.0005064010620117188,
11,8,True,70,12.74609375,0.0006840229034423828,
11,9,True,92,12.74609375,0.0008733272552490234,
11,10,True,118,12.74609375,0.0011529922485351562,
11,11,True,141,12.74609375,0.0015597343444824219,
11,12,True,154,12.74609375,0.0016765594482421875,
11,13,True,189,12.74609375,0.0019948482513427734,
11,14,True,207,12.74609375,0.0023622512817382812,
11,15,True,214,12.74609375,0.0028181076049804688,
11,16,True,214,12.74609375,0.0031685829162597656,
11,17,True,226,12.87109375,0.003473520278930664,
11,18,True,233,12.87109375,0.003849506378173828,
11,19,True,234,12.87109375,0.004052400588989258,
11,20,True,234,12.99609375,0.004244804382324219,
11,21,True,234,12.99609375,0.004567623138427734,
11,22,True,234,12.99609375,0.004745960235595703,
11,23,True,234,12.99609375,0.0047953128814697266,
11,24,True,234,13.12109375,0.004917144775390625,
11,25,True,234,13.12109375,0.005143642425537109,
11,26,True,234,13.12109375,0.005124330520629883,
11,27,True,234,13.12109375,0.005252838134765625,
11,28,True,234,13.12109375,0.005300998687744141,
11,29,True,234,13.12109375,0.005295753479003906,
11,30,True,234,13.12109375,0.005179643630981445,
11,31,True,234,13.12109375,0.005300760269165039,
11,32,True,234,13.12109375,0.00522613525390625,
11,33,True,234,13.12109375,0.005258798599243164,
11,34,True,234,13.12109375,0.006387948989868164,
11,35,True,234,13.12109375,0.0055925846099853516,
11,36,True,234,13.12109375,0.005383014678955078,
11,37,True,234,13.12109375,0.005308628082275391,
11,38,True,234,13.12109375,0.0053713321685791016,
11,39,True,234,13.12109375,0.005335807800292969,
11,40,True,234,13.12109375,0.005354166030883789,
