reading,C,m,alive,peak_live_states,final_live_states,peak_rss_mb,elapsed_sec,wall,witness_start_integer,witness_all_ok,witness_range
A,11,54,False,163,0,12.15625,0.0018150806427001953,,,,
A,11,55,True,205,2,12.78125,0.005286216735839844,,1537,True,11
A,11,56,False,149,0,12.78125,0.0014917850494384766,,,,
A,11,57,False,186,0,12.78125,0.0019016265869140625,,,,
A,11,58,False,133,0,12.78125,0.0013239383697509766,,,,
A,11,59,False,163,0,12.78125,0.00170135498046875,,,,
A,11,60,False,205,0,12.78125,0.0025696754455566406,,,,
A,11,61,False,149,0,12.78125,0.0015168190002441406,,,,
A,11,62,False,186,0,12.78125,0.0019605159759521484,,,,
A,11,63,False,133,0,12.78125,0.001348733901977539,,,,
A,11,64,False,166,0,12.78125,0.001743316650390625,,,,
A,11,65,False,214,0,12.78125,0.0026803016662597656,,,,
A,11,66,False,162,0,12.78125,0.0015823841094970703,,,,
A,11,67,False,205,0,12.78125,0.0024254322052001953,,,,
A,11,68,False,149,0,12.78125,0.0014159679412841797,,,,
A,11,69,False,186,0,12.78125,0.0018315315246582031,,,,
A,11,70,False,133,0,12.78125,0.0012812614440917969,,,,
A,11,71,False,163,0,12.78125,0.0016450881958007812,,,,
A,11,72,False,205,0,12.78125,0.002517223358154297,,,,
A,11,73,False,149,0,12.78125,0.0014889240264892578,,,,
A,11,74,False,186,0,12.78125,0.0019216537475585938,,,,
A,11,75,False,133,0,12.78125,0.001363992691040039,,,,
A,11,76,False,166,0,12.78125,0.001741170883178711,,,,
A,11,77,False,214,0,12.78125,0.0026721954345703125,,,,
A,11,78,False,162,0,12.78125,0.0015995502471923828,,,,
A,11,79,False,205,0,12.78125,0.002431154251098633,,,,
A,11,80,False,149,0,12.78125,0.0014319419860839844,,,,
A,11,81,False,186,0,12.78125,0.0018305778503417969,,,,
A,11,82,False,133,0,12.78125,0.00128173828125,,,,
A,11,83,False,163,0,12.78125,0.0016527175903320312,,,,
A,11,84,False,205,0,12.78125,0.002509593963623047,,,,
A,11,85,False,149,0,12.78125,0.0014925003051757812,,,,
A,11,86,False,186,0,12.78125,0.0018699169158935547,,,,
A,11,87,False,133,0,12.78125,0.0013248920440673828,,,,
A,11,88,False,166,0,12.78125,0.0017180442810058594,,,,
A,11,89,False,214,0,12.78125,0.0026047229766845703,,,,
A,11,90,False,162,0,12.78125,0.0015647411346435547,,,,
A,11,91,False,205,0,12.78125,0.002393484115600586,,,,
A,11,92,False,149,0,12.78125,0.0014197826385498047,,,,
A,11,93,False,186,0,12.78125,0.0019202232360839844,,,,
A,11,94,False,133,0,12.78125,0.0012652873992919922,,,,
A,11,95,False,163,0,12.78125,0.001628875732421875,,,,
A,11,96,False,205,0,12.78125,0.0024836063385009766,,,,
A,11,97,False,149,0,12.78125,0.0014874935150146484,,,,
A,11,98,False,186,0,12.78125,0.0018985271453857422,,,,
A,11,99,False,133,0,12.78125,0.0013427734375,,,,
A,11,100,False,166,0,12.78125,0.0017285346984863281,,,,
A,11,101,False,214,0,12.78125,0.002613067626953125,,,,
