C,law1_edge,law2_edge,law3_edge,edge,first_dead,peak_live,monotone,revival_at,wall,elapsed_sec
16,40,81,122,93,94,4413,True,"[]","None",0.37
17,43,86,130,108,109,8011,True,"[]","None",0.75
18,45,91,137,110,111,15536,True,"[]","None",1.49
19,48,96,144,130,131,29197,True,"[]","None",3.11
20,50,101,151,132,133,53357,True,"[]","None",9.33
21,53,106,159,139,140,97582,True,"[]","None",18.97
22,55,110,166,157,158,186128,True,"[]","None",40.27
23,57,115,173,163,164,359271,True,"[]","None",85.78
24,60,120,180,188,189,699681,True,"[]","None",194.39
25,62,125,187,192,193,1340027,True,"[]","None",478.11
26,65,130,195,205,206,2524517,True,"[]","None",1310.07
