C,spectral_tax_pct,pop_thin_geo_per_level,pop_thin_per_hb,climb_cap_per_hb,heartbeat_feasible,M_edge,regime
1,97.1423,1.0,1.0,None(infeasible),False,4,1-hb (edge<=28)
2,37.0863,0.8908987181403393,0.0021923086881042403,None(infeasible),False,7,1-hb (edge<=28)
3,3.9771,0.9170040432046712,0.010131559020711004,None(infeasible),False,9,1-hb (edge<=28)
4,0.2939,0.9049515755219305,0.00502508075513851,None(infeasible),False,12,1-hb (edge<=28)
5,0.0576,0.9189637177108657,0.011345231082850163,None(infeasible),False,14,1-hb (edge<=28)
6,0.0467,0.9117224885582168,0.007459700030550127,None(infeasible),False,16,1-hb (edge<=28)
7,0.0464,0.9258747122872905,0.01687593342019231,None(infeasible),False,19,1-hb (edge<=28)
8,0.0464,0.9226808345905884,0.014051720039568253,-6,True,21,1-hb (edge<=28)
9,0.0464,0.9324166065745011,0.024509248209012364,-6,True,24,1-hb (edge<=28)
10,0.0464,0.9308376691071709,0.02240367939816542,-6,True,26,1-hb (edge<=28)
11,0.0464,0.979094455592351,0.32636481853078353,-6,True,53,2-hb (saturates)
12,0.0464,0.9970399534516846,0.8546056743871594,-6,True,53,2-hb (saturates)
13,0.0464,1.0068827112705039,1.4384038732435702,-6,True,53,2-hb (saturates)
14,0.0464,1.0108199589927018,1.7689349282372266,-6,True,53,2-hb (saturates)
15,0.0464,1.016773690856346,2.4148375157838293,-6,True,53,2-hb (saturates)
